,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1017.8,1020.5,,,,7.7,13.3,2.8,72.0,50.0,1.1,3.4,南西,5.9,南西,6.0,,,,
2,1018.2,1020.9,,,,6.0,13.4,1.0,81.0,53.0,1.0,2.9,北,5.2,西,4.7,,,,
3,1013.6,1016.3,,,,6.4,14.0,0.7,81.0,47.0,0.9,2.3,南南西,4.2,西,9.2,,,,
4,1010.8,1013.5,,,,7.2,13.5,1.3,78.0,52.0,1.5,4.3,東,7.4,東,5.4,,,,
5,1017.8,1020.5,,,,6.4,13.0,1.1,65.0,21.0,1.5,3.7,北,6.5,南南東,9.3,,,,
6,1022.5,1025.2,,,,6.9,14.2,-0.2,75.0,42.0,1.1,3.2,西南西,5.5,西南西,8.5,,,,
7,1021.0,1023.7,0.5,0.5,0.5,8.3,11.0,5.7,71.0,53.0,1.4,3.4,東,5.4,東南東,0.7,,,,
8,1000.2,1002.8,21.0,7.5,2.0,12.5,19.3,7.2,78.0,40.0,4.3,10.3,西南西,18.9,南西,2.6,,,,
9,1005.9,1008.5,,,,11.5,17.6,5.7,58.0,28.0,1.8,4.2,南東,6.3,南東,8.3,,,,
10,1012.3,1015.0,0.0,0.0,0.0,9.6,14.4,4.2,60.0,41.0,1.8,4.9,南東,7.8,東南東,7.3,,,,
11,1012.0,1014.7,0.0,0.0,0.0,8.5,14.3,3.8,74.0,43.0,1.5,4.2,南西,7.6,西南西,4.6,,,,
12,1008.1,1010.8,0.0,0.0,0.0,6.5,12.0,1.8,80.0,50.0,1.2,3.2,南東,4.9,南東,0.9,,,,
13,1009.1,1011.7,,,,7.3,14.3,1.2,75.0,45.0,1.6,5.2,西南西,8.6,南西,9.3,,,,
14,1016.6,1019.3,0.0,0.0,0.0,7.6,14.4,1.0,73.0,47.0,1.4,5.1,西南西,8.8,西,8.0,,,,
15,1013.3,1015.9,11.5,5.0,1.5,8.4,13.4,3.9,80.0,45.0,1.3,3.5,西南西,6.6,西,6.6,,,,
16,1018.1,1020.9,,,,6.1,10.8,1.5,77.0,44.0,1.1,2.4,南南東,3.9,南,3.3,,,,
17,1015.4,1018.0,1.0,0.5,0.5,7.5,13.7,3.6,70.0,36.0,2.0,5.8,東南東,9.5,東南東,3.8,,,,
18,1009.3,1012.0,11.0,2.5,0.5,4.5,6.1,3.8,91.0,86.0,1.9,4.0,東南東,6.5,東,0.0,,,,
19,1011.7,1014.4,0.0,0.0,0.0,6.2,11.6,1.3,81.0,47.0,1.4,3.2,南西,6.0,西南西,5.4,,,,
20,1009.6,1012.3,,,,7.2,14.1,1.4,75.0,43.0,1.2,3.4,西南西,6.4,西,9.5,,,,
21,1017.1,1019.8,,,,7.0,14.5,1.2,67.0,29.0,1.4,4.6,東,7.8,東南東,9.4,,,,
22,1024.6,1027.3,,,,8.6,15.0,1.7,69.0,45.0,1.4,4.0,西南西,9.7,西南西,4.7,,,,
23,1017.3,1020.0,22.5,5.5,1.5,9.7,13.4,8.2,91.0,50.0,1.2,6.3,西南西,12.5,南西,0.0,,,,
24,1018.5,1021.1,0.0,0.0,0.0,12.0,17.0,9.4,84.0,61.0,1.1,2.5,北,4.3,北,3.2,,,,
25,1023.6,1026.3,0.0,0.0,0.0,9.5,13.3,7.4,61.0,36.0,2.3,5.7,東南東,9.8,東南東,3.8,,,,
26,1023.5,1026.2,11.0,3.0,1.0,5.3,8.2,3.6,86.0,63.0,1.2,3.1,東南東,5.5,東,0.0,,,,
27,1021.3,1024.0,4.5,1.5,0.5,5.8,8.3,3.5,73.0,53.0,3.1,6.4,北北東,12.7,北北東,0.0,,,,
28,1011.6,1014.3,10.5,3.0,1.0,9.0,12.2,4.9,82.0,71.0,5.7,8.0,北,15.6,北,0.0,,,,
29,999.6,1002.2,1.0,1.0,0.5,13.1,18.4,8.7,80.0,55.0,2.2,7.0,北北東,12.7,北北東,5.6,,,,
30,996.9,999.5,0.0,0.0,0.0,10.6,16.5,5.7,69.0,38.0,2.8,8.7,西南西,15.0,南西,9.8,,,,
31,1001.2,1003.9,0.0,0.0,0.0,8.3,13.3,4.1,71.0,44.0,1.5,5.0,南,8.4,南,5.1,,,,
