,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.3,10.0,-2.7,0.8,3.4,南南西,8.4,南南東,西,7.6,,
2,0.0,0.0,0.0,3.5,12.1,-2.3,0.6,2.8,南西,8.7,南南西,西,7.6,,
3,0.0,0.0,0.0,5.3,11.9,1.5,0.7,2.9,南南西,7.3,南南西,南南東,4.4,,
4,0.5,0.5,0.5,4.7,12.3,-0.5,0.7,4.0,東南東,10.8,東北東,南南東,6.3,,
5,0.0,0.0,0.0,2.8,9.3,-1.8,0.8,3.2,南南西,7.6,西南西,西北西,7.7,,
6,0.0,0.0,0.0,3.0,12.1,-3.5,0.5,2.6,東北東,5.0,東,西南西,7.6,,
7,8.0,2.0,0.5,4.1,8.6,-0.6,0.3,1.3,北西,2.4,東,西北西,0.1,,
8,26.5,10.0,2.0,8.5,15.0,5.8,0.8,2.4,西南西,7.0,南,西北西,0.8,,
9,0.0,0.0,0.0,7.4,13.7,2.9,1.0,4.0,東,10.0,東北東,西北西,7.6,,
10,0.0,0.0,0.0,4.8,13.6,0.5,0.4,1.8,東北東,4.1,東北東,西南西,5.9,,
11,0.0,0.0,0.0,3.3,12.9,-1.0,0.3,2.0,南南東,4.5,南南東,南南東,6.8,,
12,0.0,0.0,0.0,2.7,8.0,-0.8,0.2,1.1,北北西,2.1,北北東,西北西,0.0,,
13,0.0,0.0,0.0,3.6,10.9,-0.2,0.5,3.2,南南西,8.1,南,北北東,4.4,,
14,0.5,0.5,0.5,4.3,13.4,-2.2,0.4,2.1,南,4.9,南,南,7.0,,
15,1.5,1.0,0.5,4.7,10.1,-0.5,0.7,3.2,南南西,7.9,南西,南南西,5.2,,
16,0.0,0.0,0.0,2.4,9.4,-1.9,0.4,1.9,東北東,4.6,北,西北西,2.4,,
17,3.5,1.0,0.5,3.6,8.7,-0.8,0.4,2.2,東北東,5.6,北東,南西,1.4,,
18,2.5,1.0,0.5,3.6,6.9,0.1,0.6,1.4,北,2.9,北北東,西北西,0.0,,
19,0.0,0.0,0.0,3.3,10.6,-1.8,0.4,1.5,南南西,3.0,南東,北西,6.0,,
20,0.0,0.0,0.0,4.1,11.3,-1.1,0.8,3.8,東,9.4,東北東,東南東,5.4,,
21,0.0,0.0,0.0,5.1,11.9,-1.0,1.0,3.8,南南東,8.8,東北東,東,7.7,,
22,0.0,0.0,0.0,4.4,10.7,-1.2,0.3,1.1,東南東,2.6,北北東,南東,1.0,,
23,17.5,3.0,1.5,6.6,8.0,5.5,0.2,1.0,南,2.0,東,南南東,0.0,,
24,0.0,0.0,0.0,7.7,14.9,4.2,0.5,1.6,南西,2.8,西,西北西,2.6,,
25,0.0,0.0,0.0,7.1,12.7,3.0,0.5,3.0,東北東,5.2,東南東,東南東,2.2,,
26,12.5,3.0,1.0,5.2,8.3,3.2,0.6,1.6,北東,3.5,北北東,西,1.4,,
27,7.0,2.0,1.0,4.8,8.0,3.5,0.6,2.1,北東,5.6,東北東,北北西,0.0,,
28,4.5,1.5,0.5,9.5,16.4,4.4,1.2,3.3,北東,10.8,東北東,北西,0.4,,
29,2.0,1.0,0.5,9.5,15.0,5.8,0.6,2.6,南南西,5.4,南西,西北西,3.8,,
30,0.0,0.0,0.0,6.1,12.0,2.1,0.8,3.1,東,7.8,南東,南南西,3.2,,
31,0.0,0.0,0.0,4.5,10.4,-0.1,1.3,3.9,南南西,10.6,南南西,南,7.7,,
