,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.5,11.9,-2.0,0.5,1.9,東北東,4.6,北東,南西,6.0,,
2,0.0,0.0,0.0,1.9,13.0,-3.6,0.4,1.6,南東,4.2,西北西,南,6.7,,
3,0.0,0.0,0.0,5.9,13.4,-1.8,1.4,4.6,北西,13.3,北,南,6.7,,
4,0.0,0.0,0.0,4.4,12.7,-2.1,0.8,2.6,西,8.8,南南東,南西,6.4,,
5,0.0,0.0,0.0,1.6,11.0,-2.8,0.6,2.7,北北西,5.4,北,南東,6.8,,
6,0.0,0.0,0.0,3.2,12.2,-3.2,0.4,1.9,北,4.7,北,南西,6.7,,
7,4.0,1.0,0.5,5.8,12.3,-0.4,0.3,2.1,北,4.8,北北東,西,1.9,,
8,38.0,11.5,4.0,10.2,16.2,6.7,1.5,5.2,南西,13.9,北,南西,0.9,,
9,0.0,0.0,0.0,7.9,15.6,2.0,1.0,3.9,西南西,13.7,西南西,南南西,6.8,,
10,0.0,0.0,0.0,5.4,14.0,-0.9,0.5,2.5,東北東,5.0,東北東,南東,6.8,,
11,0.0,0.0,0.0,4.1,12.6,-0.9,0.6,2.6,北北西,6.0,北北東,南,6.7,,
12,0.0,0.0,0.0,2.4,10.5,-1.6,0.3,2.4,北北西,4.7,北,南西,0.4,,
13,0.0,0.0,0.0,5.4,13.0,-1.2,1.2,4.1,北,8.8,北北東,西南西,6.8,,
14,0.0,0.0,0.0,4.3,13.7,-2.5,0.5,3.0,北北西,6.5,北西,南西,6.1,,
15,1.5,1.5,0.5,4.6,12.0,-0.9,0.7,3.6,西南西,9.1,西南西,南南西,6.6,,
16,0.0,0.0,0.0,2.9,10.2,-2.7,0.5,2.5,北北西,5.0,北,北北西,3.7,,
17,3.5,1.0,0.5,4.1,10.5,-0.5,0.5,2.9,北西,6.0,北西,西南西,1.9,,
18,6.0,1.5,0.5,4.9,6.7,3.9,0.4,1.7,北西,4.4,東北東,東北東,0.0,,
19,0.0,0.0,0.0,4.7,9.5,1.9,0.6,2.0,北,4.3,東北東,南,4.5,,
20,0.0,0.0,0.0,5.2,14.2,-0.6,0.9,2.4,南南西,8.4,西,南西,7.2,,
21,0.0,0.0,0.0,5.9,13.3,0.2,0.9,3.4,南,9.5,南,西南西,7.2,,
22,0.0,0.0,0.0,6.2,13.4,0.2,0.7,2.9,北,6.0,西北西,南南西,3.1,,
23,26.5,4.5,1.5,7.2,8.8,4.6,0.4,1.2,南南東,2.8,南西,西南西,0.0,,
24,0.0,0.0,0.0,9.7,15.9,7.3,0.4,2.1,北北西,4.5,西北西,北西,3.1,,
25,0.0,0.0,0.0,9.2,14.7,6.5,0.7,3.5,北,6.4,西北西,北北西,3.5,,
26,12.0,3.0,1.0,5.8,7.9,4.4,0.3,1.5,南南西,3.1,北西,北北東,0.0,,
27,11.0,3.0,1.0,5.2,7.2,3.3,0.7,2.4,北東,6.9,東北東,南東,0.0,,
28,19.0,5.0,1.5,8.1,11.0,5.4,1.0,2.2,東北東,6.4,南東,東,0.0,,
29,0.0,0.0,0.0,9.8,17.8,3.0,0.7,2.5,西南西,6.1,南西,西南西,7.3,,
30,0.0,0.0,0.0,5.7,14.4,0.3,0.9,2.8,南西,6.9,西北西,南南西,7.7,,
31,0.0,0.0,0.0,3.2,12.1,-1.8,0.7,2.7,西南西,7.0,南西,西,7.8,,
