,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1013.8,1020.3,,,,9.5,12.8,7.6,63.0,46.0,4.5,9.9,西,17.2,西北西,5.0,,,,
2,1014.1,1020.5,,,,10.6,12.9,7.9,67.0,51.0,4.0,8.0,西北西,13.7,西北西,5.6,,,,
3,1009.4,1015.8,,,,11.4,13.3,9.8,61.0,50.0,9.7,12.3,西,21.9,西,8.4,,,,
4,1007.0,1013.5,,,,10.9,13.8,7.6,59.0,40.0,6.1,13.9,西,21.7,西北西,7.7,,,,
5,1013.6,1020.2,0.0,0.0,0.0,9.0,12.0,6.6,65.0,52.0,2.8,10.7,西北西,21.8,西北西,3.1,,,,
6,1018.2,1024.7,,,,10.3,13.6,7.6,65.0,57.0,2.0,4.1,北北東,8.2,北北東,3.4,,,,
7,1016.2,1022.7,0.5,0.5,0.5,9.8,11.4,8.1,72.0,52.0,4.4,9.3,東北東,13.7,東北東,2.0,,,,
8,997.5,1003.8,14.5,9.5,8.5,14.1,17.4,9.4,80.0,53.0,11.0,22.7,南南西,29.7,南西,0.9,,,,
9,1002.5,1008.8,,,,12.9,15.1,11.4,59.0,47.0,7.2,15.9,西,26.4,西北西,8.9,,,,
10,1008.2,1014.7,,,,10.7,12.2,8.5,63.0,52.0,5.3,10.8,西,18.9,西南西,8.5,,,,
11,1008.0,1014.4,0.0,0.0,0.0,10.7,14.2,8.3,67.0,51.0,4.1,9.9,西南西,15.2,西南西,4.4,,,,
12,1004.2,1010.6,1.0,0.5,0.5,9.5,11.3,8.0,71.0,53.0,2.9,7.9,西,13.2,西,0.0,,,,
13,1005.7,1012.1,,,,10.8,12.4,9.3,59.0,48.0,9.6,12.8,西,21.8,西,9.6,,,,
14,1012.7,1019.2,,,,11.1,13.5,8.9,53.0,42.0,6.4,13.8,西,21.3,西,9.0,,,,
15,1009.3,1015.8,3.0,2.0,0.5,10.0,12.2,7.5,68.0,50.0,5.4,12.5,西,20.3,西北西,8.7,,,,
16,1013.7,1020.2,,,,9.4,11.3,7.2,59.0,48.0,3.8,9.4,東北東,13.7,東北東,4.6,,,,
17,1010.6,1017.1,5.5,2.5,1.0,8.3,11.3,6.3,71.0,51.0,3.2,9.3,東北東,14.7,東北東,1.4,,,,
18,1003.8,1010.4,13.0,4.5,1.0,5.3,6.7,4.4,89.0,76.0,3.8,10.3,東北東,18.9,北東,0.0,,,,
19,1007.7,1014.2,0.0,0.0,0.0,8.4,11.2,5.2,67.0,44.0,3.8,13.1,西,21.3,西,1.8,,,,
20,1005.7,1012.1,,,,11.1,13.1,9.7,57.0,49.0,11.4,16.3,西,25.8,西,9.6,,,,
21,1013.0,1019.5,,,,10.5,14.0,8.5,55.0,43.0,6.5,16.1,西,25.7,西,9.5,,,,
22,1020.4,1026.9,,,,10.6,13.1,7.2,67.0,60.0,5.5,8.6,西,14.7,西,7.0,,,,
23,1013.3,1019.8,26.0,6.0,2.0,12.7,16.9,10.6,90.0,61.0,5.1,12.9,南西,19.1,南西,0.0,,,,
24,1014.4,1020.8,,,,12.7,15.0,10.8,82.0,54.0,3.7,7.0,東北東,9.5,東北東,4.6,,,,
25,1018.9,1025.5,0.0,0.0,0.0,10.0,12.4,8.8,64.0,49.0,6.3,10.6,東北東,15.6,東北東,2.4,,,,
26,1018.0,1024.6,12.0,2.5,1.0,6.7,8.8,5.3,82.0,61.0,4.3,8.3,東北東,15.2,北東,0.0,,,,
27,1014.4,1021.0,7.5,2.0,0.5,7.5,9.0,5.1,72.0,49.0,8.0,12.6,東北東,24.2,東北東,0.0,,,,
28,1004.1,1010.5,5.0,3.5,1.5,10.7,14.4,5.8,81.0,75.0,10.3,15.3,東北東,28.5,東北東,2.9,,,,
29,996.0,1002.3,0.0,0.0,0.0,14.2,17.4,11.9,77.0,59.0,6.5,13.5,西南西,21.5,西,7.9,,,,
30,994.0,1000.3,,,,11.5,13.5,10.1,66.0,52.0,10.0,12.7,西,21.0,西北西,10.0,,,,
31,997.6,1004.0,0.0,0.0,0.0,10.2,14.0,8.5,63.0,39.0,4.5,8.4,西,14.9,西,7.2,,,,
