,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,5.6,11.5,0.4,2.0,4.8,北西,8.7,西北西,西北西,9.2,,
2,0.0,0.0,0.0,5.7,13.8,-1.0,1.2,3.6,北西,7.0,西北西,西北西,9.1,,
3,0.0,0.0,0.0,6.0,14.4,-0.4,1.0,3.9,北西,6.9,北西,北西,7.9,,
4,0.0,0.0,0.0,8.1,14.5,1.0,2.3,5.4,北西,11.8,西北西,西北西,9.0,,
5,0.0,0.0,0.0,6.1,13.1,0.4,0.8,2.6,北西,5.3,西北西,西北西,9.2,,
6,0.0,0.0,0.0,6.8,14.0,-0.9,0.6,1.8,西北西,4.5,西北西,西北西,3.1,,
7,2.0,1.0,0.5,10.1,11.9,8.2,0.5,2.3,北北西,3.4,北北西,北北西,0.0,,
8,16.0,14.0,11.0,14.4,19.9,10.6,3.9,8.0,北西,17.5,北西,西北西,6.7,,
9,0.0,0.0,0.0,11.2,15.4,5.7,1.8,4.6,北西,8.9,西北西,西北西,7.8,,
10,0.0,0.0,0.0,8.8,14.5,2.9,1.5,4.3,北北西,8.3,西北西,西北西,8.6,,
11,0.0,0.0,0.0,7.0,14.5,1.7,0.9,2.4,西北西,5.1,西北西,西南西,3.1,,
12,2.0,1.0,0.5,8.6,12.5,6.2,1.3,4.1,北西,7.6,北西,西北西,1.1,,
13,0.0,0.0,0.0,8.1,11.8,2.0,2.6,5.3,北西,10.5,西北西,西北西,9.3,,
14,3.0,2.0,0.5,4.7,8.8,0.5,0.9,2.6,北西,5.3,北西,西,0.7,,
15,0.0,0.0,0.0,5.5,10.8,0.8,1.8,5.1,北北西,10.3,北西,北西,8.6,,
16,0.0,0.0,0.0,5.1,8.6,0.9,0.6,2.2,西北西,4.8,西北西,西北西,0.0,,
17,10.0,2.0,1.0,5.1,6.5,4.1,0.5,3.5,北北西,5.5,北北西,西,0.0,,
18,0.0,0.0,0.0,5.6,13.4,-0.5,0.9,2.9,南西,5.1,南西,西,6.5,,
19,0.0,0.0,0.0,6.4,15.0,-0.4,1.1,5.1,北西,8.6,北北西,西南西,8.9,,
20,0.0,0.0,0.0,7.0,13.1,0.9,1.9,5.8,北西,12.6,北北西,西北西,8.3,,
21,0.0,0.0,0.0,7.2,14.0,1.8,1.3,4.4,北西,8.1,西北西,西北西,9.3,,
22,1.5,1.0,0.5,6.5,10.6,0.9,1.0,2.2,北西,3.7,北西,北北西,0.5,,
23,11.5,3.5,1.0,13.3,20.8,8.4,0.7,3.4,西南西,6.1,南西,西南西,3.2,,
24,0.0,0.0,0.0,12.8,16.8,9.7,0.7,2.2,北西,3.9,西北西,北西,0.3,,
25,24.0,7.5,2.0,10.4,12.5,8.8,0.7,2.3,北西,3.7,北西,北北西,0.0,,
26,9.5,3.0,0.5,10.2,12.9,8.3,0.7,1.8,北北西,3.1,北北西,北北西,0.0,,
27,190.0,48.5,16.5,12.0,15.4,8.8,3.7,8.1,東,21.6,東,東,0.0,,
28,0.5,0.5,0.5,12.1,13.6,11.1,2.6,4.9,西北西,11.3,西北西,西北西,0.3,,
29,0.0,0.0,0.0,11.2,15.6,5.4,2.4,5.6,北西,10.5,西南西,西北西,7.3,,
30,0.0,0.0,0.0,9.0,14.2,4.5,2.2,4.7,北西,9.4,北西,西北西,9.4,,
31,0.0,0.0,0.0,6.7,10.6,1.5,2.9,6.8,北北西,14.6,西北西,西北西,9.5,,
