,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1002.7,1025.5,,,,8.1,10.9,4.6,70.0,48.0,4.3,7.6,西北西,10.4,西北西,9.5,,,,
2,1001.9,1024.6,,,,10.0,12.3,8.3,64.0,49.0,4.2,7.7,西,9.4,東,8.4,,,,
3,998.4,1021.0,,,,10.2,12.7,8.3,57.0,42.0,6.4,8.7,西北西,11.8,西北西,9.3,,,,
4,995.5,1018.0,,,,9.8,12.9,7.5,53.0,38.0,7.7,10.9,西北西,15.5,北西,9.6,,,,
5,1002.9,1025.8,,,,8.4,11.2,6.5,53.0,43.0,4.7,9.4,北西,12.3,北西,7.0,,,,
6,1004.8,1027.6,,,,9.0,11.9,6.3,64.0,54.0,5.0,9.8,北東,12.9,北東,6.5,,,,
7,998.8,1021.2,0.5,0.5,0.5,12.9,16.9,9.8,89.0,76.0,4.4,17.1,南南西,19.1,南南西,0.3,,,,
8,985.4,1007.4,5.5,5.5,2.5,14.7,17.9,10.7,70.0,51.0,17.9,26.4,西北西,31.4,西北西,6.2,,,,
9,993.1,1015.5,,,,11.4,14.0,9.1,57.0,38.0,6.8,9.8,西北西,13.1,北西,9.2,,,,
10,995.1,1017.7,,,,9.8,13.2,7.5,58.0,41.0,4.5,11.5,西北西,14.4,北西,2.5,,,,
11,993.5,1015.9,,,,10.7,13.5,9.0,75.0,56.0,3.5,6.9,東北東,9.5,北東,6.3,,,,
12,989.3,1011.7,6.5,2.0,0.5,10.0,12.2,8.5,83.0,63.0,6.4,12.3,西北西,17.1,西北西,0.8,,,,
13,994.1,1016.7,,,,8.9,11.6,7.0,55.0,41.0,8.0,11.7,西北西,16.6,西北西,9.6,,,,
14,998.0,1020.8,10.0,4.0,1.0,7.9,12.4,5.7,69.0,41.0,5.1,9.6,東北東,11.7,東北東,3.5,,,,
15,998.4 ),1021.3 ),,,,6.8 ),9.8,5.0,63 ),46 ),6.9 ),9.6 ),北西 ),14.3 ),北西 ),5.0 ],,,,
16,999.5,1022.3,1.0,1.0,0.5,8.3,9.7,6.2,75.0,55.0,3.4,7.0,北東,10.3,東北東,0.0,,,,
17,993.8,1016.6,12.5,1.5,0.5,6.6,8.3,5.6,88.0,66.0,7.8,11.2,北東,17.3,北東,0.0,,,,
18,990.6,1013.1,,,,9.0,12.6,6.6,57.0,32.0,5.3,10.0,北東,15.9,北東,9.4,,,,
19,993.9,1016.4,,,,9.8,13.6,7.2,63.0,41.0,4.8,12.5,西北西,16.4,北西,7.7,,,,
20,995.1,1017.7,,,,9.3,12.0,6.8,56.0,42.0,7.3,10.2,西北西,13.8,西北西,9.5,,,,
21,1001.9,1024.7,,,,8.6,12.2,6.4,56.0,43.0,5.6,10.4,北西,13.6,北西,9.6,,,,
22,1004.1,1026.8,6.0,1.5,0.5,9.9,12.7,7.9,86.0,70.0,6.4,11.5,東北東,14.4,北東,0.8,,,,
23,996.4,1018.6,26.5,9.5,4.0,14.9,17.2,10.9,99.0,94.0,8.3,19.5,南南西,21.8,南南西,2.0,,,,
24,1000.5,1022.9,,,,13.3,15.1,10.7,85.0,63.0,8.0,12.7,東北東,18.3,北東,0.4,,,,
25,1002.8,1025.6,9.5,5.0,1.5,8.8,10.9,5.2,75.0,54.0,9.6,13.3,東北東,19.1,東北東,0.0,,,,
26,999.5,1022.1,5.0,2.5,0.5,9.5,11.8,6.7,75.0,44.0,10.3,16.4,東北東,24.1,東北東,0.4,,,,
27,987.3,1009.6,62.0,7.5,2.0,10.3,13.7,6.6,96.0,75.0,18.4,27.3,東,35.8,東,0.0,,,,
28,984.1,1006.1,6.0,3.0,1.5,13.9,17.1,12.2,95.0,78.0,9.1,27.0,東,34.8,東,1.0,,,,
29,985.6,1007.7,,,,12.0,15.4,8.6,69.0,48.0,6.8,11.7,西北西,16.1,西北西,8.0,,,,
30,984.2,1006.5,,,,9.9,14.6,7.3,60.0,50.0,4.7,8.9,北西,13.4,北北西,10.1,,,,
31,989.9,1012.6,,,,6.6,10.0,4.0,50.0,40.0,8.5,12.1,西北西,16.9,北西,7.4,,,,
