,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,1.4,3.1,-0.9,0.8,2.4,南西,8.9,南西,北,0.1,,
2,0.0,0.0,0.0,3.1,8.7,-2.0,0.7,3.2,南西,9.0,南西,北,2.1,,
3,0.0,0.0,0.0,4.6,8.4,-0.8,1.0,3.7,西南西,9.8,南西,北,2.7,,
4,1.5,1.5,0.5,2.6,9.1,-2.6,1.3,5.7,北北西,11.9,北,北北西,3.5,,
5,1.0,2.0,0.5,1.6,5.5,-2.7,1.1,3.7,北,7.0,北,北,0.2,,
6,0.0,0.0,0.0,1.5,7.4,-4.4,0.6,2.8,北,4.1,北,東南東,3.5,,
7,3.5,1.0,0.5,8.2,13.3,2.9,4.7,10.5,南南西,18.5,南南西,南南西,0.0,,
8,17.5,4.0,2.0,8.0,13.6,4.3,3.2,7.6,西南西,18.2,西南西,北北西,1.0,,
9,6.0,2.0,0.5,4.7,7.8,1.4,0.9,2.9,北北西,7.4,北,北北西,0.7,,
10,2.0,1.5,0.5,2.1,6.9,-2.7,0.9,4.0,北,6.8,北,北,4.4,,
11,0.0,0.0,0.0,1.7,9.8,-3.6,0.6,3.6,西南西,10.1,西南西,西南西,5.2,,
12,0.5,0.5,0.5,2.3,5.6,-1.8,0.7,2.9,北北西,6.5,西南西,北北西,0.2,,
13,0.0,0.0,0.0,1.9,5.8,-1.3,1.3,4.1,西南西,10.5,西南西,北北西,4.7,,
14,1.5,1.0,0.5,2.0,6.3,-1.8,0.6,2.5,南南西,5.5,南南西,北北西,0.4,,
15,2.5,1.0,0.5,1.2,3.9,-0.2,0.7,2.4,西南西,7.6,南西,南西,1.6,,
16,0.0,0.0,0.0,0.4,6.9,-2.5,0.5,2.9,西南西,5.2,南西,南西,4.8,,
17,0.0,0.0,0.0,1.7,7.8,-2.6,0.6,3.3,北,5.5,北,北,3.4,,
18,0.0,0.0,0.0,2.3,6.3,-2.8,1.4,5.9,北,10.0,北,北,5.0,,
19,1.5,1.0,0.5,2.1,6.8,-3.3,0.9,4.5,南南西,9.3,南南西,北,1.6,,
20,1.0,0.5,0.5,2.1,4.4,-0.3,0.6 ),2.0 ),西南西 ),7.4 ),南西 ),北 ),0.0,,
21,0.0,0.0,0.0,1.6,6.2,-4.0,1.1,5.0,北,8.7,北北西,北北西,1.6,,
22,2.5,1.5,0.5,2.7,8.4,-4.5,1.0,4.5,南南西,9.3,南西,南南西,0.8,,
23,16.5,4.5,1.0,8.2,11.9,4.6,0.7,2.6,東,4.0,北北西,北北西,0.3,,
24,1.5,1.0,0.5,6.4,9.1,2.7,2.1,5.3,北,10.2,北東,北,0.3,,
25,0.0,0.0,0.0,3.0,6.3,-0.7,1.1,3.6,北,6.3,北,北,1.8,,
26,0.0,0.0,0.0,4.5,9.7,-0.1,1.1,3.9,北,7.2,北北西,北,5.0,,
27,16.5,4.0,1.0,4.1,5.7,1.6,1.3,2.8,東,6.6,北北東,北東,0.0,,
28,13.0,3.5,1.0,5.9,8.7,3.6,0.5,2.7,北北西,5.9,北,北北西,0.0,,
29,10.0,2.0,1.0,5.0,7.3,2.3,1.8,4.9,北北西,10.2,北北西,北北西,1.0,,
30,14.0,3.5,1.0,2.0,5.1,0.3,0.9,4.0,北北西,8.3,北北西,北北西,2.2,,
31,0.5,0.5,0.5,0.4,2.6,-0.9,1.9,4.7,北北西,9.1,北西,北北西,3.0,,
