,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,16.4,18.3,15.0,5.6,8.6,北,12.3,北,北,,,
2,0.0,0.0,0.0,17.5,20.2,15.5,3.8,5.3,北北東,8.7,北北西,北北東,,,
3,0.0,0.0,0.0,17.8,20.7,14.4,2.7,5.8,北北西,8.2,北北西,北,,,
4,1.0,1.0,1.0,18.6,21.2,16.6,4.5,6.9,北,10.3,北,北,,,
5,0.0,0.0,0.0,18.4,20.8,16.0,4.8,7.9,北,10.3,北,北東,,,
6,0.0,0.0,0.0,18.8,22.6,15.7,4.0,6.0,南東,8.2,南東,東南東,,,
7,0.0,0.0,0.0,21.3,24.2,18.6,6.3,8.3,南南東,10.8,南南東,南,,,
8,2.5,2.5,1.5,18.6,22.3,16.1,8.7,13.2,北北西,17.0,北北西,北北西,,,
9,0.0,0.0,0.0,17.2,18.9,16.2,4.9,8.1,北北西,11.8,北西,北,,,
10,0.0,0.0,0.0,17.1,19.8,13.5,2.7,6.3,北,8.2,北北東,北北西,,,
11,4.0,4.0,2.0,18.8,22.3,13.0,3.2,7.8,西,10.8,西南西,南南西,,,
12,1.0,1.0,0.5,18.2,20.9,16.0,8.4,11.0,北北西,15.4,北,北北西,,,
13,0.0,0.0,0.0,17.2,18.5,16.1,5.7,8.8,北,12.9,北,北北東,,,
14,1.0,0.5,0.5,18.4,22.0,15.6,4.3,9.3,北,12.9,北北東,東北東,,,
15,0.0,0.5,0.0,17.7,20.4,15.6,4.9,8.4,北,11.8,北,北北東,,,
16,6.0,4.5,1.5,18.8,22.5,16.5,4.9,8.1,南東,10.8,東南東,東南東,,,
17,1.0,0.5,0.5,18.0,20.5,15.5,7.6,13.9,北西,17.0,北西,北,,,
18,0.0,0.0,0.0,15.8,18.5,14.1,9.4,12.8,北西,16.5,北西,北北西,,,
19,0.0,0.0,0.0,16.6,19.3,15.2,5.1,7.8,北北西,10.3,北西,北北西,,,
20,0.0,0.0,0.0,16.4,18.2,14.7,3.4,5.7,北北西,8.2,北西,北北西,,,
21,1.5,1.5,1.0,17.1,20.2,14.3,3.6,5.8,北,8.7,北北東,北北東,,,
22,0.0,0.0,0.0,18.9,22.6,14.3,4.2,6.8,南南東,9.3,南南東,南南東,,,
23,0.0,0.0,0.0,21.6,24.8,20.1,3.8,7.2,南東,9.8,南東,南,,,
24,0.0,0.0,0.0,20.9,24.7,16.5,1.6,3.5,南南東,4.6,南南東,南,,,
25,0.0,0.0,0.0,21.8,25.4,18.6,4.1,7.4,南東,9.3,南東,南東,,,
26,14.0,6.0,2.5,21.1,22.4,19.0,5.1,8.9,東南東,12.9,東,東,,,
27,1.0,0.5,0.5,20.5,22.6,18.2,9.1,13.6,西北西,18.0,西北西,西北西,,,
28,0.0,0.0,0.0,17.3,19.1,15.6,7.8,10.1,北北西,13.4,北北西,北西,,,
29,0.0,0.0,0.0,16.3,19.0,15.1,8.9,12.0,北北西,15.4,北西,北西,,,
30,1.0,0.5,0.5,14.2,16.1,11.6,12.3,15.7,北西,22.1,西北西,北西,,,
31,1.0,1.0,0.5,14.6,17.6,11.0,10.1,14.3,北西,18.0,北北西,北西,,,
