,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,6.1,12.7,0.4,2.3,4.0,西南西,6.2,西,南南西,9.3,,
2,0.0,0.0,0.0,7.5,15.3,-0.5,2.0,4.2,南,6.9,南西,南南西,9.3,,
3,0.0,0.0,0.0,9.3,14.8,3.2,2.5,5.7,西,9.8,西,西,3.1,,
4,0.0,0.0,0.0,9.2,15.6,2.8,2.4,5.7,西,10.0,西,西南西,9.4,,
5,0.0,0.0,0.0,6.7,14.7,-0.2,1.2,2.6,東北東,4.9,東北東,北東,9.2,,
6,0.0,0.0,0.0,8.7,16.7,2.2,1.2,2.4,北東,5.0,北東,南南西,6.5,,
7,0.0,0.0,0.0,14.7,21.8,6.6,1.6,5.2,南南西,8.5,南南西,南西,3.4,,
8,6.5,4.5,2.0,14.7,20.7,8.7,6.1,10.3,西南西,21.2,西南西,西,4.6,,
9,0.0,0.0,0.0,10.0,16.0,3.3,2.3,4.9,西南西,7.8,西,西南西,8.6,,
10,0.0,0.0,0.0,10.3,15.2,5.4,1.2,3.5,南南西,6.6,南,南南西,8.8,,
11,0.5,0.5,0.5,10.0,15.5,5.3,1.1,2.9,南西,4.1,西南西,南,1.9,,
12,0.5,0.5,0.5,9.8,12.8,8.2,2.2,5.2,西南西,10.9,西,西,0.0,,
13,0.0,0.0,0.0,8.9,14.5,2.9,2.2,6.5,西,11.1,西,西,9.2,,
14,3.0,1.0,0.5,5.4,8.4,0.3,1.0,2.1,南南西,3.6,南,南南西,0.0,,
15,0.0 ],1.5 ],1.5 ],5.8 ],11.4 ],1.5 ],1.3 ],4.6 ],西南西 ],7.9 ],南西 ],南 ],2.5 ],,
16,3.0 ],1.5 ],0.5 ],8.5 ],9.7 ],7.7 ],0.5 ],1.8 ],北東 ],3.4 ],東北東 ],北東 ],0.0 ],,
17,7.5,2.0,1.0,7.0,9.0,3.8,1.0,2.5,南南西,3.8,南,東北東,0.0,,
18,0.0,0.0,0.0,7.1,12.9,2.9,1.9,5.0,西,11.0,西北西,南南東,4.0,,
19,0.0,0.0,0.0,6.9,14.4,0.4,1.8,5.3,西南西,8.6,西,南西,3.1,,
20,0.0,0.0,0.0,9.2,13.7,5.7,1.7,4.7,西南西,7.7,西,南南東,1.7,,
21,0.0,0.0,0.0,8.1,14.6,2.4,1.3,3.5,南南西,5.5,南西,南南西,9.5,,
22,0.0,0.0,0.0,8.7,12.3,2.6,0.8,1.9,南南東,3.6,南南東,南南東,0.5,,
23,10.0,8.0,5.0,15.7,20.6,9.5,2.2,5.8,西南西,9.4,西南西,南西,0.8,,
24,1.0,1.0,0.5,14.5,16.3,12.8,1.4,3.5,東北東,7.5,北東,北東,0.0,,
25,15.0,4.0,1.0,12.2,14.0,10.0,2.1,4.6,北東,9.5,東北東,北東,0.0,,
26,12.0,2.5,1.0,10.2,11.8,9.2,2.1,4.1,北東,8.8,北東,北東,0.0,,
27,78.0,15.0,3.5,14.1,18.7,10.1,4.1,9.9,北東,17.5,北東,北東,1.1,,
28,0.0,0.0,0.0,12.4,17.2,7.8,2.9,6.7,西,11.0,西,西南西,1.7,,
29,0.0,0.0,0.0,10.9,17.0,5.4,2.5,5.6,西,9.5,西,西,7.2,,
30,0.0,0.0,0.0,9.2,14.5,5.5,2.2,5.1,西南西,8.7,西,西南西,4.7,,
31,0.0,0.0,0.0,7.7,15.1,1.9,1.4,3.1,西,10.2,西北西,南,8.0,,
