,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1006.3,1026.3,,,,4.4,9.4,0.8,62.0,44.0,3.4,6.1,西,9.3,西南西,3.4,,,,
2,1004.9,1024.8,,,,5.3,11.2,0.0,65.0,40.0,2.5,5.9,西南西,9.3,西南西,7.9,,,,
3,1001.1,1020.9,,,,5.9,11.9,0.3,69.0,42.0,2.3,7.5,西南西,12.1,西南西,3.3,,,,
4,998.1,1017.7,0.0,0.0,0.0,7.1,11.4,3.4,62.0,46.0,3.0,7.6,西北西,12.9,西,4.0,,,,
5,1006.4,1026.4,0.0,0.0,0.0,4.7,7.9,3.0,72.0,47.0,2.5,5.6,西,9.9,西,2.3,,,,
6,1008.4,1028.4,0.0,0.0,0.0,5.6,10.6,0.3,64.0,40.0,1.9,4.1,西北西,7.0,北,6.4,,,,
7,1002.9,1022.9,4.5,1.5,0.5,4.6,6.8,1.4,88.0,73.0,0.8,2.0,北東,3.6,北東,0.0,,,,
8,987.7,1007.0,14.0,7.5,2.0,9.8,16.2,4.6,74.0,46.0,5.3,14.1,西南西,23.3,西南西,2.8,,,,
9,995.7,1015.2,0.0,0.0,0.0,8.7,12.5,6.2,68.0,47.0,3.4,6.0,西,9.7,西北西,5.8,,,,
10,998.7,1018.4,0.0,0.0,0.0,6.2,10.7,1.8,69.0,45.0,2.2,6.1,西北西,9.9,北西,2.5,,,,
11,997.3,1017.2,,,,4.2,12.3,-0.9,73.0,37.0,1.4,4.5,西,7.9,西,7.4,,,,
12,992.7,1012.5,0.0,0.0,0.0,4.3,8.7,-0.5,81.0,66.0,0.8,3.6,西,5.5,西,0.1,,,,
13,996.6,1016.3,0.0,0.0,0.0,6.6,11.3,1.3,57.0,35.0,3.9,7.8,西,12.5,西南西,8.9,,,,
14,1002.2,1022.2,3.0,1.5,0.5,4.4,10.2,-1.3,70.0,35.0,1.6,5.8,南西,9.0,西南西,5.0,,,,
15,1001.0,1020.9,1.0,1.0,0.5,5.1,8.6,3.0,80.0,55.0,2.5,7.0,西,10.7,西,3.1,,,,
16,1003.5,1023.6,,0.0,,3.1,10.1,-1.0,77.0,37.0,1.2,4.0,西南西,6.1,西南西,5.3,,,,
17,998.9,1018.9,1.5,1.0,0.5,3.6,6.9,0.0,83.0,63.0,0.8,2.3,南南西,3.5,南南西,0.0,,,,
18,994.1,1013.8,1.5,1.0,0.5,5.3,9.8,2.4,74.0,42.0,1.7,4.7,北,10.1,北北西,3.4,,,,
19,997.1,1016.9,0.0,0.0,0.0,5.5,10.3,-0.1,65.0,43.0,1.4,4.2,西,6.6,西,5.7,,,,
20,997.9,1017.5,,,,7.1,11.8,2.1,60.0,38.0,3.3,8.1,西南西,13.6,西,7.4,,,,
21,1005.5,1025.4,0.0,0.0,0.0,5.7,9.7,0.2,61.0,46.0,2.9,6.5,西北西,12.1,西北西,5.2,,,,
22,1008.6 ),1028.7 ),0.5 ],0.5 ],0.5 ),3.9 ),11.6 ),-1.9 ),74 ),36 ),1.2 ),2.9 ),北東 ),5.1 ),北東 ),1.3 ],,,,
23,1001.4,1021.1,18.5,6.0,1.5,8.0,10.0,5.5,93.0,87.0,1.1,2.9,東北東,6.6,東北東,0.0,,,,
24,1005.4,1025.0,,,,9.7,12.8,7.0,76.0,52.0,1.8,3.9,北西,7.9,北西,1.1,,,,
25,1008.6,1028.6,0.0,0.0,0.0,6.2,9.6,3.7,59.0,40.0,1.9,4.2,北東,7.6,北東,3.1,,,,
26,1005.5,1025.3,1.5,1.0,0.5,6.4,11.2,4.2,76.0,32.0,1.0,2.8,南東,5.5,北北東,1.8,,,,
27,999.4,1019.1,7.5,2.5,1.0,6.4,8.6,4.7,80.0,64.0,3.3,8.8,東,19.7,東南東,0.0,,,,
28,990.3,1009.6,5.0,2.5,1.0,10.5,13.5,7.1,81.0,68.0,3.7,9.3,東南東,21.2,東南東,0.5,,,,
29,988.5,1007.7,3.5,3.0,0.5,9.7,12.6,5.9,80.0,62.0,2.8,5.3,西,8.3,西,0.2,,,,
30,987.4,1006.9,0.0,0.0,0.0,6.9,11.7,3.2,70.0,46.0,3.6,6.8,西,11.4,西,3.9,,,,
31,992.3,1012.0,0.0,0.0,0.0,4.6,8.0,3.0,65.0,49.0,5.2,8.5,西北西,15.8,西,6.6,,,,
