,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,6.8,11.0,3.1,2.0,4.0,西北西,11.3,西,北西,7.1,,
2,0.0,0.0,0.0,6.2,12.7,0.8,1.0,2.9,西北西,7.3,西,西,6.9,,
3,0.0,0.0,0.0,6.8,13.7,1.0,1.0,3.6,西北西,7.5,西,西,6.8,,
4,0.0,0.0,0.0,7.1,12.4,2.9,1.1,3.5,北西,8.2,西北西,北西,4.6,,
5,0.0,0.0,0.0,6.4,9.0,4.5,2.7,5.0,北北西,12.2,西北西,北北西,4.0,,
6,0.0,0.0,0.0,8.3,12.5,4.4,2.2,4.2,西北西,11.5,西,西北西,6.0,,
7,0.0,0.0,0.0,8.1,10.6,4.8,1.0,4.0,西北西,7.4,西北西,西,0.0,,
8,32.0,25.5,14.0,13.6,19.3,7.9,2.2,5.0,北西,15.7,南西,北北西,4.3,,
9,0.0,0.0,0.0,9.8,13.4,5.9,1.9,4.2,西,12.4,南西,西北西,5.3,,
10,0.0,0.0,0.0,9.3,12.6,5.2,2.2,5.3,北北西,13.1,西南西,西北西,7.3,,
11,0.0,0.0,0.0,7.1,12.6,1.9,0.8,2.7,西北西,6.9,西北西,西,5.2,,
12,0.5,0.5,0.5,7.0,9.5,1.7,0.7,2.3,西北西,4.9,北西,西北西,0.6,,
13,0.0,0.0,0.0,9.2,12.9,3.8,2.1,4.5,北西,9.3,北西,西北西,7.6,,
14,6.0,2.5,0.5,8.3,13.0,5.6,1.5,3.9,西北西,7.8,西,北西,7.0,,
15,0.5,2.0,0.5,7.2,11.3,3.2,2.2,4.3,北北西,10.4,北,北西,6.0,,
16,0.0,0.0,0.0,5.2,9.5,0.1,1.1,3.7,北北西,7.4,北,西北西,2.2,,
17,9.0,3.0,1.0,6.4,8.8,2.8,1.3,2.6,北,6.9,北東,北北西,0.0,,
18,2.0,1.0,0.5,7.4,10.3,4.9,2.9,4.9,北北西,12.4,北,北西,3.4,,
19,0.0,0.0,0.0,7.8,12.0,3.4,1.4,3.4,北北西,9.5,西,北西,6.0,,
20,0.0,0.0,0.0,8.6,13.7,2.8,1.5,5.0,西北西,10.8,西南西,西,8.0,,
21,0.0,0.0,0.0,7.4,10.4,5.2,2.5,4.8,北西,13.4,西北西,西北西,4.0,,
22,0.0,0.0,0.0,7.5,12.2,2.0,0.9,2.3,西北西,6.4,北,西,3.2,,
23,14.0,4.0,1.0,9.5,13.8,6.4,1.3,3.1,北,10.3,北,西,1.3,,
24,0.0,0.0,0.0,12.4,14.2,9.0,2.4,5.3,西,14.5,西,西,0.2,,
25,1.5,1.0,0.5,8.5,10.9,5.8,2.1,4.9,西北西,12.9,西北西,西,0.4,,
26,10.0,2.5,0.5,7.2,9.0,5.5,0.8,2.1,西北西,5.2,西北西,南南西,0.0,,
27,23.0,4.5,1.5,8.3,9.8,6.8,2.7,7.1,東北東,13.6,東北東,東北東,0.0,,
28,84.5,14.0,4.5,11.0,13.0,8.3,2.6,6.4,東北東,14.2,東,北東,0.0,,
29,0.0,0.0,0.0,12.2,16.0,8.6,2.3,4.3,北北西,12.2,西,北西,6.8,,
30,0.0,0.0,0.0,9.6,13.5,6.9,2.1,4.1,西北西,10.4,西,西北西,8.4,,
31,0.0,0.0,0.0,6.8,9.3,4.9,2.6,4.8,北西,12.9,西北西,西北西,5.1,,
