,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,6.9,11.4,3.1,2.0,3.6,北西,6.5,北西,北西,7.8,,
2,0.0,0.0,0.0,8.6,13.3,5.7,2.6,4.3,西北西,7.1,西北西,西北西,7.8,,
3,0.0,0.0,0.0,9.0,14.9,4.7,1.6,2.8,西北西,6.1,南,北西,7.8,,
4,0.0,0.0,0.0,9.4,14.2,6.0,1.9,3.8,西北西,6.4,西北西,西北西,7.8,,
5,0.0,0.0,0.0,7.4,11.4,3.9,1.7,3.6,西,9.1,西,北西,6.7,,
6,0.0,0.0,0.0,8.6,13.1,2.7,1.8,3.6,西北西,6.8,北北西,北西,7.6,,
7,0.5,0.5,0.5,10.6,13.6,9.1,1.7,2.9,北西,5.1,北西,北西,0.0,,
8,23.5,8.0,2.0,15.5,21.4,10.7,2.7,6.8,北西,13.6,北北西,北西,4.8,,
9,0.0,0.0,0.0,10.5,16.0,6.6,1.6,3.4,西,6.0,南西,北西,7.5,,
10,0.0,0.0,0.0,9.5,14.0,6.2,2.0,4.1,西北西,6.8,西北西,西北西,7.4,,
11,0.0,0.0,0.0,9.2,13.9,7.0,2.0,3.8,西北西,6.0,北西,北西,5.0,,
12,2.0,0.5,0.5,8.2,11.4,6.6,1.9,3.4,北西,6.0,北西,北西,0.5,,
13,0.0,0.0,0.0,8.8,12.9,4.5,2.0,4.2,北西,9.5,北西,西北西,8.0,,
14,10.0,4.0,1.5,8.2,13.2,3.3,1.5,3.6,東南東,6.1,東南東,北西,7.2,,
15,1.0,1.5,0.5,7.4,11.7,4.5,1.7,3.2,西北西,7.3,南西,北西,7.2,,
16,0.0,0.0,0.0,7.2,11.4,2.7,1.6,3.2,東南東,5.3,北西,北西,4.8,,
17,14.5,2.0,0.5,6.9,8.1,5.3,1.4,3.4,北西,5.5,北北西,北西,0.0,,
18,2.0,1.0,0.5,7.8,12.0,4.2,1.6,3.8,西北西,7.6,北西,西北西,2.4,,
19,0.0,0.0,0.0,7.6,12.2,3.0,1.6,3.5,西,7.7,西北西,北西,6.3,,
20,0.0,0.0,0.0,8.7,14.7,3.7,1.6,3.3,西北西,5.6,西,北西,8.1,,
21,0.0,0.0,0.0,7.7,12.9,3.0,1.9,3.8,北西,7.3,西,北西,7.0,,
22,0.5,0.5,0.5,9.7,14.2,5.0,2.2,4.0,北西,7.2,北西,北西,5.6,,
23,32.0,8.5,2.5,11.7,13.4,9.8,0.8,1.6,北西,2.6,北西,北西,0.0,,
24,0.0,0.0,0.0,12.1,15.6,7.9,1.2,2.4,北西,4.1,西北西,北西,0.3,,
25,6.5,4.0,1.0,10.1,12.9,7.5,1.7,3.4,西北西,5.7,北西,北西,0.2,,
26,16.0,4.5,1.0,9.0,11.0,7.6,0.9,2.6,西北西,5.1,北北西,北西,0.0,,
27,77.0,7.0,2.0,10.0,11.6,7.5,3.1,5.4,南南西,13.8,南西,南南西,0.0,,
28,47.0,8.0,3.0,12.8,14.9,10.7,2.7,6.0,南,14.9,南西,南,0.0,,
29,0.0,0.5,0.0,12.2,17.7,6.7,1.8,3.0,西北西,6.2,北西,西北西,3.9,,
30,0.0,0.0,0.0,8.9,15.1,4.9,1.6,2.7,西北西,5.6,東,北西,8.3,,
31,0.0,0.0,0.0,6.1,11.0,2.2,1.4,2.8,西南西,8.2,西北西,北西,4.0,,
