,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,6.6,9.7,2.9,4.5,8.3,北北西,13.7,北北西,北北西,7.3,,
2,0.0,0.0,0.0,7.0,11.6,2.1,2.4,6.6,北北西,11.6,北北西,北西,8.2,,
3,0.0,0.0,0.0,7.4,13.1,0.7,1.9,5.5,北北西,10.5,北西,北西,7.8,,
4,0.0,0.0,0.0,8.8,10.7,4.8,2.8,6.8,北北西,12.6,北北西,北西,2.8,,
5,0.0,0.0,0.0,6.8,8.7,5.1,5.6,8.8,北北西,15.0,北北西,北北西,7.7,,
6,0.0,0.0,0.0,7.4,10.4,4.7,3.1,5.7,北北西,9.9,北北西,北北西,6.7,,
7,0.5,0.5,0.5,6.3,8.8,2.7,1.0,3.0,北北西,4.3,北,西,0.2,,
8,23.0,19.5,11.0,12.2,17.8,6.2,3.3,7.7,北西,18.6,東,北西,5.2,,
9,0.0,0.0,0.0,9.1,11.9,5.0,3.2,8.0,北北西,16.7,北,北北西,5.3,,
10,0.0,0.0,0.0,8.6,11.2,6.3,2.8,5.7,北北西,11.8,北北西,西,8.3,,
11,0.0,0.0,0.0,5.7,10.1,2.4,1.3,3.9,北北西,5.5,北北西,南東,7.3,,
12,0.0,0.0,0.0,5.8,9.4,1.6,0.7,3.1,北北西,4.8,北北西,南東,0.3,,
13,0.0,0.0,0.0,7.5,11.6,1.8,2.6,6.1,北北西,10.9,北北西,西,7.9,,
14,3.5,1.5,0.5,5.8,10.4,-0.1,1.5,4.7,北北西,8.0,北北西,北北西,6.7,,
15,1.5,1.5,0.5,6.6,9.6,3.1,2.8,7.4,北北西,14.1,北北西,西,7.5,,
16,0.0,0.0,0.0,4.8,8.3,1.0,1.4,3.5,北北西,6.9,北,南東,2.1,,
17,8.5,2.5,0.5,5.4,8.3,1.1,1.1,4.7,北北西,7.2,北,北北西,0.0,,
18,4.0,1.5,0.5,7.0,10.1,4.5,3.6,6.7,北北西,12.6,北北西,北西,3.4,,
19,0.0,0.0,0.0,6.8,10.5,4.1,1.8,4.5,北北西,9.0,北北西,西,6.3,,
20,0.0,0.0,0.0,8.5,12.6,3.1,2.3,6.5,北北西,11.2,北西,西,8.0,,
21,0.0,0.0,0.0,7.1,8.9,4.2,4.3,7.9,北西,15.2,北西,北西,3.8,,
22,0.5,0.5,0.5,5.8,8.1,1.3,1.5,4.2,北北西,5.7,北北西,北北西,4.8,,
23,17.5,4.0,1.0,7.9,11.5,5.5,1.5,3.3,北北西,6.7,西南西,西,0.0,,
24,0.0,0.0,0.0,11.6,13.3,9.0,3.7,7.3,北北西,15.0,北,北北西,1.1,,
25,0.5,0.5,0.5,7.8,9.7,5.4,3.0,8.1,北北西,14.6,北,北北西,2.5,,
26,11.0,3.0,1.0,6.4,8.5,5.0,0.8,1.8,西北西,3.5,北,西南西,0.0,,
27,10.5,2.0,0.5,7.6,10.6,5.6,1.8,5.8,東南東,14.1,東南東,南東,0.0,,
28,59.5,25.5,10.5,11.4,13.8,8.2,2.6,5.3,東南東,13.5,東南東,東南東,0.0,,
29,0.0,0.5,0.0,11.6,14.8,8.3,3.1,6.4,北北西,12.3,北,北西,6.5,,
30,0.0,0.0,0.0,8.8,12.0,6.2,3.3,6.5,北北西,12.3,北西,北西,8.2,,
31,0.0,0.0,0.0,6.0,7.9,4.5,5.1,10.1,北北西,19.5,北北西,北西,6.2,,
