,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-7.9,-6.3,-9.6,4.8,7.0,南南西,12.0,西,南西,0.3,,
2,0.5,0.5,0.5,-6.4,-5.6,-7.2,3.9,6.8,南南西,10.8,南南西,南南西,0.0,,
3,0.5,0.5,0.5,-5.7,-3.8,-11.6,4.1,6.8,南南西,9.3,西南西,南南西,0.0,,
4,0.0,0.0,0.0,-10.4,-6.3,-15.6,1.4,5.0,南,6.1,南,北北東,1.8,,
5,0.0,0.0,0.0,-10.6,-6.0,-15.8,1.1,3.9,南,4.6,南,北北東,3.8,,
6,0.5,0.5,0.5,-6.4,-2.7,-14.2,1.7,6.7,北北西,10.6,北,南西,0.2,,
7,0.0,0.0,0.0,-6.5,-1.2,-16.7,1.2,2.9,北,3.3,北,北,1.5,,
8,0.0,0.0,0.0,-11.8,-7.8,-17.3,1.1,5.2,北,6.8,北,北,0.0,,
9,0.0,0.0,0.0,-11.2,-2.7,-16.9,2.2,5.8,北北西,7.3,北北西,北,4.2,,
10,0.0,0.0,0.0,-14.5,-6.7,-21.7,1.1,2.8,北,3.3,北,北,7.0,,
11,1.0,1.0,0.5,-9.5,-6.3,-16.4,0.6,2.6,北,3.3,北,南,0.0,,
12,0.0,0.0,0.0,-6.0,-1.2,-13.7,1.0,2.9,北,4.6,西南西,北,1.8,,
13,0.5,0.5,0.5,-8.4,-3.5,-13.5,1.2,2.9,北,3.9,西,北,1.0,,
14,0.0,0.0,0.0,-7.0,-3.2,-12.1,0.8,3.3,南,4.4,南,北北東,0.6,,
15,0.0,0.0,0.0,-8.8,-3.8,-15.2,1.0,3.1,北,4.5,南,北北東,4.7,,
16,0.5,0.5,0.5,-8.1,-4.1,-12.2,0.9,3.8,西,6.7,南,南南西,3.0,,
17,0.0,0.0,0.0,-6.9,-2.5,-16.2,2.0,5.9,西,8.3,西,南西,2.8,,
18,0.0,0.0,0.0,-12.8,-5.8,-17.1,1.2,3.6,北北東,4.6,北,北,8.5,,
19,0.0,0.0,0.0,-12.7,-6.7,-19.3,1.0,2.5,北,3.1,北,北,5.6,,
20,1.5,0.5,0.5,-7.1,-3.9,-11.5,0.5 ),1.9 ),南 ),2.4 ),南 ),南 ),0.0,,
21,0.5,0.5,0.5,-6.8,-3.3,-11.3,2.4 ],6.0 ],西 ],9.2 ],西 ],西 ],2.3,,
22,0.5,0.5,0.5,-3.4,0.5,-11.3,2.9,6.1,南南西,9.5,南南西,南南西,2.9,,
23,1.5,1.5,0.5,-6.0,0.6,-15.2,1.4,3.3,北,4.0,北北東,北北東,7.9,,
24,2.5,1.0,0.5,-9.2,-4.2,-15.6,3.1,9.1,西北西,13.5,西,西南西,2.6,,
25,1.0,0.5,0.5,-10.1,-7.5,-17.7,2.4,6.5,西北西,10.1,北西,南,0.4,,
26,0.0,0.0,0.0,-12.1,-6.3,-21.4,2.0,5.3,南南西,7.4,南,南南西,6.4,,
27,0.5,0.5,0.5,-8.6,-1.5,-19.2,1.5,3.7,南,5.2,南,北,6.0,,
28,0.0,0.0,0.0,-15.0,-7.5,-24.2,1.2,3.4,北,4.1,北,北北東,8.3,,
29,0.0,0.0,0.0,-7.5,-3.2,-15.6,1.9,4.4,北,6.0,北,北北東,0.0,,
30,0.0,0.0,0.0,-1.3,1.2,-5.4,5.1,9.5,北東,16.1,北北東,北北東,0.0,,
31,0.0,0.0,0.0,-1.7,0.7,-4.9,5.5,9.0,北北東,17.5,北東,北北東,0.2,,
