,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.7,10.1,0.4,1.8,4.1,南西,7.2,南西,東南東,2.9,,
2,0.0,0.0,0.0,5.5,12.7,-0.7,1.7,4.8,西,8.1,南西,南西,7.3,,
3,0.0,0.0,0.0,6.2,13.4,0.6,1.5,5.1,西南西,9.0,西,東,2.7,,
4,0.0,0.0,0.0,7.0,12.7,1.1,1.9,4.9,西,8.6,西北西,西南西,4.7,,
5,0.0,0.0,0.0,5.0,8.3,1.2,1.7,4.3,西北西,8.1,北西,北西,1.8,,
6,0.0,0.0,0.0,5.1,10.2,-1.5,1.1,2.9,北,5.4,北,北北西,6.1,,
7,6.5,2.0,0.5,5.2,7.7,1.5,0.6,1.7,南東,3.2,北東,北北西,0.0,,
8,22.0,13.5,3.5,11.1,17.4,7.2,4.1,11.3,西南西,22.4,西南西,西南西,3.8,,
9,0.0,0.0,0.0,9.4,13.4,4.8,2.3,4.9,西北西,12.0,西,西北西,3.4,,
10,0.0,0.0,0.0,6.6,12.4,1.9,1.5,4.6,北,9.4,北西,北北西,4.9,,
11,0.0,0.0,0.0,5.2,12.5,0.4,1.2,2.6,東南東,4.8,西南西,東南東,7.9,,
12,0.0,0.0,0.0,5.7,9.3,1.6,1.1,2.2,東南東,4.0,西南西,南東,0.1,,
13,0.0,0.0,0.0,7.9,12.2,2.9,2.6,5.5,西南西,10.6,西南西,南西,7.9,,
14,1.0,1.0,0.5,5.0,10.3,-1.8,1.3,3.2,南東,5.5,南,南東,4.2,,
15,0.0,0.0,0.0,5.7,9.4,2.3,1.7,4.9,西,8.6,西,西,2.7,,
16,0.0,0.0,0.0,3.7,9.5,-0.7,1.2,2.2,東南東,3.4,東南東,東南東,4.7,,
17,0.0,0.0,0.0,5.2,9.1,1.5,1.4,3.9,南南東,6.4,南,南南東,0.0,,
18,0.5,0.5,0.5,6.1,11.2,0.9,2.2,5.8,北,11.0,北北西,南東,3.6,,
19,0.5,0.5,0.5,5.3,10.9,-1.6,1.3,3.2,南東,5.4,南西,南東,5.4,,
20,0.0,0.0,0.0,7.8,12.7,0.5,2.8,5.9,西南西,10.0,西,西,5.9,,
21,0.0,0.0,0.0,6.3,10.7,0.0,2.3,5.0,西北西,11.0,北西,西北西,4.9,,
22,0.5,0.5,0.5,4.8,10.3,-1.7,0.8,3.0,東北東,5.1,東北東,南東,2.4,,
23,27.5,6.0,1.5,8.4,10.8,6.0,0.9,3.7,東,6.2,東,東,0.0,,
24,0.0,0.0,0.0,9.8,14.1,7.6,1.7,3.5,北,7.4,北,北北西,0.6,,
25,0.0,0.0,0.0,6.9,10.9,3.5,1.5,3.1,北西,7.0,北北西,北西,1.8,,
26,0.0,0.0,0.0,7.5,12.3,5.1,1.0,2.9,東北東,4.4,東北東,南南東,2.1,,
27,7.0,1.5,1.0,7.9,9.9,5.6,3.1,9.7,東,17.2,東,北東,0.0,,
28,0.5,0.5,0.5,12.1,15.8,9.0,5.1,9.9,東南東,17.2,東南東,東南東,1.5,,
29,3.0,1.5,0.5,10.3,14.4,4.0,1.8,4.0,北西,7.5,西北西,北西,0.4,,
30,0.0,0.0,0.0,7.0,12.1,1.9,2.3,4.9,西北西,9.5,北西,北西,1.9,,
31,0.0,0.0,0.0,5.5,9.0,3.3,3.5,6.6,北西,13.0,北西,西北西,4.4,,
