,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,,,,,,,,,,,,
2,0.0,0.0,0.0,,,,,,,,,,,,
3,0.0,0.0,0.0,,,,,,,,,,,,
4,8.0,3.0,1.5,,,,,,,,,,,,
5,3.0,3.0,1.5,,,,,,,,,,,,
6,0.0,0.0,0.0,,,,,,,,,,,,
7,5.5,1.5,0.5,,,,,,,,,,,,
8,15.0,7.5,3.0,,,,,,,,,,,,
9,1.5,1.0,0.5,,,,,,,,,,,,
10,2.0,0.5,0.5,,,,,,,,,,,,
11,0.0,0.0,0.0,,,,,,,,,,,,
12,1.0,0.5,0.5,,,,,,,,,,,,
13,0.0,0.0,0.0,,,,,,,,,,,,
14,0.0,0.0,0.0,,,,,,,,,,,,
15,4.0,2.0,1.5,,,,,,,,,,,,
16,0.0,0.0,0.0,,,,,,,,,,,,
17,0.0,0.0,0.0,,,,,,,,,,,,
18,0.0,0.0,0.0,,,,,,,,,,,,
19,0.0,0.0,0.0,,,,,,,,,,,,
20,0.0,0.0,0.0,,,,,,,,,,,,
21,3.5,1.0,0.5,,,,,,,,,,,,
22,0.0,0.0,0.0,,,,,,,,,,,,
23,13.5,3.5,1.0,,,,,,,,,,,,
24,0.5,0.5,0.5,,,,,,,,,,,,
25,0.0,0.0,0.0,,,,,,,,,,,,
26,0.0,0.0,0.0,,,,,,,,,,,,
27,5.5,2.5,1.0,,,,,,,,,,,,
28,4.0,1.5,0.5,,,,,,,,,,,,
29,5.5,2.5,1.0,,,,,,,,,,,,
30,6.5,2.5,1.0,,,,,,,,,,,,
31,5.5,1.5,1.0,,,,,,,,,,,,
