,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.7,10.2,-2.4,1.0,3.3,北北西,5.1,北北西,南,9.0,,
2,0.0,0.0,0.0,5.2,12.8,-0.3,0.9,2.8,西北西,5.0,西北西,南,7.2,,
3,0.0,0.0,0.0,6.2,12.5,1.8,1.3,3.0,西,6.9,北西,南南東,4.1,,
4,0.0,0.0,0.0,5.6,13.4,0.0,1.3,4.6,北北西,7.0,北北西,南,8.5,,
5,0.0,0.0,0.0,5.5,13.7,0.2,1.0,3.3,北北西,5.5,東南東,南,8.7,,
6,0.0,0.0,0.0,6.9,10.7,1.6,0.5,2.9,南東,5.5,南東,南南東,0.0,,
7,5.5,2.0,1.0,13.7,19.4,9.0,2.2,9.2,南南東,16.6,南,南南東,0.0,,
8,23.5,16.0,10.0,10.7,19.1,7.3,3.2,9.1,南南東,16.4,南南東,西北西,3.1,,
9,0.0,0.0,0.0,8.9,11.9,6.0,1.3,3.7,北北西,6.2,北北西,西南西,2.9,,
10,0.0,0.0,0.0,6.7,13.0,2.0,1.0,3.3,北北西,5.2,南南東,南,8.7,,
11,0.0,0.0,0.0,7.7,14.5,3.0,0.8,2.9,北,5.1,北,南南東,3.5,,
12,0.5,0.5,0.5,6.9,9.2,3.5,1.4,4.2,西北西,8.6,北西,西北西,1.0,,
13,0.0,0.0,0.0,5.5,8.5,1.1,1.5,3.7,北西,7.2,北西,西北西,0.3,,
14,0.0,0.0,0.0,4.0,8.0,0.9,0.9,4.6,北北西,7.9,北,北,0.0,,
15,0.0,0.0,0.0,3.5,9.5,-0.6,1.2,4.5,北北西,8.1,北北西,南南東,2.9,,
16,0.0,0.0,0.0,4.5,8.8,0.6,0.3,1.6,北北東,3.0,北東,北北東,0.0,,
17,0.0,0.0,0.0,6.4,12.6,1.9,1.5,5.8,北北西,10.5,北北西,北北西,4.0,,
18,3.5,2.5,1.0,6.2,11.1,3.2,1.3,4.4,北西,8.1,北北西,南,3.2,,
19,0.0,0.0,0.0,5.7,10.3,1.3,0.9,2.9,西北西,6.7,西北西,南,1.4,,
20,0.0,0.0,0.0,7.1,10.4,2.3,1.7,4.6,北北西,8.3,西北西,西北西,2.0,,
21,0.0,0.0,0.0,5.6,12.3,1.0,1.2,3.6,南東,6.2,南東,南南東,9.3,,
22,16.0,4.0,1.5,5.6,8.8,1.7,0.4,2.6,北北西,4.2,北北西,北,0.0,,
23,27.0,19.5,8.5,13.4,19.5,8.7,1.2,5.2,北北西,10.2,北北西,北西,2.0,,
24,0.0,0.0,0.0,12.6,16.3,9.0,1.4,4.3,北北西,6.7,北北西,北北西,0.6,,
25,15.0,4.0,1.5,9.5,12.4,7.7,1.3,3.5,南東,7.5,南東,北,0.0,,
26,5.0,2.0,0.5,9.6,13.0,7.4,1.6,3.5,東,12.0,北東,東南東,0.3,,
27,29.5,8.5,3.0,8.4,11.0,6.7,2.7,6.3,北,15.2,東北東,東北東,0.1,,
28,2.0,1.0,0.5,9.7,13.5,6.6,2.1,6.4,北北西,9.8,北西,北北西,2.7,,
29,4.5,2.0,1.0,7.8,12.1,5.4,0.8,3.9,北北西,6.4,北北西,南南西,1.4,,
30,0.5,0.5,0.5,6.4,10.4,4.6,1.8,7.1,北北西,12.5,北北西,北北西,2.7,,
31,1.0,0.5,0.5,5.5,9.3,2.5,1.0,4.0,北,6.7,北,北北西,3.2,,
