,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.1,8.6,1.9,0.9,3.9,西,6.7,西,東南東,1.1,0.0,0.0
2,0.0,0.0,0.0,5.5,11.1,1.1,1.1,4.9,西,8.5,北西,北西,5.9,0.0,0.0
3,0.0,0.0,0.0,6.3,12.1,3.2,0.9,4.6,西,9.0,西北西,北,1.9,0.0,0.0
4,7.0,2.5,1.0,6.4,10.8,4.1,1.4,6.3,北西,13.6,北北西,北北西,2.2,0.0,0.0
5,2.5,1.0,0.5,4.1,6.8,1.1,1.6,5.5,北東,8.7,北北東,北北西,0.7,0.0,0.0
6,0.0,0.0,0.0,3.5,8.8,-0.2,0.8,3.3,西北西,6.5,西北西,南,1.9,0.0,0.0
7,5.5,2.5,0.5,6.1,13.5,0.5,1.4,7.2,南南西,11.1,南西,南南西,0.0,0.0,0.0
8,11.0,7.0,3.0,12.8,16.8,7.3,4.1,10.2,南南西,17.7,南西,南南西,3.1,0.0,0.0
9,1.5,0.5,0.5,8.0,11.9,5.5,1.4,4.4,西南西,7.7,北北西,西北西,2.2,0.0,0.0
10,2.0,1.0,1.0,5.2,10.4,1.4,1.6,5.5,北,9.7,北北東,北西,4.2,0.0,0.0
11,0.0,0.0,0.0,5.2,13.1,0.8,1.1,2.9,北,4.4,北北西,南南西,6.3,0.0,0.0
12,1.5,1.0,0.5,5.3,10.6,1.8,0.5,2.5,北北西,3.6,北西,南西,0.5,0.0,0.0
13,0.0,0.0,0.0,4.3,10.6,-0.1,1.9,6.2,北北西,9.4,北北西,北西,4.2,0.0,0.0
14,0.0,0.0,0.0,4.0,9.1,-1.7,1.2,4.6,南南西,6.7,南南西,南,1.7,0.0,0.0
15,7.0,2.5,1.0,2.6,8.0,-1.3,0.9,5.5,北西,8.9,北西,南,0.9,0.0,0.0
16,0.0,0.0,0.0,3.9,10.0,1.6,0.9,3.3,南,5.5,南南西,南,2.4,0.0,0.0
17,0.5,0.5,0.5,4.8,10.1,0.0,1.2,3.8,北北西,5.7,北,北北東,2.9,0.0,0.0
18,0.0,0.0,0.0,4.8,9.4,-0.4,2.2,5.7,北北東,14.0,北,北,4.2,0.0,0.0
19,0.0,0.0,0.0,3.7,10.0,-2.8,0.8,3.8,南南西,7.1,南西,南南西,2.8,0.0,0.0
20,0.0,0.0,0.0,6.2,11.9,1.2,1.4,5.5,南南西,7.8,西北西,北西,4.9,0.0,0.0
21,3.0,1.0,0.5,4.3,7.3,2.6,1.3,4.3,北西,6.9,北西,北北西,1.2,0.0,0.0
22,0.0,0.0,0.0,4.5,8.1,1.2,1.1,2.9,西南西,4.5,南南東,南南西,0.8,0.0,0.0
23,9.5,2.0,0.5,9.2,13.5,5.3,0.9,2.8,北,5.0,北北西,北東,0.1,0.0,0.0
24,2.0,0.5,0.5,8.8,11.1,5.1,1.8,5.5,北,9.5,北,北北西,0.0,0.0,0.0
25,0.0,0.0,0.0,5.5,8.2,2.6,1.6,4.4,北西,6.7,北北西,北東,2.3,0.0,0.0
26,0.0,0.0,0.0,6.7,12.6,2.3,1.6,4.9,北西,8.6,北北西,北北西,4.6,0.0,0.0
27,11.0,5.5,1.5,6.3,8.2,5.1,1.1,2.9,北,5.7,東北東,北北東,0.0,0.0,0.0
28,11.0,2.5,1.0,8.2,11.1,5.0,0.8,4.1,北北西,6.1,北北西,東北東,0.9,0.0,0.0
29,2.0,1.0,0.5,8.4,12.1,4.7,1.5,6.0,北北西,10.3,北西,北北西,2.2,0.0,0.0
30,6.0,2.0,1.0,5.3,9.2,2.9,1.8,4.4,北,8.2,北,北西,2.1,0.0,0.0
31,6.5,1.5,0.5,3.5,6.4,1.4,2.2,6.6,北西,11.9,北西,北北西,2.2,0.0,0.0
