,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.3,8.2,0.6,1.1,3.0,南東,4.7,南西,南東,2.3,,
2,0.0,0.0,0.0,5.2,10.9,1.2,1.1,3.5,東南東,5.6,東南東,南東,5.4,,
3,0.0,0.0,0.0,6.0,11.8,1.7,0.9,2.6,南西,4.8,南西,東南東,2.0,,
4,4.0,2.0,1.0,5.6,11.2,1.2,1.0,3.9,西,7.7,西,北北西,2.6,,
5,2.0,1.5,0.5,4.3,7.5,1.3,2.1,6.0,北西,10.9,北西,北西,2.8,,
6,0.0,0.0,0.0,3.7,9.4,-0.5,1.0,3.7,北西,5.4,北北西,南東,3.0,,
7,3.5,1.5,0.5,5.4,14.6,1.5,0.8,5.0,南,14.1,南西,南東,0.0,,
8,21.0,13.5,7.0,13.7,17.2,8.5,4.0,7.9,南,20.0,南,南南西,2.6,,
9,0.0,0.0,0.0,7.9,11.7,4.8,1.5,3.7,北北西,7.7,北北西,北北西,4.1,,
10,0.5,0.5,0.5,6.1,11.2,2.7,1.6,4.2,北北西,8.4,北北西,北北西,4.8,,
11,0.0,0.0,0.0,5.4,12.2,1.4,0.9,2.5,南東,5.0,南南東,東南東,7.3,,
12,0.0,0.0,0.0,5.7,11.1,2.1,0.7,2.9,南東,4.8,南南東,南南東,0.7,,
13,0.0,0.0,0.0,4.9,11.2,0.1,1.6,4.9,南東,8.4,東南東,南東,7.2,,
14,0.0,0.0,0.0,4.5,8.8,-1.6,1.3,3.0,南南西,6.8,南,南,2.1,,
15,2.5,1.5,1.0,3.9,8.2,1.3,1.3,4.8,北北西,10.1,北,西北西,2.9,,
16,0.0,0.0,0.0,4.0,9.8,0.5,0.8,2.5,南南東,5.1,西南西,南東,4.5,,
17,0.5,0.5,0.5,5.3,10.6,1.2,1.1,3.6,北西,7.2,北,北西,3.2,,
18,0.0,0.5,0.5,6.9,10.3,2.3,3.1,5.8,北西,11.5,北,北北西,5.5,,
19,0.0,0.0,0.0,4.4,9.7,-1.7,1.3,3.7,南,7.5,南,南,4.4,,
20,0.0,0.0,0.0,6.7,10.9,2.1,1.5,3.7,南,6.5,南,東南東,3.5,,
21,1.0,1.0,0.5,3.9,7.6,0.8,1.3,5.3,北西,9.0,西北西,東南東,1.4,,
22,0.0,0.0,0.0,4.5,8.7,0.1,1.1,2.9,東南東,5.1,東南東,東南東,0.8,,
23,13.5,3.5,1.0,8.9,12.6,5.9,0.7,3.0,東南東,4.6,南東,北西,0.0,,
24,0.0,0.0,0.0,9.5,12.5,6.3,2.3,5.7,北北東,12.0,北,北,1.0,,
25,0.0,0.0,0.0,6.2,8.3,4.3,2.8,5.0,北,10.5,北北西,北北西,2.4,,
26,0.0,0.0,0.0,7.8,12.5,3.4,2.1,6.0,北北東,11.2,北,北,4.1,,
27,8.0,4.0,1.0,7.3,8.5,5.7,2.7,5.5,北,12.0,東,北,0.0,,
28,7.5,2.5,1.0,10.0,14.9,6.0,1.9,5.8,東南東,10.7,東南東,西,0.7,,
29,1.0,1.0,0.5,8.6,13.9,2.2,1.3,5.3,北西,8.5,北北西,北北西,2.7,,
30,0.0,0.0,0.0,4.8,10.4,0.6,1.5,5.1,北,9.8,北北東,北,2.4,,
31,0.5,0.5,0.5,3.9,6.4,2.6,2.1,6.1,北西,11.6,西北西,北北西,1.7,,
