,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,3.1,8.0,0.2,0.9,2.6,南西,5.6,北,南南西,2.4,,
2,0.0,0.0,0.0,4.3,10.9,0.5,1.1,2.7,北東,5.9,北東,南南西,6.0,,
3,0.0,0.0,0.0,4.8,11.5,1.3,0.9,2.5,南南西,5.5,南南西,南南西,2.0,,
4,6.0,3.5,1.5,5.3,11.2,1.9,1.1,4.1,東北東,7.5,東北東,北北東,2.2,,
5,4.5,1.0,0.5,2.5,5.6,0.1,0.8,2.7,北東,5.9,北,東北東,0.7,,
6,0.0,0.0,0.0,2.9,7.2,-0.9,0.8,3.4,北東,5.8,東北東,北北東,3.4,,
7,4.5,2.5,0.5,4.8,10.6,0.7,1.9,4.8,南,9.8,南,南,0.0,,
8,25.0,14.0,5.5,11.4,15.0,6.7,3.5,7.7,南,16.3,南,南南西,2.8,,
9,0.0,0.0,0.0,7.0,11.7,5.0,1.1,3.2,東北東,7.4,東,東北東,3.2,,
10,2.0,0.5,0.5,4.3,9.2,1.3,1.2,4.1,東北東,7.9,東,北東,4.9,,
11,0.5,0.5,0.5,4.5,12.4,-0.3,0.9 ),2.9 ),南南西 ),5.3 ),南 ),南南西,5.9,,
12,0.5,0.5,0.5,5.0,10.6,1.9,0.9,2.4,南,5.7,南南西,南,1.1,,
13,0.0,0.0,0.0,3.9,10.5,-0.6,1.1,2.9,南南東,6.8,南,南南西,5.2,,
14,0.0,0.0,0.0,2.8,7.7,-1.8,1.2,4.4,南南西,7.3,南,南南西,1.5,,
15,4.5,2.5,0.5,2.1,6.9,-0.7,1.1,4.4,北東,7.7,北東,北北東,2.2,,
16,0.0,0.0,0.0,3.2,8.8,-0.3,0.7,2.7,南,5.7,南,南南西,3.7,,
17,1.0,0.5,0.5,4.3,9.5,0.1,1.2,4.2,北東,7.5,東北東,北,4.7,,
18,0.0,0.0,0.0,4.9,8.0,1.6,3.1,5.7,北東,11.8,東北東,東北東,5.5,,
19,0.0,0.0,0.0,3.6,8.7,-1.1,1.3,4.0,南,8.7,南南西,南,3.2,,
20,0.0,0.0,0.0,5.2,9.5,1.4,0.8,2.4,南,5.6,南南東,南,1.4,,
21,2.0,0.5,0.5,2.8,5.7,0.6,0.9,3.2,東北東,6.3,東北東,東北東,0.7,,
22,0.0,0.0,0.0,3.7,7.4,-0.7,1.2,3.5,南南西,6.6,南南西,南,0.4,,
23,14.5,3.0,1.0,8.7,13.0,5.5,1.0,2.7,南西,5.1,南南西,南南西,0.6,,
24,1.5,1.0,0.5,7.7,10.3,3.7,1.1,3.3,東北東,7.2,東,北東,0.7,,
25,0.0,0.0,0.0,4.2,6.7,2.4,2.7,4.4,東北東,8.4,東,東北東,2.8,,
26,0.0,0.0,0.0,6.1,11.4,2.1,1.9,3.9,北東,7.8,東北東,東北東,4.6,,
27,10.5,6.0,2.0,5.0,6.2,3.4,2.7,4.5,東北東,8.6,東,東北東,0.0,,
28,8.5,2.0,1.0,8.1,11.5,4.4,1.3,4.1,北北東,7.4,北北西,北東,0.2,,
29,1.0,1.0,0.5,7.3,11.2,2.8,0.8,2.9,北,6.4,北,北北東,2.3,,
30,1.0,1.0,0.5,4.3,8.8,1.3,1.3,3.4,東北東,6.9,東,南東,3.5,,
31,2.5,1.0,0.5,1.9,5.4,0.6,1.1,2.9,東北東,8.0,北,北北東,1.0,,
