,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-5.3,-2.4,-12.1,4.2,8.3,西,14.4,西,西,7.5,0.0,4.0
2,0.0,0.0,0.0,-6.0,-1.3,-12.5,3.2,8.0,西南西,12.3,西北西,西,8.1,0.0,4.0
3,0.0,0.0,0.0,-4.8,0.9,-13.8,3.1,6.7,西南西,11.3,西南西,西南西,7.8,0.0,4.0
4,0.0,0.0,0.0,-8.8,-3.5,-13.3,2.6,5.2,北北西,6.7,北北西,北北西,8.6,0.0,4.0
5,0.0,0.0,0.0,-9.0,-1.5,-13.3,2.3,4.8,北,6.7,北,北北西,5.9,1.0,4.0
6,0.0,0.0,0.0,-5.1,0.7,-14.1,4.5,9.7,北西,14.6,北北西,北北西,8.3,0.0,4.0
7,0.0,0.0,0.0,-4.8,2.5,-10.0,2.1,4.1,北北西,5.4,北西,北西,7.6,0.0,4.0
8,4.0,1.0,0.5,-5.0,-2.8,-8.8,3.7,5.4,北北西,7.0,北北西,北北西,0.0,12.0,16.0
9,0.5,0.5,0.5,-5.0,-1.9,-12.4,2.7,4.2,北西,5.8,北,北西,4.7,0.0,16.0
10,0.0,0.0,0.0,-10.0,-0.9,-15.6,2.2,4.5,北北西,4.8,北北西,北北西,7.7,0.0,14.0
11,0.0,0.0,0.0,-8.8,-4.0,-14.8,3.3,5.1,北北西,6.4,北北西,北北西,1.3,0.0,13.0
12,0.0,0.0,0.0,-8.6,0.0,-15.2,2.1,3.5,北北西,4.3,北北西,北北西,2.7,3.0,13.0
13,0.0,0.0,0.0,-9.2,-2.6,-13.9,2.7,4.8,北西,5.7,西北西,北西,7.2,0.0,12.0
14,0.0,0.0,0.0,-10.0,-1.3,-16.2,2.4,4.2,北北西,5.0,北,北北西,8.0,0.0,12.0
15,0.0,0.0,0.0,-10.9,-3.8,-15.6,2.9,4.9,北北西,5.8,北西,北北西,7.2,0.0,12.0
16,0.0,0.0,0.0,-10.2,-1.5,-16.7,2.2,4.8,北北西,4.9,北,北北西,8.3,0.0,12.0
17,0.0,0.0,0.0,-10.2,-0.1,-17.5,2.5,4.9,北西,5.6,北西,北西,8.5,0.0,12.0
18,0.0,0.0,0.0,-9.6,-4.2,-14.9,3.4,5.7,北西,6.4,北西,北北西,8.7,0.0,13.0
19,0.0,0.0,0.0,-7.2,-1.4,-11.8,2.7,4.6,北北西,4.9,北,北北西,6.4,0.0,13.0
20,1.0,0.5,0.5,-5.4,-1.7,-11.4,3.2,5.3,北北西,6.8,北,北北西,1.7,6.0,18.0
21,0.0,0.0,0.0,-8.1,-1.3,-14.9,3.2,6.0,北北西,7.9,北北西,北西,6.8,1.0,17.0
22,0.0,0.0,0.0,-6.2,3.0,-19.1,2.1,4.3,南南東,6.7,南南東,北北西,7.4,0.0,17.0
23,0.0,0.0,0.0,-3.3,3.0,-10.5,2.6,5.2,北北西,6.7,北北西,北西,7.7,1.0,17.0
24,0.0,0.0,0.0,-6.0,2.8,-16.5,2.7,7.7,西,12.8,西,北北西,7.4,0.0,16.0
25,0.0,0.0,0.0,-12.3,-3.5,-19.2,1.9,4.7,北西,5.8,北西,北西,9.1,0.0,16.0
26,0.0,0.0,0.0,-13.2,-4.7,-19.8,2.2,5.1,北西,5.7,北西,北北西,9.2,1.0,16.0
27,0.0,0.0,0.0,-9.6,-0.4,-18.3,2.6,5.5,西北西,7.6,北西,北北西,9.3,0.0,16.0
28,0.0,0.0,0.0,-7.4,-1.7,-16.4,2.5,5.2,北西,6.2,北西,北北西,8.4,0.0,16.0
29,7.0,1.5,0.5,-3.3,-1.8,-7.2,3.6,5.1,北北西,6.8,北北西,北北西,0.0,15.0,31.0
30,7.0,1.5,0.5,0.1,1.6,-2.1,6.9,10.4,北北西,15.3,北西,北北西,0.0,26.0,56.0
31,0.0,0.0,0.0,1.0,2.8,-1.3,5.6,8.9,北,13.5,北,北北西,0.0,0.0,48.0
