,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.2,10.7,-2.2,0.6,3.1,西南西,8.2,西,西,7.3,,
2,0.0,0.0,0.0,2.7,12.7,-2.5,0.5,2.7,北,6.2,北北東,西,7.3,,
3,0.0,0.0,0.0,4.1,12.6,-0.3,0.8,2.9,西北西,8.3,南西,北北東,4.8,,
4,0.0,0.0,0.0,6.1,12.4,-1.2,1.2,4.1,北北東,12.6,北,北北東,7.1,,
5,0.0,0.0,0.0,5.0,10.9,-1.2,1.2,3.9,北北東,8.1,北,北北東,6.9,,
6,0.0,0.0,0.0,3.9,13.1,-2.9,0.5,2.6,南南西,6.1,南西,南南西,5.7,,
7,2.0,1.0,0.5,6.3,8.6,3.1,0.2,1.3,北東,2.5,北東,南南西,0.0,,
8,26.5,18.5,6.0,12.9,18.4,7.9,2.1,5.1,南,13.6,南南東,南南西,2.2,,
9,0.0,0.0,0.0,7.6,14.0,3.3,1.2,3.6,北北東,8.6,北北東,東北東,6.2,,
10,0.0,0.0,0.0,5.7,12.9,0.5,0.9,2.9,北東,6.1,北東,北北東,7.0,,
11,0.0,0.0,0.0,3.9,13.6,-1.0,0.4,3.3,南,7.3,南南西,南南東,5.0,,
12,2.5,1.0,0.5,5.2,11.0,0.3,0.2,1.3,南南西,2.4,南西,西南西,0.6,,
13,0.0,0.0,0.0,6.3,11.4,0.4,1.7,3.9,北,11.5,西北西,北,7.0,,
14,6.0,3.0,1.0,4.6,12.9,-1.7,0.4,1.8,南南西,4.1,南西,南,3.9,,
15,0.0,0.5,0.0,4.7,9.5,-0.2,1.0,4.1,北北西,11.3,南西,南南西,6.4,,
16,0.0,0.0,0.0,3.2,9.8,-1.6,0.2,1.7,南,3.8,南南西,南,0.5,,
17,13.5,3.0,1.0,4.8,6.7,2.9,0.4,2.3,北北東,5.0,北,北東,0.0,,
18,2.0,1.5,0.5,5.3,12.3,0.4,0.8,3.1,北東,7.0,北,北北東,4.4,,
19,0.5,0.5,0.5,3.6,11.7,-2.0,0.4,3.0,北東,4.0,南南東,南南東,5.2,,
20,0.0,0.0,0.0,4.3,13.2,-0.7,0.7,2.9,北北東,7.2,北,北西,7.6,,
21,0.0,0.0,0.0,4.5,12.4,-0.6,1.3,4.4,北北東,8.8,北北東,北北東,7.7,,
22,0.0,0.0,0.0,5.7,13.6,-1.4,0.4,2.1,南南西,4.4,南南東,東北東,3.2,,
23,51.0,9.0,2.5,10.6,16.4,7.8,0.4,2.7,南南西,7.6,南西,南西,0.0,,
24,0.0,0.0,0.0,10.1,15.4,6.7,0.3,2.6,北東,4.2,北東,北東,0.3,,
25,9.5,4.0,1.0,8.0,12.4,6.0,0.3,2.0,北,3.0,北,北東,0.0,,
26,10.0,3.5,1.0,8.3,10.6,6.0,0.4,2.1,北東,3.2,北東,北東,0.0,,
27,37.5,7.0,1.5,9.5,11.4,6.5,4.3,9.7,北東,22.4,北東,北東,0.0,,
28,3.5,2.0,1.0,12.2,15.6,10.1,2.2,6.2,北東,16.3,東北東,北東,0.1,,
29,0.0,0.0,0.0,9.8,14.7,5.0,1.0,4.4,北北東,9.9,北北東,北北東,1.9,,
30,0.0,0.0,0.0,6.5,13.7,1.2,1.0,3.7,北東,7.0,西,西北西,7.2,,
31,0.0,0.0,0.0,4.1,8.4,0.6,1.3,3.7,北北西,8.7,西北西,北北東,1.3,,
