,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,1.5,7.5,-2.1,1.1,4.4,西北西,8.2,西北西,西北西,6.3,,
2,0.0,0.0,0.0,1.6,9.6,-2.8,0.7,2.9,南西,5.9,西,北西,6.3,,
3,0.0,0.0,0.0,3.5,9.6,-0.5,0.6,2.9,西,8.3,西,西北西,2.4,,
4,0.0,0.0,0.0,4.3,9.6,-1.3,1.1,3.4,西北西,9.2,西北西,東南東,4.0,,
5,0.0,0.0,0.0,3.9,7.2,0.4,1.7,3.8,南西,10.4,南,西,4.0,,
6,0.0,0.0,0.0,3.6,12.0,-2.7,0.5,3.1,東北東,5.1,東,東南東,6.0,,
7,5.5,2.0,0.5,5.4,10.9,2.1,0.9,2.4,西北西,4.2,東北東,西北西,0.0,,
8,39.0,21.5,9.0,11.7,16.1,7.5,3.0,10.0,東北東,17.8,北東,東,1.5,,
9,0.0,0.0,0.0,7.2,10.5,4.7,1.2,3.3,西北西,8.8,北北東,西,1.0,,
10,0.0,0.0,0.0,5.2,10.6,0.3,1.3,3.5,西北西,8.1,西北西,西北西,5.3,,
11,0.0,0.0,0.0,2.9,12.2,-0.5,1.4,2.9,北西,4.8,北北西,北西,5.5,,
12,1.5,0.5,0.5,3.8,8.2,0.0,0.9,3.0,北西,4.5,西北西,北西,0.1,,
13,0.0,0.5,0.0,4.0,8.7,0.0,0.9,3.3,北東,9.0,東,西北西,2.7,,
14,5.5,2.5,1.0,3.7,11.4,-2.0,0.9,4.3,東北東,8.0,東北東,西,4.8,,
15,0.0,0.0,0.0,2.8,4.9,-0.2,0.6,2.9,北東,6.6,北,北西,0.5,,
16,0.0,0.0,0.0,1.8,7.3,-1.9,0.7,2.2,北西,4.6,北北西,北西,0.6,,
17,16.5,2.5,0.5,3.0,4.6,0.7,0.8,2.3,西北西,3.5,西北西,西北西,0.0,,
18,0.5,1.0,0.5,3.1,7.2,-0.4,0.9,3.8,西南西,9.1,西北西,西,2.9,,
19,0.0,0.0,0.0,2.8,10.2,-2.6,0.8,4.4,東北東,7.5,東,北北西,4.5,,
20,0.0,0.0,0.0,3.7,9.9,-1.5,0.8,3.4,西北西,8.8,北西,西,5.9,,
21,0.0,0.0,0.0,4.1,8.5,-1.1,1.4,4.0,西北西,9.2,東南東,北西,5.5,,
22,5.0,1.5,0.5,4.4,11.1,-1.8,1.3,4.4,東北東,8.2,東,北西,3.3,,
23,46.5,8.5,3.0,9.5,15.1,6.2,0.9,4.3,東北東,9.6,東北東,北西,0.0,,
24,0.0,0.0,0.0,7.9,10.4,5.1,0.5,2.2,北西,4.4,北,北西,0.0,,
25,8.0,4.0,1.0,6.4,9.1,4.5,0.6,2.3,西,4.7,南,西北西,0.0,,
26,13.5,3.5,1.0,6.2,9.5,4.6,0.7,2.1,北西,4.5,北西,西北西,0.0,,
27,26.5,6.0,1.5,7.6,10.1,4.6,4.4,10.3,西北西,24.0,西,西北西,0.0,,
28,0.0,0.0,0.0,11.8,15.4,9.3,3.5,8.5,西北西,17.7,西,西北西,3.7,,
29,0.0,0.0,0.0,8.1,10.5,4.0,0.8,3.6,西北西,6.8,北西,北西,0.0,,
30,0.0,0.0,0.0,4.9,9.4,0.1,1.0,3.7,北西,9.8,西北西,西,6.1,,
31,7.0,3.0,1.0,2.3,5.0,0.2,1.0 ),3.0 ),北西 ),7.5 ),北西 ),北 ),0.6,,
