,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.7,10.5,0.5,1.9,3.8,北西,11.0,北西,北西,9.4,,
2,0.0,0.0,0.0,4.5,12.3,-2.2,1.1,2.1,南東,3.7,北,南東,9.5,,
3,0.0,0.0,0.0,4.0,12.7,-2.7,1.1,2.5,南,4.5,西,西南西,9.3,,
4,0.0,0.0,0.0,5.7,11.9,-0.5,1.8,4.8,北西,11.6,北西,北西,7.0,,
5,0.0,0.0,0.0,4.3,9.3,-0.5,2.1,4.2,北西,10.9,北西,北西,8.8,,
6,0.0,0.0,0.0,5.1,12.0,-2.0,1.8,4.7,西北西,10.5,西,北西,8.7,,
7,2.0,1.0,0.5,3.3,8.0,-1.9,1.2,2.2,北,4.2,北,北,0.7,,
8,5.0,5.0,1.5,4.4,7.7,2.8,1.1,3.3,北北西,6.4,北,北西,1.5,,
9,0.0,0.0,0.0,9.6,13.9,2.2,2.9,6.1,北西,15.3,北西,北西,9.5,,
10,0.0,0.0,0.0,6.4,12.9,0.8,1.5,3.6,北北西,8.3,北北西,北西,8.3,,
11,0.0,0.0,0.0,4.7,9.4,1.5,1.2,2.2,北北西,3.9,北,北西,4.0,,
12,0.0,0.0,0.0,4.9,9.3,-1.5,0.9,2.0,東南東,3.6,東,西北西,1.5,,
13,0.5,0.5,0.5,7.4,13.3,1.5,1.3,3.6,北東,6.1,北北東,北西,9.1,,
14,0.0,0.0,0.0,7.3,12.8,1.6,1.4,3.3,南南東,6.0,南,北東,8.6,,
15,3.5,1.5,0.5,6.5,9.7,3.9,1.8,3.9,西北西,9.6,北西,北西,2.5,,
16,0.0,0.0,0.0,5.0 ),11.2 ),0.4 ),1.5 ),2.9 ),南南西 ),6.8 ),北西 ),北西 ),5.4 ],,
17,0.0,0.0,0.0,5.3,10.5,0.1,1.3,2.8,北北東,5.0,北東,北西,4.8,,
18,0.0,0.0,0.0,4.2,5.7,3.2,2.1,3.9,北東,8.0,北,北西,0.0,,
19,0.0,0.0,0.0,5.1,11.5,-1.4,1.3,3.4,南,6.4,東,南,8.8,,
20,0.0,0.0,0.0,5.6,14.6,-1.9,1.1,2.9,北西,5.7,北西,北西,9.6,,
21,0.0,0.0,0.0,5.5,10.4,0.1,2.5,5.8,北北西,14.9,北,北西,9.8,,
22,0.0,0.0,0.0,1.9,5.8,-3.1,1.0,2.2,北北西,4.5,北北西,西北西,0.0,,
23,1.0,1.0,0.5,4.9,7.8,0.4,0.9,2.0,北北東,3.8,北西,北北西,0.1,,
24,0.0,0.0,0.0,7.9,15.6,2.2,1.4,3.3,南南西,6.9,西北西,北西,7.6,,
25,0.0,0.0,0.0,6.2,9.0,3.7,1.6,3.7,西,8.2,西北西,東,0.8,,
26,0.0,0.0,0.0,4.0,7.6,0.1,1.1,2.1,南南西,3.7,南西,南南西,0.9,,
27,4.5,2.5,0.5,3.3,5.9,-0.1,1.3,3.5,北北東,6.5,北北東,北,0.0,,
28,33.0,6.0,1.5,4.3,7.6,0.4,2.5,6.0,北北東,11.1,北北東,北北西,0.0,,
29,49.0,22.5,6.0,12.0,18.3,7.5,2.6,6.9,北北東,13.1,北北東,北西,7.2,,
30,0.0,0.0,0.0,10.9,17.6,6.1,1.6,4.0,西北西,7.9,北西,北西,9.8,,
31,0.0,0.0,0.0,6.7,10.9,2.2,2.8,4.8,北西,11.4,北,西北西,9.7,,
