,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.4,9.9,0.5,2.4,5.8,北北西,8.8,北,北,9.1,,
2,0.0,0.0,0.0,4.8,12.5,0.3,1.4,3.5,北北西,4.9,北西,西,8.0,,
3,0.0,0.0,0.0,5.0,12.0,-0.1,1.3,3.7,北北西,5.3,北,西北西,9.1,,
4,0.5,0.5,0.5,6.0,10.4,2.7,3.2,8.3,北北西,13.3,北,北,6.0,,
5,0.0,0.5,0.0,4.2,8.9,0.6,3.9,8.9,北北西,13.9,北西,北,9.2,,
6,0.0,0.0,0.0,5.8,10.5,0.4,3.1,5.7,北北東,7.7,北,北,8.2,,
7,0.5,0.5,0.5,4.8,7.4,2.9,2.3,4.3,北北東,5.9,北北東,北,0.9,,
8,7.5,6.5,2.0,4.8,7.7,2.7,1.8,7.5,北,10.5,北,北,0.8,,
9,0.0,0.0,0.0,10.0,12.8,4.6,6.1,13.0,北西,21.0,北西,北,9.2,,
10,0.0,0.0,0.0,6.4,11.6,3.1,3.2,8.1,北北東,11.3,北,北,8.5,,
11,0.0,0.0,0.0,5.5,10.7,2.0,1.6,3.2,北北東,4.5,北北東,北北東,4.7,,
12,0.0,0.0,0.0,5.0,8.6,0.7,1.0,3.0,北北東,4.5,北北東,西,1.1,,
13,0.0,0.0,0.0,6.6,13.1,1.9,1.1,4.5,北,5.9,北,西北西,9.0,,
14,0.0,0.0,0.0,6.4,11.9,2.7,1.3,4.9,北,6.5,北,北,7.6,,
15,8.0,2.5,1.5,5.9,9.7,3.7,2.4,6.5,北北西,9.3,北北西,北北西,2.3,,
16,0.0,0.0,0.0,5.1,9.5,2.1,2.2,6.1,北,9.3,北,西北西,4.8,,
17,0.0,0.0,0.0,5.5,10.0,2.0,2.0,4.8,北,7.0,北,北,4.1,,
18,2.5,0.5,0.5,3.0,5.6,0.3,3.9,7.0,北北東,10.9,北北東,北北西,0.0,,
19,0.0,0.0,0.0,5.0,10.4,-0.2,1.8,4.2,北北西,7.0,北北西,南南西,8.3,,
20,0.0,0.0,0.0,5.7,13.8,0.6,1.1,3.1,北,4.4,北,西北西,9.1,,
21,0.0,0.0,0.0,5.2,9.7,1.7,4.8,10.7,北,15.6,北,北,9.4,,
22,0.0,0.0,0.0,2.6,5.8,-0.9,1.4,3.2,北,4.4,北北東,北,0.7,,
23,1.5,1.0,0.5,5.1,7.7,2.5,1.6,4.1,北,6.0,北北東,北,0.0,,
24,0.0,0.0,0.0,8.1,12.5,3.9,2.3,9.0,北,13.7,北北西,北,0.7,,
25,0.0,0.0,0.0,5.9,8.4,4.3,3.4,7.9,北,12.3,北,北,0.0,,
26,3.0,2.0,0.5,3.5,6.3,1.7,1.4,3.9,南,7.1,南南東,南,0.0,,
27,8.5,3.0,1.0,3.2,5.3,0.3,2.3,5.0,北西,7.0,西北西,北北西,0.0,,
28,49.0,6.5,1.5,4.1,7.2,0.4,5.3,7.3,北北西,10.4,北,北北西,0.0,,
29,20.0,8.0,2.5,12.1,18.4,7.1,3.6,8.6,北北西,12.5,北北西,北北西,7.5,,
30,0.0,0.0,0.0,9.6,17.2,4.7,1.8,5.6,北,8.7,北,北,9.0,,
31,0.0,0.0,0.0,6.6,10.3,1.6,6.0,12.0,北,18.0,北,北,9.5,,
