,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1017.0,1021.0,,,,5.6,10.7,1.7,46.0,28.0,4.2,7.8,北西,13.3,北西,9.3,,,晴,晴
2,1017.1,1021.1,,,,6.5,13.2,1.5,57.0,32.0,2.2,4.4,西北西,7.4,北北西,9.3,,,晴,晴
3,1012.5,1016.5,,,,5.4,13.1,-1.6,65.0,36.0,1.5,3.5,西,4.8,西,9.4,,,晴,晴
4,1010.5,1014.4,0.0,0.0,0.0,7.1,12.7,2.8,53.0,29.0,3.6,6.3,北西,11.5,北西,8.3,,,晴,晴一時雨
5,1017.6,1021.6,,0.0,,4.8,9.5,1.9,62.0,37.0,3.8,6.2,北西,10.3,北,7.7,,,晴,晴
6,1021.7,1025.6,,,,6.9,11.7,2.3,46.0,34.0,4.9,7.9,北西,14.8,北西,8.6,,,晴後一時曇,晴時々曇
7,1021.4,1025.4,1.0,1.0,0.5,3.9,7.6,-0.3,73.0,46.0,1.4,3.0,北西,5.1,西北西,0.6,,,曇一時晴後雨,曇時々雨
8,999.8,1003.7,3.5,3.5,1.5,5.9,12.1,3.8,88.0,51.0,1.7,6.8,西,13.9,西,3.6,,,雨後曇時々晴,晴
9,1005.4,1009.3,,,,9.7,14.1,3.9,51.0,32.0,4.7,8.9,北西,15.2,北西,9.5,,,晴,晴時々曇
10,1012.3,1016.3,,,,6.7,13.3,1.2,58.0,30.0,2.5,6.7,西北西,11.5,北西,8.2,,,晴後一時曇,曇時々晴、みぞれを伴う
11,1011.7,1015.6,0.0,0.0,0.0,5.4,10.1,3.0,67.0,51.0,1.8,3.6,北西,6.1,北北西,4.8,,,曇後晴,晴
12,1007.5,1011.4,0.0,0.0,0.0,5.3,9.3,0.1,76.0,55.0,1.3,3.4,北西,6.6,北西,1.7,,,曇一時晴後雨,曇一時雨後一時晴
13,1007.8,1011.7,0.0,0.0,0.0,7.9,14.3,1.6,66.0,37.0,1.8,3.7,東南東,5.8,東,9.0,,,晴,晴一時雨後曇
14,1015.7,1019.6,,,,7.6,12.8,2.1,69.0,42.0,1.4,3.5,東南東,6.7,南東,7.9,,,晴後時々曇,曇時々晴後雨
15,1012.8,1016.7,2.0,1.0,0.5,7.0,10.9,4.4,77.0,54.0,2.4,6.5,北西,11.1,西北西,3.0,,,雨後曇時々晴,晴
16,1017.5,1021.4,,,,5.7,11.6,1.1,54.0,29.0,2.5,5.3,北西,9.4,西北西,9.1,,,晴一時曇,晴後時々曇
17,1015.5,1019.4,,,,6.0,10.6,1.1,59.0,35.0,1.8,3.1,東南東,5.4,西北西,4.8,,,曇時々晴,曇後時々雨
18,1010.3,1014.2,0.0,0.0,0.0,4.0,6.5,1.8,79.0,55.0,2.3,5.3,東北東,8.4,東北東,0.0,,,曇一時雪後みぞれ時々雨,雨時々曇後晴
19,1010.2,1014.1,,,,5.8,12.0,-0.4,63.0,35.0,1.9,3.9,南,7.2,南東,8.9,,,晴後一時曇,晴一時曇
20,1008.3,1012.2,,,,6.9,14.8,-0.7,61.0,31.0,1.9,4.8,北西,7.8,北西,9.6,,,晴,晴
21,1016.8,1020.8,,,,6.2,10.5,2.2,51.0,31.0,5.0,9.3,北北西,16.1,北北西,9.7,,,晴,晴
22,1024.5,1028.5,,,,3.7,9.3,-1.9,63.0,40.0,1.5,3.3,北北西,5.8,西北西,4.3,,,曇時々晴,曇時々晴
23,1017.6,1021.5,1.0,1.0,0.5,5.3,9.6,1.3,77.0,63.0,1.3,2.8,西,4.7,西,0.0,,,雨一時みぞれ後曇,曇時々晴
24,1018.4,1022.3,,,,8.3,16.1,1.7,71.0,38.0,2.3,6.1,西北西,10.4,西,7.4,,,晴一時曇,晴時々曇
25,1023.9,1027.9,,,,6.4,8.9,4.6,49.0,33.0,3.5,7.5,西北西,13.7,西北西,0.3,,,曇時々晴,曇
26,1022.9,1026.9,,,,5.1,8.8,2.1,67.0,50.0,1.2,3.7,南東,5.9,南南東,1.3,,,曇後一時晴,曇
27,1022.5,1026.5,3.0,1.5,0.5,3.8,6.0,1.3,71.0,52.0,1.3,3.4,西南西,5.5,西南西,0.0,,,曇,みぞれ一時雨
28,1015.1,1019.1,27.5,6.0,1.5,3.8,6.5,0.3,97.0,92.0,2.3,3.8,西北西,6.4,北西,0.0,1.0,1.0,雨時々みぞれ,大雨
29,998.6,1002.4,36.0,11.5,2.5,12.3,18.9,6.3,71.0,43.0,3.8,6.0,西北西,10.5,西北西,8.8,,,晴一時雨,晴一時雨
30,995.0,998.8,0.0,0.0,0.0,11.7,18.3,6.8,51.0,24.0,3.8,7.5,西北西,13.0,西,9.3,,,晴,晴
31,1001.6,1005.5,,,,7.1,11.6,2.9,49.0,25.0,5.5,9.3,西北西,15.5,西,9.3,,,晴,晴
