,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.8,9.7,0.8,2.9,5.3,西北西,8.7,西北西,南西,9.3,,
2,0.0,0.0,0.0,6.8,13.1,1.6,2.7,6.7,西北西,9.6,北西,南西,8.8,,
3,0.0,0.0,0.0,8.6,13.7,4.2,2.8,7.2,西北西,11.0,北西,南西,6.1,,
4,0.0,0.0,0.0,9.0,14.1,4.2,3.9,8.1,西北西,12.2,西北西,南西,8.8,,
5,0.0,0.0,0.0,7.1,11.6,2.7,1.8,4.9,北北西,8.2,北北西,南西,8.0,,
6,0.0,0.0,0.0,7.1,11.0,1.7,1.4,3.0,北東,4.5,北東,南南西,0.0,,
7,0.0,0.0,0.0,13.1,19.4,8.8,1.7,5.2,南南東,8.5,南南西,西,2.3,,
8,13.0,9.5,3.5,12.7,18.9,9.7,4.9,10.5,西北西,17.3,西北西,西,4.3,,
9,0.0,0.0,0.0,10.6,14.2,7.7,3.4,6.9,西北西,10.9,北西,西,7.4,,
10,0.0,0.0,0.0,8.0,12.4,3.8,1.8,3.8,北北西,7.5,北,南西,9.1,,
11,0.0,0.0,0.0,8.3,13.2,3.4,1.6,3.2,北東,5.4,東北東,南西,5.6,,
12,0.0,0.0,0.0,8.8,11.5,6.1,2.8,7.7,西北西,12.5,西北西,西,1.5,,
13,0.0,0.0,0.0,7.5,11.4,2.8,3.7,8.4,西,13.2,西,西,7.6,,
14,3.5,2.0,0.5,5.1,6.7,3.6,2.1,4.8,北西,7.9,北北西,南西,0.0,,
15,0.0,0.0,0.0,5.2,9.7,1.3,2.4,5.0,西北西,8.0,西,南西,4.0,,
16,0.0,0.0,0.0,5.2,8.7,2.7,1.4,2.9,南西,5.0,南西,南西,0.0,,
17,0.0,0.0,0.0,7.2,11.5,4.0,1.5,4.2,北北西,7.6,北北西,南西,4.0,,
18,2.0,1.0,0.5,6.5,9.0,2.3,1.9,3.5,東北東,5.5,北東,南南西,0.0,,
19,0.0,0.0,0.0,6.6,11.4,1.6,2.5,8.3,西北西,13.3,西北西,西北西,1.3,,
20,0.0,0.0,0.0,7.8,10.3,4.6,2.8,6.9,西北西,10.6,西,西北西,1.4,,
21,0.0,0.0,0.0,6.4,11.0,1.9,2.0,5.3,北北西,9.2,北北西,南西,7.7,,
22,8.5,2.0,0.5,5.9,8.3,1.3,0.8,2.5,西北西,3.7,西,西,0.0,,
23,9.5,3.5,1.0,11.4,13.9,8.0,1.2,3.8,西,5.1,西北西,西北西,0.3,,
24,0.5,0.5,0.5,12.5,14.8,10.0,1.8,4.0,北西,6.0,北西,西,0.2,,
25,21.5,4.5,1.0,9.1,11.1,7.0,2.6,5.0,東北東,8.0,東北東,東北東,0.0,,
26,3.5,2.5,0.5,8.7,10.9,6.7,1.0,2.9,北東,5.1,北北東,東北東,1.6,,
27,37.0,6.0,1.5,8.4,9.4,7.4,5.0,9.6,東北東,16.8,東,東北東,0.0,,
28,0.0,0.0,0.0,10.4,13.3,7.3,3.3,7.1,西北西,10.9,西北西,西北西,1.3,,
29,1.0,0.5,0.5,10.4,13.7,7.7,2.4,4.5,北西,6.9,北西,西北西,6.5,,
30,0.5,0.5,0.5,8.5,11.7,6.1,2.7,6.2,北北西,11.2,北,北北西,4.4,,
31,0.0,0.0,0.0,7.0,10.0,5.0,2.6,5.5,北北西,9.6,北北西,北,3.9,,
