,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,5.2,10.9,0.7,2.4,4.9,西,7.5,西,西,9.2,,
2,0.0,0.0,0.0,5.7,13.0,0.0,1.9,3.7,東北東,5.3,東北東,南,9.2,,
3,0.0,0.0,0.0,7.4,14.7,1.8,2.0,3.9,北西,7.1,西北西,南,8.6,,
4,0.0,0.0,0.0,9.0,15.6,2.4,2.6,5.8,北西,10.6,北西,西,9.3,,
5,0.0,0.0,0.0,8.2,11.9,3.6,2.9,5.0,北北西,10.6,北北西,西,5.1,,
6,0.0,0.0,0.0,7.5,12.1,1.6,1.6,3.8,西南西,6.0,西南西,南,0.6,,
7,0.0,0.0,0.0,15.1,20.5,8.9,3.4,7.6,南南西,14.1,南,南西,1.9,,
8,3.5,3.5,2.0,14.7,19.8,9.0,5.4,11.2,西,20.4,西,西,9.1,,
9,0.0,0.0,0.0,11.5,14.9,7.9,2.1,4.1,東北東,6.5,北西,西,8.1,,
10,0.0,0.0,0.0,9.1,12.5,4.1,2.7,5.4,北北西,9.2,北北西,北北西,5.7,,
11,0.0,0.0,0.0,8.1,13.6,3.3,1.8,4.5,東北東,7.2,東,西南西,3.3,,
12,0.0,0.0,0.0,9.2,12.1,7.4,2.5,5.7,西,11.7,西,西,0.6,,
13,0.0,0.0,0.0,8.2,13.0,3.2,2.6,5.0,西南西,9.8,西,西,9.4,,
14,1.0,1.0,0.5,5.1,8.0,2.2,2.0,4.2,西北西,7.0,西北西,西,0.0,,
15,0.0,0.0,0.0,5.6,10.3,1.6,2.3,4.6,西北西,7.9,西北西,西,5.7,,
16,0.0,0.0,0.0,6.2,9.3,2.9,1.8,3.0,西南西,4.5,北,南西,0.2,,
17,0.5,0.5,0.5,7.5,11.2,4.3,2.0,4.2,北,7.7,北,西南西,2.6,,
18,0.0,0.0,0.0,7.6,12.4,3.3,2.6,4.6,北北東,8.5,西北西,西,6.0,,
19,0.0,0.0,0.0,7.3,13.6,1.7,2.1,5.4,西,9.8,西南西,西,5.1,,
20,0.0,0.0,0.0,7.8,13.8,2.1,2.6,6.4,西,11.4,西南西,西,7.3,,
21,0.0,0.0,0.0,6.8,11.6,2.7,2.7,5.8,北北西,10.6,北,西,8.4,,
22,0.5,0.5,0.5,6.6,9.5,1.7,1.9,4.0,西,5.9,西,西南西,0.0,,
23,1.0,1.0,0.5,13.5,18.5,9.4,2.1,5.6,東北東,9.6,東北東,西,6.6,,
24,0.0,0.0,0.0,14.1,15.9,12.0,2.2,4.3,北北西,9.3,北,北,0.0,,
25,22.0,4.5,1.0,9.7,13.6,8.2,1.6,3.8,西,6.8,西北西,西,0.0,,
26,6.5,1.5,0.5,9.2,11.0,8.1,1.6,2.8,西南西,4.2,西北西,西,0.0,,
27,217.5,117.5,34.0,10.4,14.3,8.4,2.1,6.3,東,13.1,東南東,西,0.0,,
28,0.0,0.0,0.0,11.8,16.6,7.0,2.6,5.3,北西,9.6,北,西北西,6.7,,
29,0.0,0.0,0.0,11.5,15.2,7.7,2.9,5.9,西,10.1,北西,西北西,6.9,,
30,0.0,0.0,0.0,9.3,12.4,5.6,2.8,6.4,北西,10.3,北西,北北西,4.0,,
31,0.0,0.0,0.0,7.9,10.5,6.3,3.6,6.9,北西,12.3,北,北北西,5.1,,
