,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1027.0,1028.7,,,,5.8,11.2,0.1,63.0,39.0,2.5,4.6,北北西,9.1,北北西,9.4,,,快晴,快晴
2,1025.3,1027.0,,,,6.2,13.2,0.3,72.0,49.0,2.2,3.6,南,5.2,北北東,9.3,,,快晴,快晴
3,1021.8,1023.4,,,,8.8,15.1,3.1,66.0,42.0,2.5,5.3,北北西,9.5,北北西,8.9,,,晴後時々薄曇,晴
4,1019.9,1021.5,,,,9.7,15.3,3.5,57.0,34.0,3.2,7.0,北西,14.7,北西,9.3,,,晴,晴
5,1026.4,1028.1,,,,8.4,12.1,3.9,60.0,42.0,2.6,4.6,北北西,9.0,北北西,5.7,,,晴一時曇,晴後一時曇
6,1026.4,1028.1,0.0,0.0,0.0,7.8,11.9,2.5,73.0,58.0,2.1,3.8,南,5.1,南,0.6,,,曇,曇一時雨
7,1016.7,1018.3,0.0,0.0,0.0,13.3,17.9,9.1,75.0,60.0,1.9,5.4,南南東,8.8,南南東,0.7,,,曇後一時晴,曇時々雨一時晴
8,1010.2,1011.8,5.5,4.0,2.0,14.1,17.8,9.7,59.0,37.0,4.8,10.5,西,19.9,西北西,8.8,,,晴,曇時々晴
9,1017.0,1018.6,,,,11.7,15.2,9.5,56.0,44.0,2.9,5.6,北西,10.5,北西,7.1,,,晴後一時曇,曇一時晴
10,1018.4,1020.1,,,,9.4,13.1,5.2,60.0,49.0,2.5,4.7,北,8.8,北北西,8.4,,,晴,晴後曇
11,1015.2,1016.8,0.0,0.0,0.0,9.1,14.4,4.4,69.0,41.0,2.2,4.1,東,6.1,東,5.0,,,曇時々晴,曇一時雨
12,1012.2,1013.8,0.0,0.0,0.0,9.6,11.9,7.7,63.0,48.0,3.1,6.7,西,11.4,西,0.6,,,曇後一時晴,晴
13,1018.1,1019.8,,,,8.7,12.9,4.1,51.0,37.0,3.1,5.6,北西,10.5,西北西,9.4,,,晴,晴後一時薄曇
14,1021.0,1022.7,1.0,0.5,0.5,5.1,7.4,2.1,79.0,65.0,2.6,6.3,北西,10.6,西北西,0.0,,,曇時々雨,曇時々晴一時雨
15,1022.9,1024.6,,,,6.1,9.7,1.9,68.0,45.0,2.3,4.5,北北西,7.8,北北西,4.0,,,晴後曇,曇時々晴
16,1022.0,1023.7,,,,6.2,9.1,3.0,67.0,47.0,1.9,3.3,北,5.4,北,0.0,,,曇,曇
17,1016.4,1018.1,0.0,0.0,0.0,8.6,11.6,6.0,62.0,46.0,2.4,5.6,北西,9.7,西北西,4.5,,,曇後時々晴,晴時々曇
18,1014.1,1015.8,0.0,0.0,0.0,7.6,11.2,3.3,73.0,59.0,2.2,4.6,北北東,7.3,北東,1.2,,,曇,晴一時曇
19,1016.6,1018.3,,,,8.0,13.8,3.0,66.0,44.0,2.7,5.8,西,10.7,西南西,3.5,,,薄曇時々晴,曇時々晴
20,1018.9,1020.6,,,,9.4,13.5,6.1,55.0,41.0,2.8,6.6,西北西,11.2,西北西,5.6,,,晴時々曇,晴後一時曇
21,1025.3,1027.0,,,,8.0,12.1,4.0,57.0,40.0,2.7,6.0,北西,10.1,北西,7.5,,,晴一時曇,晴後曇
22,1024.2,1025.9,1.5,0.5,0.5,6.5,8.5,3.2,85.0,70.0,1.9,4.1,南,5.5,南,0.0,,,雨時々曇,雨時々曇
23,1017.8,1019.4,8.5,3.0,1.0,12.0,14.8,8.4,97.0,88.0,1.3,4.1,南,5.5,南,0.5,,,曇一時雨,曇一時雨
24,1023.0,1024.6,0.0,0.0,0.0,14.1,15.8,12.6,80.0,64.0,2.2 ),4.1 ),北 ),7.2 ),北北西 ),0.0,,,曇一時雨,曇後時々雨
25,1025.5,1027.2,18.0,5.0,2.0,9.8,13.0,7.4,82.0,68.0,2.6,5.7,北東,9.3,北東,0.0,,,雨一時曇,雨
26,1022.0,1023.7,8.5,2.5,1.0,9.1,10.7,7.5,90.0,76.0,1.5,3.0,北,4.9,北北東,0.0,,,雨時々曇,雨一時曇
27,1008.6,1010.2,51.5,5.5,2.0,9.9,11.1,8.3,93.0,76.0,5.1,8.3,北東,14.0,東北東,0.0,,,雨,雨後曇時々晴
28,1008.5,1010.2,,,,11.3,16.1,6.2,81.0,59.0,3.1,5.9,北西,12.2,北北西,7.1,,,晴一時曇,晴一時曇
29,1010.5,1012.1,0.5,0.5,0.5,11.6,15.2,8.8,66.0,44.0,3.8,6.3,北西,12.3,北西,5.9,,,晴後一時曇,曇時々雨
30,1008.8,1010.4,0.0,0.5,0.0,9.8,13.0,7.8,62.0,45.0,3.5,5.4,北西,11.3,北北西,5.6,,,晴,晴後一時雨
31,1015.4,1017.1,0.0,0.0,0.0,7.8,11.1,5.9,63.0,48.0,3.5,5.7,北西,10.4,北,3.8,,,晴時々曇一時雨,曇時々晴
