,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.7,8.6,-1.2,0.9,3.9,南西,6.6,西北西,南西,3.6,,
2,0.0,0.0,0.0,3.0,10.6,-2.6,1.0,4.8,南西,8.4,西南西,南西,6.6,,
3,0.0,0.0,0.0,3.9,11.1,-1.4,0.8,3.9,西南西,8.2,西南西,南西,2.1,,
4,1.0,1.0,0.5,4.9,10.3,-0.2,1.0,4.0,南西,8.0,西北西,南西,2.6,,
5,0.0,1.0,0.0,3.5,7.4,0.2,0.7,2.6,北東,7.7,北西,西北西,2.0,,
6,0.0,0.0,0.0,3.2,9.4,-2.6,0.4,2.0,西北西,3.8,北北東,東南東,5.0,,
7,5.5,1.5,0.5,4.3,8.3,1.1,0.4,2.4,東,4.8,東,南,0.0,,
8,16.5,11.0,4.0,11.3,14.1,7.3,3.5,9.3,南西,19.0,南西,南西,1.6,,
9,0.5,0.5,0.5,6.8,10.2,3.0,1.0,3.7,南南西,8.6,西北西,南西,1.2,,
10,0.5,0.5,0.5,4.7,11.0,0.3,0.6,2.4,北東,6.5,東北東,東北東,5.4,,
11,0.0,0.0,0.0,3.9,11.7,-0.9,0.7,3.3,南南西,6.6,西南西,南南西,8.0,,
12,0.0,0.0,0.0,4.6,9.3,0.4,0.5,3.0,南南西,5.3,南西,南,0.1,,
13,0.0,0.0,0.0,4.5,9.4,-1.2,1.9,5.1,南西,9.6,西南西,南西,7.2,,
14,0.0,0.0,0.0,3.1,8.1,-3.0,0.8,3.5,南西,5.4,東南東,南西,2.6,,
15,0.5,0.5,0.5,3.9,7.4,1.8,1.2,5.2,南西,9.5,西南西,南西,1.3,,
16,0.0,0.0,0.0,2.8,8.6,-1.7,0.5,2.8,南南西,4.8,南南西,南南西,4.3,,
17,0.0,0.0,0.0,4.8,9.6,-0.2,0.4,2.2,東北東,4.6,東北東,東北東,1.1,,
18,0.0,0.0,0.0,6.2,10.1,1.9,1.2,2.4,北東,8.7,北,北北東,6.0,,
19,0.0,0.0,0.0,4.0,8.7,-1.9,1.2,4.9,南西,7.8,西南西,南南西,4.5,,
20,0.0,0.0,0.0,4.7,10.2,-0.7,1.2,5.3,南西,9.3,西南西,南西,3.5,,
21,0.0,0.0,0.0,3.2,8.1,-1.8,0.6,3.0,西北西,8.4,西北西,南西,2.6,,
22,0.5,0.5,0.5,3.5,8.6,-2.7,0.4,1.8,西南西,4.4,西南西,西南西,1.2,,
23,23.0,6.0,1.0,8.6,11.9,5.3,0.6,3.0,南南西,6.1,東北東,北東,0.0,,
24,0.0,0.0,0.0,8.5,11.6,5.5,0.6,1.7,北西,6.3,北東,西南西,0.9,,
25,0.0,0.0,0.0,5.3,8.3,3.3,1.2,3.3,東北東,7.5,東北東,北北東,2.0,,
26,0.0,0.0,0.0,7.1,12.1,3.5,0.8,2.6,北東,7.3,北北東,北東,3.0,,
27,5.5,2.0,1.0,6.3,8.2,4.7,2.7,6.3,東北東,16.2,東北東,北東,0.0,,
28,0.0,0.0,0.0,10.9,14.3,7.5,3.8,9.0,東北東,18.7,東北東,東北東,1.7,,
29,3.5,2.0,0.5,8.2,12.0,1.1,0.6,2.9,南西,6.6,西北西,西,0.7,,
30,0.0,0.0,0.0,4.4,11.2,-1.0,0.8,3.7,西北西,9.2,北西,西,3.4,,
31,0.0,0.0,0.0,3.0,5.9,0.0,1.0,3.9,西北西,9.7,西北西,西北西,0.9,,
