,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,5.6,11.0,1.4,1.8,4.2,西南西,7.7,西北西,北西,,,
2,0.0,0.0,0.0,7.2,12.4,2.4,1.9,4.4,北北西,6.7,西北西,北西,,,
3,0.0,0.0,0.0,7.6,13.7,2.4,2.2,4.7,北西,6.7,西南西,北西,,,
4,0.0,0.0,0.0,8.4,12.8,3.0,2.4,5.5,西南西,9.3,西南西,西南西,,,
5,0.0,0.0,0.0,5.9,9.6,2.7,2.6,6.7,北北西,9.3,北西,北西,,,
6,0.0,0.0,0.0,6.1,11.2,-0.6,2.0,5.4,北北西,7.2,北北西,北西,,,
7,3.0,1.0,0.5,6.6,9.6,4.0,2.7,5.3,東北東,8.2,東北東,東北東,,,
8,22.5,17.0,6.0,12.4,17.2,9.5,4.6,11.4,西南西,19.5,西南西,西南西,,,
9,0.0,0.0,0.0,10.2,13.5,6.1,3.0,6.2,北西,9.3,南南西,北西,,,
10,0.0,0.0,0.0,8.0,13.1,3.9,3.5,9.0,北北西,11.8,北北西,北北西,,,
11,0.0,0.0,0.0,6.6,12.1,2.7,1.9,3.6,南西,5.7,南南東,北西,,,
12,0.0,0.0,0.0,7.6,10.7,3.3,1.2,3.3,南西,4.6,南西,北西,,,
13,0.0,0.0,0.0,8.7,12.1,4.0,3.3,5.9,南西,10.8,南西,西南西,,,
14,1.0,1.0,0.5,6.1,10.3,0.4,1.5,4.5,北西,5.7,南南西,北西,,,
15,0.5,0.5,0.5,6.5,10.4,3.3,2.7,10.2,北北西,13.9,北北西,北西,,,
16,0.0,0.0,0.0,5.5,10.2,0.5,1.6,3.1,北西,4.1,北西,北西,,,
17,0.0,0.0,0.0,6.9,10.2,3.6,1.7,3.7,東北東,5.1,東南東,東北東,,,
18,0.0,0.0,0.0,8.1,12.3,3.6,3.6,8.5,北北西,14.9,北,北,,,
19,0.5,0.5,0.5,6.6,10.9,-0.8,1.5,3.6,北西,5.1,南西,南西,,,
20,0.0,0.0,0.0,8.7,12.8,2.7,3.1,6.5,西北西,11.3,西,北西,,,
21,0.0,0.0,0.0,6.6,11.1,2.4,3.7,9.0,北北西,12.3,北,北西,,,
22,0.5,0.5,0.5,6.5,11.5,-0.3,1.5,3.3,東北東,5.1,北北東,東北東,,,
23,36.0,9.0,2.5,9.7,12.2,7.3,2.0,6.7,東,10.8,東,東北東,,,
24,0.0,0.0,0.0,10.6,13.8,7.7,3.0,7.0,北北西,9.8,北,北,,,
25,0.0,0.0,0.0,7.6,11.0,5.0,3.3,6.8,北北西,8.7,北,北北西,,,
26,0.0,0.0,0.0,9.1,14.3,6.1,2.4,6.2,北,8.7,北北西,北,,,
27,7.0,2.5,1.0,8.7,10.4,7.1,6.5,13.1,東北東,21.1,東北東,東北東,,,
28,0.0,0.5,0.0,12.7,17.6,8.9,6.9,12.5,東北東,18.0,東北東,東北東,,,
29,3.0,1.5,0.5,10.9,15.2,5.9,2.4,6.9,北西,9.8,西北西,西北西,,,
30,0.0,0.0,0.0,7.5,13.1,3.2,3.1,7.4,北北西,10.3,北,北西,,,
31,0.0,0.0,0.0,6.0,9.0,4.6,3.9,10.3,北北西,13.9,北北西,西北西,,,
