,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,7.3,9.7,3.2,5.5,9.0,北北東,11.3,北北西,西北西,,,
2,0.0,0.0,0.0,9.5,11.8,6.4,6.0,10.2,北西,12.9,北西,西北西,,,
3,0.0,0.0,0.0,10.9,13.2,8.3,5.8,9.9,西北西,11.8,西北西,西北西,,,
4,0.0,0.0,0.0,10.3,13.1,8.2,9.0,15.3,西北西,18.5,北西,西北西,,,
5,0.0,0.0,0.0,7.6,10.4,6.1,7.6,11.0,北北西,13.4,北北西,北北西,,,
6,0.0,0.0,0.0,8.1,9.9,5.1,3.8,7.6,北北東,10.3,北東,北,,,
7,0.5,0.5,0.5,8.2,14.3,6.7,3.8,7.6,北東,9.3,北東,東北東,,,
8,20.5,15.5,8.5,14.0,17.8,9.9,12.7,18.8,西,23.7,西,西,,,
9,0.0,0.0,0.0,10.9,13.4,9.6,6.0,12.1,北西,14.4,北西,西北西,,,
10,0.0,0.0,0.0,9.3,11.9,7.0,6.3,12.3,北西,14.9,北西,北西,,,
11,0.0,0.0,0.0,8.2,11.5,5.1,1.8,4.3,東,7.7,東,東,,,
12,0.0,0.0,0.0,9.4,11.2,6.8,3.3,10.1,西,13.9,西,南西,,,
13,0.0,0.0,0.0,9.3,11.7,7.6,9.2,13.3,西,17.5,西,西北西,,,
14,4.0,1.5,0.5,7.6,10.4,5.9,2.6,6.7,西北西,9.3,西北西,東南東,,,
15,2.0,1.0,1.0,7.5,10.5,6.1,6.4,12.7,西,15.9,西,西,,,
16,0.0,0.0,0.0,6.9,8.7,4.8,2.0,5.3,北東,6.7,北東,東南東,,,
17,0.0,0.0,0.0,7.7,9.1,6.5,3.6,6.8,北東,8.7,東,東北東,,,
18,1.0,0.5,0.5,8.3,12.0,5.9,5.7,11.4,北,14.4,北,北北西,,,
19,0.0,0.0,0.0,8.6,10.8,5.4,4.4,11.0,西北西,13.4,北西,北,,,
20,0.0,0.0,0.0,9.6,12.2,6.9,5.8,10.7,北西,13.4,北西,西北西,,,
21,0.0,0.0,0.0,8.4,11.0,6.2,7.1,11.4,西北西,14.9,西北西,西北西,,,
22,2.5,1.0,0.5,7.2,9.7,3.1,2.9,5.2,北東,7.2,東,東北東,,,
23,24.0,6.5,1.5,9.9,12.1,7.9,3.6,10.0,北北東,11.8,北北東,東北東,,,
24,0.0,0.0,0.0,11.4,14.1,8.4,4.4,10.9,北東,13.4,北東,北北東,,,
25,0.0,0.0,0.0,8.3,10.4,6.5,7.1,11.0,北東,13.4,北東,北東,,,
26,3.0,1.5,0.5,8.9,11.4,5.9,3.7,9.7,北東,11.8,北東,東北東,,,
27,7.0,1.5,0.5,9.3,10.9,7.9,11.7,15.7,北東,20.1,北東,北東,,,
28,0.0,0.0,0.0,11.7,16.4,9.9,6.8,13.6,北東,18.0,北東,西,,,
29,1.0,0.5,0.5,11.2,13.9,8.5,8.2,11.0,西北西,13.4,西北西,西北西,,,
30,0.0,0.0,0.0,9.1,12.0,7.2,6.8,10.0,北西,13.4,北西,西北西,,,
31,0.0,0.0,0.0,6.9,9.3,5.9,9.1,13.1,北西,16.5,北西,北西,,,
