,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1013.8,1026.7,,,,4.7,9.5,0.9,66.0,45.0,2.5,5.0,西南西,9.0,南西,3.4,,,曇時々晴,快晴
2,1012.3,1025.1,,,,6.1,11.2,1.6,68.0,45.0,2.5,5.7,西南西,9.2,西南西,8.5,,,晴,晴
3,1008.3,1021.1,,,,7.8,13.0,4.7,67.0,39.0,2.5,5.4,西南西,9.6,西南西,3.2,,,曇後晴,晴
4,1005.5,1018.2,0.0,0.0,0.0,7.7,11.8,3.9,65.0,42.0,2.5,5.8,西北西,9.3,西,3.9,,,曇時々晴,晴時々曇
5,1014.0,1026.9,0.0,0.0,0.0,5.1,7.8,2.7,73.0,55.0,2.3,5.6,北北西,9.8,北,1.3,,,曇時々晴一時雨,晴時々曇
6,1015.8,1028.7,,,,5.8,10.0,0.8,68.0,47.0,1.5,3.7,北,5.9,西北西,5.8,,,晴後曇,曇後一時晴
7,1009.2,1022.1,5.5,2.5,0.5,5.5,6.9,3.5,90.0,75.0,0.8,2.2,南東,3.0,南東,0.0,,,雨時々曇,曇
8,994.9,1007.4,18.5,11.0,3.5,10.6,16.0,5.9,75.0,49.0,4.0,11.7,西南西,21.9,西南西,2.2,,,曇時々雨一時晴,曇一時雨
9,1003.2,1015.7,0.0,0.0,0.0,9.6,13.1,6.8,65.0,50.0,2.9,6.0,西北西,10.2,西北西,4.6,,,晴一時曇,薄曇時々晴
10,1005.9,1018.7,,,,7.2,11.6,4.0,69.0,47.0,2.0,5.3,北北西,8.4,北北西,5.6,,,晴時々曇,晴
11,1004.2,1017.0,,,,6.0,12.5,1.8,75.0,44.0,1.2,2.7,南,4.9,南西,7.5,,,薄曇後晴,晴時々曇
12,999.5,1012.2,0.0,0.0,0.0,6.2,9.1,2.5,81.0,69.0,1.2,3.1,南,5.2,南南西,0.0,,,曇一時雨,曇一時雨後晴
13,1004.1,1016.8,,,,7.7,10.8,4.6,56.0,40.0,3.1,6.9,西南西,13.2,南西,7.5,,,晴,晴
14,1009.3,1022.1,2.5,1.5,0.5,5.7,10.3,1.7,71.0,41.0,1.9,4.2,南南東,6.9,西,4.2,,,晴後雨時々曇,雨時々曇
15,1008.4,1021.3,0.5,0.5,0.5,5.4,8.5,2.9,84.0,63.0,2.0,5.2,北北西,8.7,南西,1.7,,,曇時々晴後時々雨,晴
16,1010.5,1023.5,,,,4.0,8.9,0.5,79.0,49.0,1.2,2.8,南南西,4.0,南,3.1,,,曇一時晴,薄曇
17,1005.7,1018.5,0.5,0.5,0.5,4.7,7.1,2.3,86.0,65.0,1.0,2.8,南南東,4.0,東北東,0.0,,,曇後雨,雨時々曇
18,1001.3,1014.1,1.5,1.0,0.5,5.8,10.3,3.0,77.0,47.0,2.4,6.5,北北西,10.8,北,2.4,,,曇後晴,晴
19,1004.3,1017.1,0.0,0.0,0.0,5.9,10.4,0.3,69.0,40.0,1.5,3.2,東南東,4.8,南南東,5.8,,,晴後曇,曇後晴
20,1005.2,1017.9,,,,8.2,12.3,3.9,59.0,40.0,3.1,6.3,西南西,10.4,西南西,6.4,,,晴,曇時々晴
21,1012.9,1025.8,0.0,0.0,0.0,6.3,9.7,1.9,64.0,44.0,2.7,6.9,北北西,10.3,北,2.1,,,曇一時晴,晴
22,1015.3,1028.2,2.0,1.0,0.5,5.7,12.0,-0.2,74.0,38.0,1.2,3.4,北,4.9,北,3.3,,,曇時々晴,雨
23,1007.9,1020.6,23.5,6.0,1.5,8.8,10.9,6.4,96.0,90.0,1.4,5.5,北,8.9,北北東,0.0,,,曇時々雨,曇、霧を伴う
24,1012.6,1025.3,,,,9.8,13.6,7.5,82.0,53.0,1.9,5.1,北西,8.2,北北西,1.0,,,曇一時霧,曇
25,1015.6,1028.4,,,,6.9,10.7,3.8,65.0,40.0,1.9,4.5,北西,6.6,北北西,2.1,,,曇,曇後雨
26,1012.3,1025.1,1.5,1.0,0.5,7.0,11.2,4.5,77.0,54.0,0.9,2.3,南,3.8,南,2.0,,,曇,曇後一時雨
27,1004.3,1017.0,6.0,2.5,1.0,7.7,9.6,5.8,76.0,48.0,3.4,7.5,東,19.3,東南東,0.0,,,雨,雨後曇
28,996.2,1008.5,1.5,0.5,0.5,12.1,16.9,8.3,74.0,55.0,2.8,6.2,南東,10.9,南東,3.9,,,曇時々晴,雨
29,995.7,1008.3,7.0,2.5,1.0,9.5,12.7,5.0,90.0,63.0,1.8,4.6,西北西,7.5,西北西,0.1,,,曇時々雨,晴一時曇
30,994.9,1007.5,0.0,0.0,0.0,7.1,11.2,4.3,75.0,51.0,2.6,5.2,北北西,8.9,北,1.8,,,晴時々曇,晴時々曇
31,1000.3,1013.1,0.0,0.0,0.0,5.4,8.4,3.7,63.0,47.0,3.7,7.8,西北西,13.0,西北西,2.4,,,曇時々晴一時雨,曇一時晴
