,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-8.2,-5.8,-11.1,3.5,5.4,西,12.9,西,西,0.5,0.0,37.0
2,0.0,0.0,0.0,-6.1,-3.4,-7.8,2.3,3.9,西,9.9,西,西,0.0,0.0,31.0
3,0.5,0.5,0.5,-6.4,-4.2,-10.5,2.0,3.8,西,13.1,北西,西北西,0.4,3.0,30.0
4,1.5,0.5,0.5,-8.0,-5.9,-11.7,1.1,3.5,北西,8.1,北西,西北西,1.1,3.0,31.0
5,0.5,0.5,0.5,-5.7,-2.9,-10.6,1.2,3.6,北西,8.5,北西,西北西,2.4,1.0,31.0
6,0.0,0.0,0.0,-2.4,-0.9,-4.0,3.6,5.8,北北西,13.8,北西,北北西,1.9,2.0,30.0
7,0.0,0.0,0.0,-2.0,-1.0,-3.9,1.7,3.6,北北西,8.4,北,北北西,0.0,0.0,28.0
8,0.0,0.0,0.0,-4.4,-0.1,-13.0,1.2,3.0,東北東,5.9,東北東,北東,5.4,0.0,27.0
9,0.0,0.0,0.0,-8.9,-2.2,-15.4,1.0,4.0,北,6.8,北,東南東,6.9,1.0,27.0
10,0.0,0.0,0.0,-7.8,-0.9,-15.6,0.5,1.6,東南東,2.8,北,東南東,1.7,0.0,26.0
11,5.5,2.5,1.0,-1.6,0.4,-7.0,1.3,3.4,南,6.9,南南西,南南東,0.3,7.0,33.0
12,1.5,0.5,0.5,-4.7,-2.1,-13.4,0.6,1.8,南南東,4.1,南南西,西南西,0.0,6.0,37.0
13,1.0,1.0,0.5,-6.8,-3.4,-14.0,0.7,3.3,西南西,7.1,南西,西南西,4.4,6.0,38.0
14,3.5,1.5,0.5,-8.7,-4.9,-18.5,1.2,3.6,東北東,7.5,北東,北東,2.4,9.0,46.0
15,0.0,0.0,0.0,-12.3,-4.2,-20.4,0.7,2.5,東北東,4.7,東北東,東北東,5.9,0.0,43.0
16,0.5,0.5,0.5,-9.3,-4.0,-15.3,0.4,2.1,西,5.3,西,西北西,1.1,5.0,43.0
17,0.0,0.0,0.0,-5.8,-2.7,-9.7,1.0,3.9,西,8.2,西,西北西,4.4,0.0,40.0
18,0.0,0.0,0.0,-8.5,-2.6,-17.8,0.7,2.0,北西,3.9,西北西,南東,5.5,3.0,39.0
19,0.0,0.0,0.0,-9.1,-1.6,-18.6,0.8,2.7,東,4.9,東南東,南東,5.1,2.0,37.0
20,3.5,1.5,0.5,-4.6,-0.4,-11.0,0.9,3.0,北北西,6.6,北,西,0.9,10.0,44.0
21,1.0,1.0,0.5,-4.9,-3.5,-6.8,1.9,4.2,北,8.5,北西,北北西,2.0,5.0,46.0
22,0.0,0.0,0.0,-1.9,0.8,-9.5,1.7,3.7,南西,8.7,南南西,西南西,4.3,0.0,43.0
23,0.0,0.0,0.0,-5.6,-0.5,-11.1,0.7,2.6,北北西,5.3,北,東南東,6.4,0.0,40.0
24,2.5,1.5,1.0,-6.0,-1.5,-9.6,2.0,3.9,北西,11.4,西北西,西北西,1.8,5.0,43.0
25,2.0,1.5,0.5,-10.1,-8.3,-11.5,2.5,5.2,北西,11.7,北西,西北西,0.1,7.0,46.0
26,2.0,1.0,0.5,-6.8,-3.4,-12.3,1.7,4.7,西,11.5,西,西,3.6,2.0,48.0
27,0.0,0.0,0.0,-7.0,-2.3,-18.2,1.3,2.9,北北西,6.4,北西,北西,5.6,0.0,43.0
28,0.0,0.0,0.0,-11.2,1.0,-21.6,0.6,2.0,南東,3.2,南,南南東,8.0,0.0,41.0
29,0.5,0.5,0.5,-4.0,-1.2,-13.5,2.1,3.9,東北東,8.9,東,東,0.0,3.0,42.0
30,12.5,1.5,0.5,-2.4,-1.2,-4.4,6.1,9.2,北北東,21.0,北東,北東,0.0,8.0,45.0
31,16.5,2.0,1.0,-4.5,-4.1,-5.1,5.9,9.3,北東,19.2,北東,北東,0.0,10.0,32.0
