,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.0,9.0,1.4,3.6,7.8,西,13.6,西,西南西,6.7,,
2,0.0,0.0,0.0,4.8,8.0,1.2,5.1,10.2,西,17.4,西南西,西南西,8.7,,
3,0.0,0.0,0.0,3.9,8.7,-3.2,2.6,5.5,南西,9.3,西,南西,4.3,,
4,0.0,0.0,0.0,3.6,8.1,-3.9,3.3,7.4,西,13.1,西南西,西,7.8,,
5,0.0,0.0,0.0,1.0,7.2,-3.8,1.9,6.3,西,10.1,西南西,西北西,6.1,,
6,0.0,0.0,0.0,4.2,9.7,-4.0,3.8,8.7,西,15.8,西,西,7.8,,
7,4.0,2.0,0.5,0.3,5.5,-7.1,0.7,2.9,東南東,5.4,東,東北東,3.4,,
8,17.0,4.0,1.0,1.0,2.9,0.1,1.1 ],3.0 ],東南東 ],4.5 ],北北東 ],南西 ],0.0,,
9,6.5,2.5,1.0,3.8,9.6,0.1,1.8,5.4,西北西,9.8,北西,西北西,3.8,,
10,0.0,0.0,0.0,3.0,7.8,0.0,1.0,3.8,東北東,6.0,東北東,東南東,1.8,,
11,0.0,0.0,0.0,4.8,11.2,-0.6,1.9,5.7,西,9.1,西,南西,5.2,,
12,0.0,0.0,0.0,3.8,10.4,-1.3,1.7,5.7,西,9.7,西,南南東,2.1,,
13,0.0,0.0,0.0,2.3,7.2,-2.2,0.8,2.7,北北東,4.4,北北東,東南東,0.2,,
14,0.0,0.0,0.0,3.6,10.3,-1.7,0.9,4.1,北東,6.5,北東,東南東,2.5,,
15,7.5,1.5,0.5,2.1,4.9,0.0,0.9 ),5.1 ),西 ),8.5 ),西 ),南東 ),0.0,,
16,0.0,0.0,0.0,2.9,8.0,-1.8,2.8,7.8,西,13.4,西,西南西,7.0,,
17,0.0,0.0,0.0,4.1,9.4,-2.0,3.3,7.1,西,11.6,西,西,8.5,,
18,0.0,0.0,0.0,0.6,4.2,-3.4,1.1,3.5,北,5.4,北北西,北西,0.0,,
19,0.0,0.0,0.0,0.9,8.9,-5.4,1.0,5.7,北東,7.6,北東,東南東,6.1,,
20,0.0,0.0,0.0,4.2,9.9,-3.0,3.1,9.3,西,14.0,西南西,西南西,7.4,,
21,1.0,1.0,0.5,3.5,6.9,-1.8,3.5,8.7,西北西,14.8,西,西,7.1,,
22,0.0,0.0,0.0,0.4,7.9,-5.6,0.9,2.7,東,4.6,東,東北東,5.6,,
23,0.5,0.5,0.5,3.4,7.3,-2.7,0.9,4.1,南西,5.4,南西,西南西,0.0,,
24,0.0,0.0,0.0,5.1,12.2,-0.5,3.5,9.6,西,14.6,西南西,西南西,4.1,,
25,0.0,0.0,0.0,3.7,7.4,-0.8,4.2,7.8,西,12.6,西,西,7.7,,
26,0.0,0.0,0.0,0.7,8.4,-4.6,1.0,3.7,東,5.1,東南東,東北東,4.3,,
27,0.0,0.0,0.0,0.1,6.6,-6.3,1.0,3.4,東,5.0,東南東,東,1.2,,
28,24.5,3.5,1.0,3.4,7.2,0.5,1.8,5.6,東,8.9,東,東,0.0,,
29,113.5,14.0,3.0,7.5,9.7,4.3,3.8,8.7,北北東,13.2,北東,北北西,0.0,,
30,0.0,0.0,0.0,9.5,14.9,4.1,2.8,7.3,西南西,12.0,西,西,5.6,,
31,0.0,0.0,0.0,5.7,8.0,3.6,6.3,10.0,西,19.7,西北西,西,9.1,,
