,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.5,6.3,0.8,4.3,7.7,西北西,15.9,北西,西北西,6.9,,
2,0.0,0.0,0.0,3.5,6.2,1.5,5.7,8.5,西北西,16.9,北西,西北西,8.5,,
3,0.0,0.0,0.0,4.1,8.2,2.7,3.0,6.7,西北西,12.7,西北西,西北西,2.6,,
4,0.0,0.0,0.0,3.1,6.0,1.4,2.7,6.0,西北西,11.9,西北西,西北西,6.2,,
5,0.0,0.0,0.0,1.9,3.9,0.5,2.8,6.5,西北西,14.1,北西,西北西,6.4,,
6,0.0,0.0,0.0,4.3,8.0,0.9,2.4,5.1,西北西,10.4,北西,西北西,5.8,,
7,1.5,1.0,0.5,4.5,7.1,2.6,1.5,3.6,北東,7.0,北,東南東,4.9,,
8,22.5,3.0,1.0,6.7,8.4,3.7,2.5,6.6,北東,10.6,東北東,北東,0.3,,
9,14.0,3.0,1.0,5.9,8.2,3.9,2.8,6.5,北東,11.1,東北東,北東,0.3,,
10,0.0,0.0,0.0,5.1,7.6,3.9,1.8,3.1,北東,6.9,北北東,北東,3.0,,
11,0.5,0.5,0.5,6.6,9.4,4.1,1.6,4.6,西北西,11.4,西北西,東南東,6.4,,
12,0.0,0.0,0.0,5.8,8.5,4.1,1.3,3.3,西北西,6.8,西北西,西北西,6.1,,
13,4.0,1.5,0.5,5.0,6.9,3.8,1.9,4.0,北東,7.4,北東,北東,0.1,,
14,0.0,0.0,0.0,5.9,9.2,2.9,1.5,3.4,北東,6.4,北,北東,3.5,,
15,15.5,3.5,1.0,4.5,6.5,2.4,3.9,8.2,北東,12.7,東北東,北東,0.0,,
16,0.0,0.0,0.0,3.4,5.9,1.2,2.8,5.3,西北西,10.7,北西,西北西,2.6,,
17,0.0,0.0,0.0,4.6,7.3,3.0,3.4,7.4,西北西,13.1,北西,西北西,8.1,,
18,0.0,0.0,0.0,4.0,5.8,2.6,6.3,9.0,東北東,14.4,東北東,北東,0.2,,
19,0.0,0.0,0.0,5.4,8.3,2.4,1.2,4.3,西北西,7.7,北北西,北北東,4.6,,
20,0.0,0.0,0.0,6.4,9.9,4.3,2.4,6.6,西北西,13.0,北西,西北西,4.6,,
21,0.0,0.0,0.0,3.1,5.4,1.0,3.1,7.9,西北西,16.5,西北西,西北西,8.6,,
22,0.0,0.0,0.0,4.7,8.2,0.1,1.2,2.8,西北西,4.7,西北西,西,4.9,,
23,1.0,0.5,0.5,6.9,9.7,5.2,1.2,3.2,西,6.4,西南西,西北西,0.0,,
24,0.0,0.0,0.0,6.0,9.7,2.0,2.6,6.7,西北西,13.0,西北西,西北西,4.8,,
25,0.0,0.0,0.0,2.6,5.6,1.2,2.6,4.9,西北西,10.1,北西,西北西,7.0,,
26,0.0,0.0,0.0,3.1,6.4,1.0,1.6,3.8,西北西,8.3,北北東,北東,5.4,,
27,0.0,0.0,0.0,3.6,6.7,1.2,1.3,2.6,西北西,5.9,東北東,北東,5.6,,
28,0.0,0.0,0.0,6.6,8.0,4.3,3.8,7.1,東北東,13.5,東北東,東北東,0.0,,
29,70.0,19.0,7.5,8.1,9.0,6.3,5.4,13.5,北東,18.6,東北東,東北東,0.0,,
30,0.0,0.0,0.0,7.8,11.2,6.2,2.3,6.1,西北西,9.6,西北西,西北西,6.6,,
31,0.0,0.0,0.0,4.9,7.7,3.0,5.1,8.0,西北西,19.2,北西,西北西,8.2,,
