,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1026.1,1028.0,,,,5.7,12.9,0.4,66.0,28.0,3.1,5.1,西北西,6.5,西北西,9.8,,,快晴,快晴
2,1024.6,1026.5,,,,8.1,15.7,2.8,66.0,35.0,3.3,5.6,北西,7.6,西,9.7,,,快晴,快晴
3,1021.1,1023.0,,,,10.3,16.0,4.7,66.0,47.0,4.3,8.2,西,11.9,西,9.5,,,快晴,快晴
4,1019.0,1020.8,,,,9.6,17.0,2.8,59.0,25.0,3.5,7.0,西,10.2,西南西,9.6,,,快晴,快晴
5,1025.3,1027.1,,,,7.4,14.0,1.1,73.0,40.0,2.3,4.0,東,5.8,東,9.7,,,晴,晴
6,1025.7,1027.6,,,,9.2,15.7,2.5,80.0,54.0,2.3,4.0,西北西,5.2,西北西,3.5,,,曇時々晴,曇一時晴
7,1018.3,1020.1,0.0,0.0,0.0,14.3,20.2,10.5,82.0,60.0,2.2,5.0,南,8.5,南,1.1,,,曇後一時晴,雨時々曇一時晴
8,1010.3,1012.1,1.0,0.5,0.5,14.0,19.4,9.0,66.0,47.0,8.9,16.7,西,26.7,西,9.4,,,晴、大風を伴う,快晴
9,1016.4,1018.3,,,,10.9,17.1,4.9,64.0,38.0,2.6,4.7,西北西,7.5,西南西,9.0,,,晴,曇時々晴
10,1016.9,1018.7,0.0,0.0,0.0,10.4,14.9,6.1,67.0,42.0,2.4,4.5,東,6.8,東南東,9.0,,,晴,晴後曇
11,1014.4,1016.3,0.0,0.0,0.0,10.0,15.7,5.8,79.0,54.0,2.3,3.7,西北西,5.3,北西,3.2,,,曇時々晴,曇後雨
12,1012.0,1013.8,1.0,0.5,0.5,10.0,14.0,7.4,72.0,51.0,4.3,10.1,西,15.8,西北西,2.4,,,晴時々曇一時雨,晴
13,1017.6,1019.5,,,,9.0,14.5,4.7,56.0,37.0,4.7,7.8,西,10.9,西,9.7,,,快晴,快晴
14,1019.7,1021.6,2.5,1.5,0.5,6.2,8.0,2.0,87.0,65.0,2.7,4.3,西北西,5.8,西,0.0,,,雨時々曇一時晴,晴時々曇
15,1021.9,1023.8,,,,7.3,12.8,2.7,67.0,34.0,3.0,6.0,西,9.6,西南西,8.0,,,晴後時々薄曇,曇一時晴
16,1021.0,1022.8,7.5,1.5,0.5,7.4,11.8,4.8,79.0,58.0,2.3,4.7,北西,6.1,北西,1.0,,,曇後雨,雨
17,1015.5,1017.3,9.5,2.0,0.5,7.1,9.6,4.1,92.0,82.0,1.9,4.0,西北西,5.1,西北西,0.9,,,雨後時々曇一時晴,快晴
18,1013.3,1015.2,,,,8.1,14.7,2.8,70.0,36.0,3.8,7.5,西北西,11.6,西,9.9,,,晴,快晴
19,1016.3,1018.1,,,,8.3,15.4,3.1,73.0,46.0,3.7,7.7,西北西,11.2,西北西,7.0,,,晴時々曇,快晴
20,1018.2,1020.1,,,,9.6,15.5,4.8,66.0,42.0,4.1,8.1,西北西,12.5,西北西,7.8,,,晴,快晴
21,1024.3,1026.1,,,,8.2,13.6,3.5,68.0,43.0,2.8,6.0,西,8.6,西,9.7,,,快晴,晴後一時曇
22,1024.0,1025.8,0.0,0.0,0.0,8.5,12.4,3.1,87.0,71.0,2.1,4.1,西北西,5.5,西北西,0.0,,,曇後一時雨,曇後一時雨
23,1017.3,1019.1,9.0,7.5,2.0,16.0,22.4,9.9,85.0,62.0,3.2,6.4,西,9.4,西,3.1,,,雨後晴一時曇,曇一時雨
24,1021.4,1023.2,0.0,0.0,0.0,14.8,17.4,12.1,79.0,65.0,2.9,5.5,北東,8.9,北東,0.1,,,曇,曇後一時雨
25,1022.9,1024.7,22.0,6.0,2.0,11.6,14.5,9.5,92.0,71.0,2.6,6.7,東北東,11.3,北東,0.0,,,雨,雨一時曇
26,1019.6,1021.4,11.5,3.0,1.0,10.6,12.4,9.1,88.0,76.0,2.5,6.0,北東,11.4,北北東,0.0,,,雨時々曇,大雨
27,1004.8,1006.6,64.0,11.5,4.5,14.0,16.8,10.5,92.0,76.0,6.9,10.1,北東,18.7,東北東,0.0,,,大雨,晴一時曇
28,1007.4,1009.2,,,,13.2,18.4,9.3,68.0,48.0,5.0,8.2,西,12.3,西,6.5,,,晴,晴
29,1009.2,1011.0,,,,11.6,17.8,6.4,68.0,38.0,2.6,7.1,西,8.9,西,5.3,,,晴時々曇,晴
30,1007.0,1008.8,6.5,6.5,5.0,8.8,14.2,5.6,81.0,53.0,2.5,5.4,北北東,10.1,北北東,4.0,0.0,,晴時々曇一時雨、雷・あられを伴う,晴
31,1013.9,1015.8,,,,7.6,13.3,2.2,70.0,42.0,2.6,4.4,東南東,6.9,西,9.8,,,晴,晴
