,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.2,12.2,-1.5,3.3,5.6,西北西,9.3,北西,西北西,9.5,,
2,0.0,0.0,0.0,6.5,13.5,0.7,3.0,6.1,西,10.5,西北西,北西,9.5,,
3,0.0,0.0,0.0,7.7,12.0,3.5,3.7,5.7,西北西,11.7,西北西,西北西,5.1,,
4,0.0,0.0,0.0,7.5,13.8,1.8,3.1,7.2,北西,14.6,西北西,西北西,9.4,,
5,0.0,0.0,0.0,6.9,13.7,0.2,1.7,4.0,西北西,7.6,西北西,西北西,9.4,,
6,0.0,0.0,0.0,8.7,14.5,2.4,0.8,3.3,南東,5.0,南東,南,2.4,,
7,0.0,0.0,0.0,14.0,19.0,9.4,1.7,5.6,南東,9.7,南東,南東,0.9,,
8,14.5,7.0,2.5,11.4,19.0,6.9,5.5,8.1,西北西,17.2,西北西,西北西,5.3,,
9,0.0,0.0,0.0,9.3,15.4,5.1,3.1,5.0,西,8.9,西,西北西,8.8,,
10,0.0,0.0,0.0,8.9,15.2,4.6,2.0,4.9,西,7.3,西,西北西,9.3,,
11,0.0,0.0,0.0,9.4,14.9,4.4,1.5,4.1,北北西,6.7,北北西,西北西,4.4,,
12,1.0,1.0,0.5,7.2,9.3,5.1,3.4,6.1,西北西,12.2,北西,北西,0.0,,
13,0.0,0.0,0.0,6.3,10.4,2.6,3.8,6.6,北北西,13.0,西北西,北西,9.5,,
14,3.0,1.5,0.5,4.3,6.2,1.8,2.2,5.1,西北西,7.6,西北西,西北西,0.0,,
15,0.5,0.5,0.5,5.0,9.6,1.0,3.0,6.9,北北西,13.9,北北西,北西,7.8,,
16,8.0,1.5,0.5,6.2,10.0,2.6,0.9,2.6,北西,4.6,北西,南南西,0.2,,
17,8.5,2.0,0.5,5.5,8.0,3.6,1.7,4.9,西,7.5,西,南南東,0.6,,
18,0.0,0.0,0.0,6.4,11.1,2.7,3.1,5.5,北北西,10.8,北北西,西北西,6.5,,
19,0.0,0.0,0.0,6.2,10.4,1.3,2.7,6.4,北北西,12.3,北北西,北西,3.5,,
20,0.0,0.0,0.0,7.9,11.7,5.7,2.7,6.0,北北西,11.2,北北西,北西,4.5,,
21,0.0,0.0,0.0,7.4,14.8,2.1,2.2,4.3,西北西,9.2,北西,西北西,9.6,,
22,0.0,0.0,0.0,7.6,10.2,2.2,0.7,3.1,南東,4.6,南東,南南東,0.0,,
23,14.5,9.0,2.5,14.7,20.6,9.0,1.9,5.1,西,10.3,西,西北西,3.8,,
24,0.0,0.0,0.0,13.2,16.4,10.9,2.4,4.9,西北西,6.7,西北西,南南東,0.1,,
25,28.0,10.0,3.0,10.2,11.2,7.3,2.7,6.0,南東,8.2,南南東,南東,0.0,,
26,9.5,2.5,0.5,8.8,10.5,7.2,2.4,4.7,南東,8.5,南南東,南東,0.0,,
27,33.5,10.0,5.0,12.2,16.5,9.9,4.8,8.6,南南西,13.9,南,南,0.0,,
28,0.0,0.0,0.0,10.4,13.9,7.3,3.1,5.5,西北西,10.0,北北西,北西,1.1,,
29,0.0,0.0,0.0,9.9,15.1,6.0,3.0,4.9,西,9.0,西,西北西,6.5,,
30,0.5,0.5,0.5,7.6,13.3,4.0,3.2,5.3,北北西,8.8,西北西,西北西,7.4,,
31,0.0,0.0,0.0,6.3,11.5,1.5,3.1,5.7,北西,10.8,北北西,西北西,9.4,,
