,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.5,12.8,-1.4,1.0,2.7,東,5.1,東南東,西,8.8,,
2,0.0,0.0,0.0,6.7,14.3,1.5,1.4,2.7,西南西,5.7,西,西,8.8,,
3,0.0,0.0,0.0,8.8,16.1,4.7,1.7,3.7,西,6.5,西南西,西,8.8,,
4,0.0,0.0,0.0,8.7,16.0,3.5,1.5,3.2,西北西,7.4,西,西,8.8,,
5,0.0,0.0,0.0,6.8,14.9,1.0,0.7,2.6,東北東,6.5,東北東,西南西,8.8,,
6,0.0,0.0,0.0,8.7,14.6,3.4,0.9,2.4,西,5.1,西南西,西,0.3,,
7,0.0,0.0,0.0,14.9,21.0,9.9,1.0,3.3,南西,7.2,南西,西,1.4,,
8,1.5,1.5,1.0,14.9,18.7,7.4,2.5,5.5,西北西,15.2,西北西,西北西,8.6,,
9,0.0,0.0,0.0,10.4,16.5,5.5,1.2,2.6,東南東,5.7,東,西,7.8,,
10,0.0,0.0,0.0,8.8,15.3,4.1,0.8,2.4,東,6.0,東,西,8.4,,
11,0.0,0.0,0.0,9.1,16.0,5.0,1.0,2.7,西北西,5.7,西,西,3.8,,
12,1.0,0.5,0.5,8.2,14.7,1.2,0.9,3.0,北,7.6,北,西,0.5,,
13,0.0,0.0,0.0,6.2,14.3,-0.2,1.2,2.7,西北西,6.5,西,西,8.8,,
14,3.0,1.5,0.5,5.0,6.7,3.0,1.3,2.8,西,6.0,西南西,西,0.0,,
15,0.0,0.0,0.0,5.2,11.1,0.1,1.2,3.6,北,7.9,北,西南西,7.6,,
16,3.5,1.5,0.5,6.0,10.2,2.4,0.5,2.0,西南西,4.5,西南西,西,0.0,,
17,6.0,2.5,0.5,6.5,11.0,4.3,0.9,2.6,西北西,6.0,西,西,1.2,,
18,0.0,0.0,0.0,7.2,14.2,1.9,1.2,3.3,北北西,7.4,北西,西南西,7.2,,
19,0.0,0.0,0.0,7.9,15.0,3.4,1.3,2.8,西,6.8,西,西北西,5.4,,
20,0.0,0.0,0.0,7.0,15.6,2.4,1.0,3.4,南西,6.6,北北西,西南西,7.1,,
21,0.0,0.0,0.0,7.0,14.4,1.9,1.2,3.7,西南西,6.7,西南西,西,8.9,,
22,0.0,0.0,0.0,7.9,10.9,3.3,1.3,3.5,西南西,5.8,西南西,西,0.0,,
23,3.5,2.5,1.0,14.4,22.3,9.2,0.8,2.6,西,6.0,東北東,西南西,4.1,,
24,0.5,0.5,0.5,13.6,17.2,11.1,1.0,2.6,北東,6.3,東北東,北東,1.0,,
25,24.0,7.0,2.0,9.9,11.3,7.9,0.4,1.6,東,4.5,北東,東,0.0,,
26,12.0,3.0,1.0,9.4,11.5,8.0,1.3,2.3,西南西,4.5,西南西,西南西,0.0,,
27,96.0,16.0,7.5,12.2,16.7,8.9,1.7,5.0,北東,15.0,北東,西南西,0.0,,
28,0.0,0.0,0.0,11.7,17.5,7.4,1.8,5.4,西北西,10.9,西,西北西,9.0,,
29,0.0,0.0,0.0,10.2,16.8,5.2,0.7,3.1,東南東,5.7,南南東,西南西,5.6,,
30,0.5,0.5,0.5,7.3,14.2,2.8,0.8,2.9,西北西,6.6,西北西,西,3.3,,
31,0.0,0.0,0.0,5.6,12.7,-0.2,0.8,3.5,北西,8.8,西,北西,6.9,,
