,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.6,12.9,-2.7,0.5,2.1,南東,4.8,南,北,6.0,,
2,0.0,0.0,0.0,3.3,13.2,-2.8,0.5,2.6,東南東,4.9,南,北北西,6.0,,
3,0.0,0.0,0.0,4.8,13.0,-0.1,0.9,4.1,北東,7.6,東,北,6.0,,
4,0.0,0.0,0.0,4.7,14.1,-1.2,0.7,3.4,東北東,8.3,東北東,北,6.1,,
5,0.0,0.0,0.0,4.1,13.7,-1.7,0.6,3.5,南南西,5.7,南南西,南南西,6.1,,
6,0.0,0.0,0.0,6.5,14.6,-0.6,0.3,1.9,南南西,2.9,南,南南西,1.6,,
7,0.0,0.0,0.0,10.2,12.7,8.3,0.2,1.0,北西,2.3,南,南,0.0,,
8,13.0,6.0,3.0,11.1,15.8,4.4,3.2,8.6,北北東,17.3,北北東,北東,1.2,,
9,0.0,0.0,0.0,7.1,14.8,1.0,0.8,3.9,西南西,6.6,南西,北,5.5,,
10,0.0,0.0,0.0,7.5,14.9,3.2,0.9,5.7,南南西,8.9,南南西,南南西,6.1,,
11,0.0,0.0,0.0,7.2,14.9,3.0,0.2,1.4,北東,3.6,北北東,西,2.9,,
12,1.5,1.0,0.5,7.0,9.7,3.8,1.6,5.4,南南西,9.3,南西,東,0.8,,
13,0.0,0.0,0.0,5.7,12.1,0.6,1.3,4.0,北東,8.8,北東,東北東,6.2,,
14,3.0,1.5,0.5,2.5,5.3,-0.6,0.3,2.4,北北東,4.0,北,北北西,0.0,,
15,0.0,0.0,0.0,3.7,9.5,-0.8,1.0,4.4,南南西,7.7,北北東,北北東,6.1,,
16,6.5,1.5,0.5,5.1,10.6,1.3,0.3,2.6,南南西,3.6,南南西,南南西,0.4,,
17,8.0,2.5,0.5,5.6,8.8,2.7,0.4,2.5,南西,4.3,南南西,北西,0.4,,
18,0.0,0.0,0.0,4.2,11.6,-0.1,1.1,5.3,北東,11.6,北北東,北,4.7,,
19,0.0,0.0,0.0,4.5,12.9,-1.0,1.0,4.9,北北東,7.9,北北東,東北東,3.9,,
20,0.0,0.0,0.0,7.7,12.7,3.8,1.6,4.0,東北東,9.5,北北東,南東,2.6,,
21,0.0,0.0,0.0,5.5,14.2,-0.4,1.2,5.1,南南西,8.8,南南西,南南西,6.4,,
22,0.5,0.5,0.5,5.0,7.5,0.7,0.2,0.8,南南西,1.5,南西,南南西,0.0,,
23,14.5,7.0,3.0,12.9,20.2,7.1,1.0,5.8,北東,9.9,東,北東,4.7,,
24,0.0,0.0,0.0,12.5,16.7,9.0,1.2,4.4,南南西,7.6,南西,南南西,0.6,,
25,22.0,7.5,3.0,11.0,11.7,9.8,0.6,4.2,南南西,6.8,南西,南南西,0.0,,
26,8.0,2.0,0.5,9.4,11.1,8.3,1.3,4.4,南西,7.6,南南西,南南西,0.0,,
27,32.5,7.5,2.0,11.9,15.6,8.7,1.9,5.5,北東,10.7,東北東,南西,0.1,,
28,0.0,0.0,0.0,11.0,15.0,8.0,1.7,5.5,北東,11.8,北北東,北東,3.5,,
29,0.0,0.0,0.0,9.0,16.3,4.9,0.8,4.5,南東,7.3,北,北北東,5.6,,
30,0.0,0.0,0.0,5.7,12.2,1.9,0.5,5.0,北東,8.6,北北東,西南西,2.7,,
31,0.0,0.0,0.0,4.8,12.4,-0.5,0.9,4.7,北北東,9.2,東北東,北東,6.1,,
