,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,4.0,1.5,0.5,2.9,6.5,-0.4,1.8 ],4.1 ],南南東 ],6.7 ],南西 ],南南東 ],1.0,,
2,1.5,1.5,0.5,4.2,7.4,2.9,1.1,3.0,南南東,4.9,南東,南南東,0.8,,
3,7.0,2.0,1.5,5.2,8.0,3.7,1.5,4.3,南南東,6.6,南西,南南東,0.7,,
4,10.0,4.0,1.5,4.0,7.8,0.4,1.1 ),6.5 ),北北西 ),9.9 ),北北西 ),南 ),2.1,,
5,1.0,1.0,0.5,2.5,4.7,0.9,1.4 ),3.6 ),西北西 ),7.0 ),南西 ),南南西 ),0.9,,
6,0.0,0.0,0.0,3.0,8.2,-1.0,1.5,3.2,北,4.6,南南東,南東,6.6,,
7,6.5,2.0,0.5,5.0,12.5,0.3,2.1,9.2,南南東,16.8,南南東,南東,0.0,,
8,22.5,6.0,2.0,11.7,17.8,6.7,4.7,13.0,南南東,20.5,南南東,南南西,1.3,,
9,7.5,3.0,1.0,6.9,10.7,4.5,1.5,4.0,西北西,8.0,西,南,3.9,,
10,12.5,3.5,1.5,3.8,8.2,0.4,1.2,3.3,南南東,5.2,北西,南南東,1.0,,
11,0.5,0.5,0.5,5.6,13.2,0.2,1.6,5.5,北西,8.1,北西,南東,6.6,,
12,4.0,2.0,1.0,4.9,8.7,1.3,0.9,3.0,北西,4.3,北西,南南東,0.3,,
13,16.0,2.5,1.0,4.7,6.7,3.8,1.6,3.9,北西,7.4,南,西北西,0.4,,
14,0.0,0.5,0.0,4.9,8.3,2.5,1.1,3.0,南南東,5.7,西南西,南南東,0.3,,
15,10.5,2.5,1.0,3.3,7.9,1.4,1.4,4.2,西北西,7.7,北西,南南東,0.7,,
16,0.0,0.0,0.0,3.3,7.6,-0.6,1.2,3.4,北,5.9,北,南東,2.9,,
17,0.0,0.0,0.0,3.7,7.2,-0.3,1.4,4.0,北北西,7.0,北,南東,2.2,,
18,4.5,3.0,1.5,3.5,6.9,0.6,1.6,3.7,北,6.8,北,南南東,1.3,,
19,4.0,2.0,1.0,4.5,9.7,-0.3,1.4,4.2,南,8.4,南南東,南南東,3.3,,
20,8.0,3.0,1.0,5.0,7.9,3.7,1.8,4.0,南南東,6.7,南南東,南南東,0.1,,
21,7.0,2.5,1.5,1.6,4.8,-1.4,1.5,4.6,西,10.0,西,南,0.8,,
22,1.0,1.0,0.5,2.7,7.7,-2.7,1.2,3.7,北北西,5.1,北,南南東,2.6,,
23,9.5,2.0,0.5,8.0,9.0,5.7,1.1,4.7,南南東,7.6,南南東,南南西,0.0,,
24,5.5,2.0,1.0,7.3,11.7,2.9,1.5,5.1,北,8.1,北,北,1.7,,
25,0.0,0.0,0.0,3.8,6.7,2.0,1.1,3.2,北,6.4,北,南,1.1,,
26,0.0,0.0,0.0,4.4,9.8,1.1,1.7,4.4,北北西,6.8,北,南南東,6.1,,
27,5.0,2.0,1.0,4.2,6.6,1.6,1.3,3.2,南西,5.2,南西,南,0.0,,
28,2.0,2.0,1.0,8.0,12.9,4.1,0.9,2.3,北北西,4.0,北西,北西,2.0,,
29,4.5,2.5,1.0,8.9,13.5,5.3,1.2,4.2,西北西,8.7,北西,南南東,1.1,,
30,15.5,3.5,1.5,5.9,8.0,3.7,1.6,4.1,南南西,8.8,南南東,南南西,0.0,,
31,8.5,3.5,1.0,1.7,4.0,0.2,1.1,4.0,西北西,7.4,西北西,南南東,0.9,,
