,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,6.5,1.5,0.5,3.5,7.2,0.1,2.3,6.4,南西,10.9,南西,南西,1.8,,
2,2.5,0.5,0.5,4.6,7.8,2.6,1.2,3.2,南,5.0,南,南西,1.3,,
3,10.0,2.0,1.0,6.1,9.1,3.9,2.0,4.7,西南西,10.9,南西,南南西,0.8,,
4,7.0,3.0,1.0,4.7,8.1,2.0,1.2,7.5,西南西,15.6,西,南西,2.3,,
5,4.0,2.0,1.0,2.5,4.2,0.7,1.2,3.0,北北西,7.7,北西,南南西,0.9,,
6,0.0,0.0,0.0,3.7,7.8,-0.7,1.2,3.3,東,5.9,東,南西,5.7,,
7,8.5,2.5,0.5,3.1,5.5,-0.2,0.5,2.2,南,4.0,東,南西,0.0,,
8,41.0,7.5,1.5,11.9,19.3,5.4,7.5,14.2,西南西,26.3,南西,西南西,1.9,,
9,15.0,5.0,1.5,7.1,10.5,3.6,1.8,5.2,西,9.6,西,西北西,5.0,,
10,8.5,3.0,1.5,4.5,9.1,1.8,1.3,4.2,北,6.9,北北東,南,3.7,,
11,0.5,0.5,0.5,6.1,12.6,0.7,2.1,6.8,西南西,11.7,西南西,南,7.1,,
12,8.0,3.0,1.0,4.8,8.4,1.5,1.0,4.2,南,7.6,南南西,南西,0.1,,
13,22.0,3.5,1.5,5.5,7.6,4.0,2.7,7.7,西,15.7,西,西,0.5,,
14,0.5,0.5,0.5,5.8,9.2,2.3,1.4,5.2,南,8.5,南,南西,0.2,,
15,11.5,3.5,1.5,3.8,7.9,1.9,1.5,4.8,南,8.9,西北西,南南西,0.8,,
16,0.0,0.0,0.0,3.6,7.9,-0.3,1.0,3.2,北東,5.4,東北東,北,3.5,,
17,0.0,0.0,0.0,3.7,7.6,0.1,1.7,4.8,北東,7.2,東北東,南西,1.8,,
18,2.5,2.0,0.5,3.2,5.7,0.7,1.0,2.5,南西,4.2,北,南西,0.4,,
19,9.5,4.5,1.5,5.0,9.5,-0.5,1.8,7.4,西南西,11.9,西,南南西,3.2,,
20,13.5,3.0,1.5,6.2,9.7,4.0,3.2,6.8,西南西,12.6,南西,南西,2.7,,
21,5.5,1.5,1.0,2.2,6.7,-1.4,1.7,7.0,西南西,13.7,西南西,南,0.0,,
22,1.0,1.0,0.5,2.9,9.1,-2.9,0.9,3.4,南西,6.6,南西,南西,3.7,,
23,9.5,2.0,0.5,7.1,8.7,5.2,0.4,1.9,南東,2.9,南南東,南西,0.0,,
24,1.0,0.5,0.5,7.6,11.9,3.4,1.6,5.8,北西,7.9,北西,南南西,0.8,,
25,0.0,0.0,0.0,3.8,6.4,2.3,1.7,5.4,北東,8.0,北東,東北東,0.1,,
26,0.0,0.0,0.0,5.4,9.5,1.6,1.8,5.7,北東,8.3,北北東,北東,5.9,,
27,5.5,3.0,1.0,5.4,7.1,3.9,1.3,3.9,東,6.4,東,東,0.0,,
28,2.5,2.5,0.5,8.4,13.9,4.0,0.9,3.0,北北西,4.8,西北西,北西,2.3,,
29,15.5,3.0,1.5,9.0,13.1,7.1,1.7,4.8,南西,8.4,西南西,南南西,1.0,,
30,31.0,5.0,2.0,6.3,8.0,3.9,2.4,5.8,南西,11.5,南南西,南南西,0.0,,
31,20.0,2.5,1.0,1.6,4.0,0.4,1.2,3.5,北,5.4,北,南南西,0.6,,
