,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,6.0,2.5,1.0,3.8,7.7,0.3,2.4,7.2,南南西,10.3,南南西,南南東,,0.0,0.0
2,1.5,1.0,0.5,5.1,8.1,3.6,1.2,3.8,南南西,4.6,南西,南南東,,0.0,0.0
3,7.0,1.5,1.0,6.1,8.7,4.3,1.6,6.0,西南西,9.8,南南西,南南東,,0.0,0.0
4,10.5,3.5,1.0,5.0,8.5,0.9,1.6,7.0,北北西,9.8,北北西,南南西,,0.0,0.0
5,1.0,1.0,0.5,3.6,6.7,1.7,2.0,5.2,西,8.2,西,西南西,,0.0,0.0
6,0.0,0.0,0.0,4.1,8.8,-0.4,1.6,3.8,北北西,5.1,北北東,南,,0.0,0.0
7,6.5,2.0,0.5,6.1,12.7,1.6,3.0,10.9,南,16.5,南,南南東,,0.0,0.0
8,17.5,5.0,1.5,12.1,17.2,7.4,7.3,12.9,南西,20.1,西南西,南,,0.0,0.0
9,7.0,2.5,1.0,7.7,11.3,5.3,2.0,8.7,西南西,11.8,西南西,南西,,0.0,0.0
10,7.0,2.5,1.5,5.2,9.4,2.3,2.1,4.8,西南西,6.7,西南西,南南西,,0.0,0.0
11,3.0,2.0,0.5,6.6,13.7,1.7,2.4,6.8,西北西,9.8,西北西,南,,0.0,0.0
12,8.0,2.5,1.5,5.9,9.3,2.4,1.4,4.7,南西,7.7,南西,南西,,0.0,0.0
13,19.5,3.5,1.0,5.6,6.6,4.3,2.8,6.9,西南西,11.8,西南西,南西,,0.0,0.0
14,0.5,0.5,0.5,5.8,8.6,2.6,1.4,3.5,南南西,5.1,南南西,南,,0.0,0.0
15,7.0,2.0,1.0,4.2,8.3,1.6,1.9,5.6,北西,8.2,北北西,南南西,,0.0,0.0
16,0.0,0.0,0.0,4.3,8.3,-0.3,1.8,5.6,西,8.7,西北西,南,,0.0,0.0
17,0.0,0.0,0.0,4.5,8.4,0.4,2.4,6.3,北北東,9.8,北北東,北北東,,0.0,0.0
18,2.5,1.5,0.5,4.4,8.0,0.6,2.6,6.3,北北東,9.3,北,北北東,,0.0,0.0
19,7.0,3.0,1.0,5.4,9.7,0.4,2.1,7.5,南南西,11.8,南南西,南,,0.0,0.0
20,11.0,2.5,1.5,6.0,9.2,4.7,2.8,9.2,南西,13.9,南西,南,,0.0,0.0
21,5.0,3.5,1.5,2.8,6.0,0.2,2.4,5.7,西南西,7.7,西南西,南南西,,0.0,0.0
22,1.0,1.0,0.5,4.6,9.2,-0.6,1.7,4.2,北,6.2,南,南南西,,0.0,0.0
23,9.0,2.0,0.5,8.5,10.3,7.5,1.6,5.2,南,7.7,南,南,,0.0,0.0
24,4.5,1.5,0.5,8.1,13.1,4.4,2.5,7.1,北,10.3,北,北,,0.0,0.0
25,0.0,0.0,0.0,5.1,7.8,3.4,2.0,5.0,北北東,10.3,北北東,北東,,0.0,0.0
26,0.0,0.0,0.0,5.7,10.7,2.0,2.0,5.6,北北東,8.7,北東,北北東,,0.0,0.0
27,4.5,2.0,0.5,5.1,7.3,2.4,1.3,3.7,南西,5.1,南西,南西,,0.0,0.0
28,4.0,2.5,1.0,8.8,13.7,4.7,1.3,3.1,西南西,4.6,西北西,南,,0.0,0.0
29,5.5,2.0,1.0,9.7,14.2,7.1,2.5,7.5,西南西,11.3,西南西,西南西,,0.0,0.0
30,7.5,2.0,1.0,7.1,8.8,5.0,3.5,7.6,南南西,11.8,南南西,南南西,,0.0,0.0
31,2.5,0.5,0.5,2.9,5.4,1.0,1.8,6.7,西北西,9.8,西北西,南,,0.0,0.0
