,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,2.5,1.0,0.5,,,,,,,,,,,,
2,1.5,1.0,0.5,,,,,,,,,,,,
3,8.0,1.5,1.0,,,,,,,,,,,,
4,16.5,6.5,2.0,,,,,,,,,,,,
5,8.0,3.0,1.0,,,,,,,,,,,,
6,0.0,0.0,0.0,,,,,,,,,,,,
7,8.0,2.5,1.0,,,,,,,,,,,,
8,30.0,8.0,2.0,,,,,,,,,,,,
9,10.0,4.0,1.5,,,,,,,,,,,,
10,4.0,1.5,0.5,,,,,,,,,,,,
11,6.0,4.0,1.5,,,,,,,,,,,,
12,1.5,1.0,0.5,,,,,,,,,,,,
13,12.5,2.5,1.5,,,,,,,,,,,,
14,0.5,0.5,0.5,,,,,,,,,,,,
15,19.0,5.5,1.5,,,,,,,,,,,,
16,0.0,0.0,0.0,,,,,,,,,,,,
17,0.0,0.0,0.0,,,,,,,,,,,,
18,0.0,0.0,0.0,,,,,,,,,,,,
19,1.5,1.0,0.5,,,,,,,,,,,,
20,4.0,1.5,1.0,,,,,,,,,,,,
21,12.0,5.0,2.0,,,,,,,,,,,,
22,0.0,0.0,0.0,,,,,,,,,,,,
23,13.0,2.5,1.0,,,,,,,,,,,,
24,6.5,3.0,1.0,,,,,,,,,,,,
25,0.0,0.0,0.0,,,,,,,,,,,,
26,0.0,0.0,0.0,,,,,,,,,,,,
27,1.0,0.5,0.5,,,,,,,,,,,,
28,3.5,1.0,0.5,,,,,,,,,,,,
29,5.5,1.5,0.5,,,,,,,,,,,,
30,31.0,5.0,1.5,,,,,,,,,,,,
31,13.0,2.5,1.0,,,,,,,,,,,,
