,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.8,10.8,-0.3,1.5,3.6,北北西,7.3,北,北北西,8.8,,
2,0.0,0.0,0.0,5.4,13.5,-0.3,1.6,3.6,南西,6.8,南西,北北西,8.6,,
3,0.0,0.0,0.0,7.2,13.9,2.5,1.6,5.3,南西,10.5,南南西,北,8.9,,
4,0.0,0.0,0.0,6.5,14.0,1.1,1.7,4.2,西南西,10.1,西南西,北北西,8.9,,
5,0.0,0.0,0.0,5.8,11.0,1.8,1.5,3.3,東南東,6.4,東南東,北北西,6.0,,
6,0.0,0.0,0.0,5.0,10.2,-0.2,1.1,3.1,北,4.4,北,北,1.3,,
7,3.0,1.5,0.5,7.7,9.7,5.8,0.5,1.8,南西,3.2,西南西,北,0.0,,
8,26.0,14.0,5.5,11.9,16.6,7.6,3.7,8.7,南西,17.8,南西,西南西,2.3,,
9,0.0,0.0,0.0,10.0,14.8,5.6,1.8,4.8,北,9.1,西南西,西北西,6.1,,
10,0.0,0.0,0.0,6.7,12.2,2.9,1.2,2.5,東南東,5.8,南東,北北西,5.9,,
11,0.0,0.0,0.0,6.8,13.1,2.5,1.4,2.9,南東,6.9,北,北北西,5.8,,
12,0.0,0.0,0.0,7.6,11.5,4.4,1.7,4.3,西南西,9.1,南西,北北西,0.5,,
13,0.0,0.0,0.0,6.8,11.2,1.4,2.4,5.8,南西,13.5,南西,南西,5.1,,
14,1.5,0.5,0.5,4.0,8.9,0.4,1.2,2.9,南西,5.6,西南西,西南西,0.0,,
15,0.0,0.0,0.0,4.7,9.8,0.5,2.1,4.4,南西,11.4,北,西南西,9.0,,
16,0.0,0.0,0.0,3.8,8.5,0.0,1.2,2.3,北,4.2,北,北,0.0,,
17,0.0,0.0,0.0,6.8,12.0,2.5,1.4,4.3,北,6.3,北,北北西,6.0,,
18,0.0,0.0,0.0,6.6,11.6,2.3,1.2,2.7,北東,6.3,北東,北北西,4.5,,
19,0.0,0.0,0.0,4.9,9.9,0.0,1.6,3.8,南西,7.4,南西,北,1.5,,
20,0.0,0.0,0.0,6.9,11.1,2.7,1.5,5.3,南西,10.3,南西,南西,3.2,,
21,0.0,0.0,0.0,6.0,11.6,1.5,1.4,3.8,南南東,6.4,南,北北西,8.7,,
22,12.5,2.5,1.0,4.9,7.6,1.3,0.9,2.2,北,4.0,北,北,0.1,,
23,28.0,8.5,2.0,9.5,13.0,6.9,0.7,1.9,南東,3.8,北,西南西,0.0,,
24,0.0,0.0,0.0,11.5,15.3,9.1,1.3,4.0,北,7.9,北,北,0.5,,
25,5.0,2.5,0.5,7.9,9.7,5.9,1.8,3.8,北,6.4,北東,北,0.3,,
26,6.0,3.0,1.0,8.4,11.8,5.5,1.1,3.5,北東,8.1,東北東,北,3.6,,
27,30.0,5.5,1.5,8.0,10.2,5.8,2.8,5.2,北北東,14.0,東北東,北北東,0.0,,
28,3.0,1.5,0.5,9.3,11.9,7.6,0.8,2.7,南東,4.3,南南東,北北西,0.9,,
29,0.0,0.0,0.0,8.7,13.7,4.7,1.5,4.3,南南東,6.9,西南西,北,6.3,,
30,0.0,0.0,0.0,6.5,11.4,2.3,1.5,4.9,北北西,9.1,北西,北北西,5.0,,
31,0.0,0.0,0.0,5.3,10.8,1.4,1.5,6.3,北,11.1,北,北,3.4,,
