,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.5,9.9,-1.5,0.7,4.4,西南西,9.4,西南西,南東,7.7,,
2,0.0,0.0,0.0,3.6,12.2,-1.0,0.6,3.9,西,7.7,西南西,東南東,6.3,,
3,0.0,0.0,0.0,5.4,13.5,1.2,0.8,4.3,西南西,8.1,西,南西,6.7,,
4,0.0,0.0,0.0,5.2,12.7,-0.1,1.3,5.5,西,10.8,西,西南西,6.4,,
5,0.0,0.0,0.0,5.4,11.6,-0.3,0.7,2.8,北北西,6.8,北,北西,6.7,,
6,0.0,0.0,0.0,2.8,7.8,-1.9,0.2,1.0,南東,1.8,東南東,東,0.3,,
7,6.0,2.5,0.5,6.3,7.6,4.7,0.1,1.0,西南西,1.9,西,北西,0.0,,
8,27.5,14.5,4.5,9.9,14.3,6.6,1.8,4.6,南西,15.6,西南西,南西,0.3,,
9,0.5,0.5,0.5,8.0,13.4,4.4,1.0,3.8,南西,8.0,西南西,西南西,6.1,,
10,0.0,0.0,0.0,5.5,12.6,1.4,0.4,2.6,東,4.8,北北西,北,4.7,,
11,0.0,0.0,0.0,5.2,14.4,1.1,0.6,3.6,西,6.9,西南西,南西,6.2,,
12,0.0,0.0,0.0,4.9,8.8,2.1,0.3,1.5,西,3.4,東北東,南東,0.0,,
13,0.5,0.5,0.5,4.2,9.7,-0.2,0.8,4.0,西,8.8,西,西南西,3.6,,
14,2.0,1.0,0.5,2.6,6.1,-0.5,0.3,1.6,東北東,3.5,北東,西,0.0,,
15,0.0,0.0,0.0,2.7,9.0,-1.3,0.7,3.9,西南西,8.9,南西,南東,6.0,,
16,0.0,0.0,0.0,2.2,9.0,-1.9,0.4 ],1.7 ],東北東 ],3.5 ],北北東 ],西北西 ],0.0,,
17,0.0,0.0,0.0,5.4,12.2,0.6,0.6,2.5,北北西,6.0,北,南南東,3.8,,
18,0.0,0.0,0.0,5.1,11.6,0.3,0.4,2.0,西北西,4.7,南,西南西,3.5,,
19,0.0,0.0,0.0,1.9,6.5,-1.6,0.3,0.9,西,1.9,西南西,南南東,0.3,,
20,0.0,0.0,0.0,4.8,10.8,0.6,0.8,3.8,西,8.1,西,南西,2.5,,
21,0.0,0.0,0.0,4.4,12.0,-0.2,0.7,2.9,北西,7.2,西,西北西,6.6,,
22,15.5,3.5,1.0,2.7,4.9,-0.7,0.1,0.6,南南西,1.4,南,南東,0.0,,
23,22.5,7.0,1.5,8.6,12.7,4.8,0.4,1.6,南南西,3.2,東,東,0.5,,
24,0.5,0.5,0.5,10.4,16.0,6.1,0.6,2.3,西北西,5.6,西北西,西,1.5,,
25,4.5,3.0,1.0,6.7,9.3,4.6,0.4,1.5,東,3.4,東,南東,0.0,,
26,4.0,3.0,0.5,7.8,13.9,5.1,0.5,1.8,東,4.3,東南東,南南東,3.2,,
27,30.0,5.5,2.0,7.2,9.4,5.1,1.3,3.3,東北東,8.5,北北東,東北東,0.0,,
28,1.0,1.5,0.5,9.3,13.4,7.1,0.8,2.9,東,6.7,東北東,西,0.5,,
29,2.0,1.0,0.5,8.0,12.0,4.9,1.1,3.4,北北西,9.1,北,西,4.2,,
30,0.5,0.5,0.5,5.6,9.8,1.9,1.2,3.0,西北西,7.7,西北西,西南西,3.7,,
31,0.5,0.5,0.5,4.8,8.9,2.4,1.2,3.6,北北西,9.5,北西,西南西,3.4,,
