,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,5.5,1.5,0.5,-1.3,1.9,-3.2,2.0,3.9,南,12.7,北西,東,2.2,15.0,44.0
2,1.0,0.5,0.5,-0.7,1.3,-2.9,1.5,3.5,北,9.6,北,北,0.1,7.0,46.0
3,3.0,1.0,0.5,-0.2,2.0,-3.6,0.8,2.6,北,7.4,北,北北東,0.3,8.0,46.0
4,2.5,1.0,0.5,-0.6,1.7,-2.6,1.4,4.0,北北東,11.3,北,北東,2.2,15.0,57.0
5,7.0,1.5,0.5,-2.0,-0.4,-3.2,1.5 ],3.9 ],北北東 ],13.6 ],北 ],東北東 ],0.0,15.0,68.0
6,0.0,0.0,0.0,1.4,3.7,-1.2,2.5,4.3,北北東,13.8,北北西,北東,3.1,1.0,64.0
7,3.5,2.0,0.5,-2.1,2.2,-8.2,0.6,1.9,北北東,2.9,北北東,北北東,0.0,6.0,57.0
8,38.5,4.0,1.0,1.0,7.6,-1.6,1.2 ],5.0 ],南 ],18.4 ],南 ],南南西 ],0.0,1.0,58.0
9,24.5,5.5,1.0,2.1,6.2,-0.2,1.4,4.7,南南西,14.6,北西,南,0.1,0.0,42.0
10,0.0,0.0,0.0,0.4,4.4,-1.3,0.6,3.4,北北東,6.5,北,西南西,1.6,0.0,32.0
11,2.0,2.0,1.0,0.6,6.9,-1.9,0.6 ],4.7 ],南 ],9.4 ],南 ],南 ],4.9,4.0,32.0
12,0.0,0.0,0.0,0.7,4.7,-2.1,0.3 ],1.4 ],北東 ],2.7 ],東 ],南西 ],2.0,1.0,32.0
13,0.0,0.0,0.0,0.6,4.3,-1.6,0.6,2.4,北,5.3,北北西,北,1.7,4.0,31.0
14,2.5,1.0,0.5,0.4,4.2,-1.4,0.5,2.9,北,6.4,北,北北東,1.1,1.0,30.0
15,3.5,1.0,0.5,0.2,2.9,-1.8,0.4 ],2.6 ],北 ],7.0 ],北 ],北東 ],0.4,13.0,37.0
16,2.0,1.0,0.5,0.1,2.1,-2.0,1.7 ],4.0 ],北北東 ],12.2 ],北 ],北北東 ],1.3,7.0,43.0
17,3.0,2.5,1.0,-0.9,2.3,-5.6,1.1,3.0,北,9.5,北北東,南,1.4,13.0,52.0
18,0.0,0.0,0.0,-3.4,1.0,-8.6,0.4,1.9,東南東,3.4,東,南,0.4,0.0,47.0
19,3.5,3.0,1.5,-1.2,2.6,-3.7,0.7,2.6,南,4.8,南,南南西,0.4,5.0,45.0
20,9.5,3.0,1.5,0.8,3.6,-1.4,1.1 ],3.7 ],北北東 ],11.2 ],北 ],東北東 ],0.2,17.0,58.0
21,14.5,2.5,0.5,-1.4,0.9,-2.5,1.1 ],3.2 ],北 ],9.6 ],北 ],東南東 ],0.0,25.0,83.0
22,0.0,0.0,0.0,-1.5,3.1,-4.4,0.7,2.3,南南東,6.8,南,南南西,4.6,0.0,79.0
23,2.0,1.0,0.5,0.4,2.1,-3.1,0.5,1.8,南,4.5,西南西,南南西,0.0,0.0,66.0
24,3.5,1.0,0.5,1.7,5.7,-1.0,1.5,3.5,北北東,10.6,北西,北北東,0.2,0.0,56.0
25,0.0,0.0,0.0,-0.9,1.1,-3.3,1.9,3.5,南,9.8,北,南南東,4.0,0.0,49.0
26,0.0,0.0,0.0,-1.5,2.9,-5.9,1.3,3.3,北,7.0,西南西,南,2.8,0.0,48.0
27,0.0,0.0,0.0,-1.2,2.3,-5.6,0.7,2.7,南,4.4,東南東,南東,0.7,0.0,48.0
28,7.0,2.0,0.5,-0.1,0.6,-1.4,0.4,2.0,東南東,3.8,南,南西,0.0,8.0,55.0
29,10.0,3.0,1.0,0.7,2.0,-0.1,0.5,1.8,南,2.7,南南西,南,0.0,1.0,54.0
30,6.0,3.0,1.0,2.2,5.9,0.4,0.9,2.7,北北西,8.9,北,北北東,0.4,0.0,52.0
31,5.5,1.0,0.5,0.2,2.4,-1.2,1.9,4.3,北,10.7,北北西,北北東,0.4,17.0,64.0
