,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1008.1,1021.0,11.5,5.0,1.5,0.1,1.9,-2.3,84.0,66.0,4.1,8.9,西,15.5,西北西,1.8,17.0,19.0,,
2,1009.3,1022.1,1.5,1.0,0.5,1.6,4.9,-2.2,71.0,48.0,3.9,9.8,西北西,15.9,北西,4.2,3.0,21.0,,
3,1004.2,1017.1,15.0,3.0,1.0,0.0,2.3,-2.9,96.0,86.0,1.6,4.8,北北西,9.6,北北西,0.4,9.0,18.0,,
4,1003.1,1015.9,0.5,1.0,0.5,0.9,3.4,-1.3,85.0,59.0,2.9,7.1,北北西,9.7,北北西,0.9,1.0,18.0,,
5,1009.3,1022.3,1.5,0.5,0.5,-0.6,3.2,-5.8,84.0,58.0,4.8,9.7,北西,17.1,北西,3.1,4.0,16.0,,
6,1013.8,1026.6,0.0,0.0,0.0,2.4,5.8,-2.8,73.0,53.0,4.7,10.3,北西,18.1,北西,2.7,,14.0,,
7,1012.5,1025.5,1.0,0.5,0.5,-0.3,3.4,-5.5,80.0,50.0,1.7,4.6,南東,8.3,南東,1.8,2.0,10.0,,
8,990.8,1003.4,28.0,5.5,1.5,2.4,4.1,-0.4,95.0,82.0,3.0,8.1,南東,13.6,南南東,0.0,,10.0,,
9,997.3,1009.8,12.0,5.0,1.5,3.8,7.0,0.2,88.0,66.0,3.0,9.9,西,16.1,西南西,1.4,,5.0,,
10,1005.0,1017.7,0.5,0.5,0.5,2.4,6.1,-0.4,89.0,64.0,1.3,5.5,北北西,7.7,北西,2.0,,,,
11,1002.2,1014.9,1.5,1.5,0.5,2.3,6.0,0.3,95.0,81.0,1.8,8.1,東南東,12.1,南東,2.4,,,,
12,999.5,1012.2,0.5,0.5,0.5,1.7,4.4,0.1,98.0,87.0,1.3,3.1,北,4.2,北,0.3,,,,
13,1001.1,1013.8,0.0,0.0,0.0,1.9,6.9,-0.2,90.0,61.0,1.4,5.0,北,7.8,北西,2.0,,,,
14,1007.9,1020.8,4.0,2.0,1.0,1.5,4.1,-1.6,96.0,87.0,1.3,4.6,南東,6.7,東南東,0.0,,,,
15,1005.9,1018.6,2.0,1.0,0.5,1.7,3.6,0.4,94.0,72.0,1.7,5.7,北西,9.1,北西,0.0,,,,
16,1008.4,1021.3,4.0,1.0,0.5,1.3,4.0,-0.1,89.0,65.0,2.7,6.0,北西,10.0,北西,0.4,2.0,2.0,,
17,1008.0,1020.9,3.0,1.5,0.5,1.4,5.4,-1.2,85.0,49.0,2.3,6.0,西北西,9.9,西北西,2.0,1.0,1.0,,
18,1004.0,1016.9,,,,-0.3,2.9,-2.8,87.0,64.0,0.9,1.9,南南西,2.9,南西,1.5,,,,
19,1002.0,1014.8,0.5,0.5,0.5,0.4,3.7,-2.4,90.0,69.0,1.2,5.4,南東,9.5,南東,1.1,,,,
20,999.3,1011.9,17.0,3.0,1.5,2.9,7.2,0.2,84.0,50.0,4.1,10.6,北西,18.9,西北西,4.0,2.0,2.0,,
21,1008.9,1021.8,12.5,4.0,1.5,0.4,1.9,-1.3,85.0,68.0,4.1,8.5,西北西,14.2,西北西,1.0,13.0,15.0,,
22,1015.3,1028.3,,,,-0.2,4.0,-2.4,90.0,71.0,1.2,4.7,南東,6.5,南東,4.0,,12.0,,
23,1010.2,1023.1,3.0,1.0,0.5,0.2,1.8,-1.6,99.0,94.0,0.8,2.0,南南東,3.1,南南東,0.0,1.0,7.0,,
24,1011.4,1024.2,1.0,0.5,0.5,1.7,5.5,-0.2,86.0,60.0,3.9,9.6,北西,15.2,北北西,0.3,,3.0,,
25,1017.4,1030.4,0.0,0.0,0.0,0.6,3.3,-2.5,69.0,56.0,3.9,7.0,北西,10.8,北西,2.8,1.0,1.0,,
26,1015.2,1028.2,,,,0.5,5.0,-2.5,73.0,50.0,2.5,6.7,西北西,10.4,西北西,2.9,,,,
27,1014.1,1027.0,,,,2.1,5.6,-2.5,64.0,47.0,2.7,7.7,東,12.8,東南東,5.1,,,,
28,1008.2,1020.9,0.0,0.0,0.0,4.4,5.9,3.0,73.0,59.0,4.3,7.7,東南東,13.5,南東,0.0,,,,
29,994.9,1007.3,12.0,4.5,1.5,6.5,9.7,4.3,88.0,73.0,3.0,6.8,東南東,13.4,東南東,0.0,,,,
30,986.5,998.8,11.0,2.5,1.0,5.3,7.5,3.6,95.0,85.0,2.2,7.4,西南西,10.5,西南西,0.1,,,,
31,992.4,1005.0,9.0,2.0,1.0,2.4,4.7,1.0,89.0,73.0,4.6,9.6,北西,16.4,西北西,1.6,,,,
