,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,1.5,0.5,0.5,0.4,4.3,-1.4,1.3,5.1,南,9.2,南,北北東,3.1,,
2,0.5,0.5,0.5,1.1,5.2,-2.3,0.9 ],2.5 ],北東 ],5.6 ],北東 ],北東 ],2.9,,
3,4.0,2.0,1.0,0.2,4.7,-3.6,0.6,2.4,北,4.3,北北西,南南東,1.6,,
4,2.0,1.0,0.5,1.3,5.4,-0.3,0.7,3.1,北北東,6.8,北,北東,4.8,,
5,6.0,1.5,1.0,-0.2,1.2,-1.4,0.9 ),3.0 ),北 ),6.8 ),北 ),北北東 ),1.0,,
6,0.0,0.0,0.0,1.0,4.1,-4.7,0.8,2.1,西,5.2,北北東,北,0.9,,
7,2.0,1.5,0.5,-0.7,2.3,-5.7,0.5,1.8,南西,2.8,南西,北,0.2,,
8,16.5,2.5,1.0,1.2,2.6,-0.1,0.9 ],2.5 ],西南西 ],4.2 ],西南西 ],西南西 ],0.0,,
9,2.5,1.0,0.5,3.8,6.7,1.3,1.1,3.4,南西,6.6,北,北北東,0.9,,
10,0.0,0.0,0.0,2.4,6.0,0.3,0.6,2.0,南西,4.0,北北東,北西,1.3,,
11,1.0,1.0,0.5,3.0,9.2,-0.1,1.0,3.9,西南西,8.1,西南西,南南西,5.4,,
12,0.0,0.0,0.0,1.9,6.4,-0.8,0.9 ],2.3 ],北 ],4.8 ],北北東 ],北 ],1.9,,
13,0.0,0.0,0.0,2.4,5.7,0.7,1.0,3.5,北北西,7.0,北,北北東,0.6,,
14,1.0,0.5,0.5,2.6,6.9,-0.5,0.9,2.5,北東,6.0,東北東,南西,1.0,,
15,4.5,1.5,0.5,1.4,2.7,0.4,0.5,2.1,北,5.2,北,北北西,0.0,,
16,2.0,1.5,0.5,1.9,6.0,-1.1,1.1 ],4.4 ],西南西 ],8.2 ],西南西 ],南西 ],2.7,,
17,0.0,0.0,0.0,1.5,5.8,-2.4,0.8,2.6,北,5.7,北,北北東,4.0,,
18,0.0,0.0,0.0,-0.9,2.0,-3.7,0.3,1.1,西,2.3,南,北西,0.0,,
19,2.5,2.5,1.0,0.5,5.4,-3.2,0.5,1.9,南,3.6,南,北北西,1.7,,
20,9.5,2.5,1.0,2.3,6.2,0.2,0.9 ],3.1 ],北東 ],7.7 ],東北東 ],西南西 ],1.2,,
21,17.5,4.5,1.0,-0.3,1.7,-5.8,0.8,2.9,北西,6.8,北,北東,0.1,,
22,0.0,0.0,0.0,-1.7,5.3,-9.2,0.4,1.6,南,3.0,北,南南東,5.9,,
23,3.0,1.0,0.5,-0.3,1.4,-4.0,0.3,1.5,北北西,3.0,北北西,北北西,0.0,,
24,0.0,0.0,0.0,1.8,4.2,0.4,1.1,3.8,北東,7.9,北東,北東,0.2,,
25,0.0,0.0,0.0,0.5,4.3,-2.9,1.1,2.9,北,6.0,北北東,北,5.8,,
26,0.0,0.0,0.0,0.2,6.5,-4.3,0.8,3.8,北,7.5,北北西,南,5.8,,
27,0.0,0.0,0.0,0.9,5.0,-4.5,0.8,3.1,東南東,7.2,東南東,東南東,2.6,,
28,0.0,0.0,0.0,4.4,6.1,2.3,1.3,2.9,東南東,7.2,東南東,東南東,0.0,,
29,15.5,6.5,1.5,5.7,8.5,3.5,1.4,4.0,北北西,8.3,北,北北西,0.0,,
30,3.0,3.0,2.0,4.9,10.5,1.9,0.8,2.6,北北東,6.6,北,西南西,0.5,,
31,12.5,3.0,1.0,2.0,5.3,0.2,1.2,5.7,西北西,11.1,北西,南南西,2.6,,
