,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,10.5,4.0,1.5,,,,,,,,,,,,
2,3.0,2.0,0.5,,,,,,,,,,,,
3,17.5,3.0,1.0,,,,,,,,,,,,
4,1.0,1.5,0.5,,,,,,,,,,,,
5,0.5,0.5,0.5,,,,,,,,,,,,
6,1.0,1.0,0.5,,,,,,,,,,,,
7,1.5,1.0,0.5,,,,,,,,,,,,
8,25.5,3.5,1.0,,,,,,,,,,,,
9,17.0,5.5,1.5,,,,,,,,,,,,
10,0.0,0.0,0.0,,,,,,,,,,,,
11,3.0,2.0,0.5,,,,,,,,,,,,
12,0.0,0.0,0.0,,,,,,,,,,,,
13,0.0,0.0,0.0,,,,,,,,,,,,
14,3.0,1.5,0.5,,,,,,,,,,,,
15,6.0,2.0,0.5,,,,,,,,,,,,
16,9.5,3.0,1.5,,,,,,,,,,,,
17,5.0,3.0,1.0,,,,,,,,,,,,
18,0.0,0.0,0.0,,,,,,,,,,,,
19,1.0,1.0,1.0,,,,,,,,,,,,
20,21.5,3.0,1.5,,,,,,,,,,,,
21,12.0,3.5,1.5,,,,,,,,,,,,
22,0.0,0.0,0.0,,,,,,,,,,,,
23,2.5,1.0,0.5,,,,,,,,,,,,
24,1.5,0.5,0.5,,,,,,,,,,,,
25,0.0,0.0,0.0,,,,,,,,,,,,
26,0.0,0.0,0.0,,,,,,,,,,,,
27,0.0,0.0,0.0,,,,,,,,,,,,
28,6.0,1.0,0.5,,,,,,,,,,,,
29,20.5,4.5,1.0,,,,,,,,,,,,
30,13.5,2.5,1.0,,,,,,,,,,,,
31,19.0,3.0,1.0,,,,,,,,,,,,
