,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,15.5,6.0,1.5,-0.6,0.9,-2.6,0.9,4.4,西,10.9,西,北北西,1.3,21.0,27.0
2,1.0,1.0,0.5,0.5,4.1,-3.2,1.3,4.1,北西,11.8,西,北北東,2.4,0.0,25.0
3,12.0,3.0,1.0,-0.2,1.5,-3.1,0.4 ),1.6 ),北 ),3.6 ),北東 ),北北東 ),0.0,14.0,24.0
4,0.0,0.0,0.0,0.5,2.7,-1.7,1.1 ],2.8 ],北北西 ],9.0 ],西北西 ],北北東 ],1.8,0.0,22.0
5,2.0,1.5,1.0,-1.5,1.0,-4.8,1.1,4.1,西北西,10.1,北西,北北東,1.5,7.0,22.0
6,0.0,0.0,0.0,1.3,4.6,-1.6,1.2,3.4,北西,9.4,西,北北東,1.5,1.0,21.0
7,0.5,0.5,0.5,-1.1,3.0,-5.6,0.7,3.0,北東,5.7,東北東,北北東,1.1,1.0,14.0
8,28.0,4.0,1.0,1.5,3.3,-0.7,0.9 ],3.6 ],北西 ],10.8 ],西北西 ],北北東 ],0.0,3.0,17.0
9,13.5,5.0,1.5,2.7,6.5,-0.5,1.1,5.3,南南西,9.9,南,北北東,1.3,0.0,10.0
10,0.0,0.0,0.0,1.6,5.2,-0.5,0.7,2.2,南南西,4.0,南西,北北東,2.5,1.0,5.0
11,4.0,1.5,0.5,1.5,4.2,-0.1,0.6 ],3.0 ],西 ],5.7 ],西 ],北北東 ],1.6,2.0,6.0
12,1.0,0.5,0.5,0.8,3.9,-0.8,0.6 ],2.0 ],西南西 ],3.1 ],西南西 ],南南西 ],0.7,0.0,3.0
13,0.5,0.5,0.5,0.9,4.2,-0.9,0.6,2.0,北北東,4.5,北東,南南西,2.3,3.0,4.0
14,3.0,1.5,0.5,0.8,4.0,-1.8,0.6,2.3,南東,4.8,北西,北北東,0.8,2.0,3.0
15,4.5,3.0,1.0,1.0,2.8,-0.1,0.5,1.9,西南西,4.5,北西,南南西,0.0,4.0,3.0
16,2.5,1.0,0.5,0.6,3.2,-1.3,0.8,4.2,西,9.5,西北西,北北東,0.6,7.0,6.0
17,1.5,1.0,0.5,0.8,4.8,-2.2,0.8,3.1,西,6.4,北西,北北東,4.3,2.0,6.0
18,0.0,0.0,0.0,-0.7,2.6,-3.2,0.6,1.9,南南西,3.2,南南西,北北東,2.8,0.0,4.0
19,0.5,0.5,0.5,0.0,3.0,-3.1,0.7,2.2,南西,3.8,南西,南西,3.0,2.0,4.0
20,17.5,2.5,1.0,2.2,6.1,0.0,1.3 ],5.9 ],西南西 ],14.5 ],西 ],西南西 ],4.0,9.0,9.0
21,6.0,2.5,0.5,-0.1,2.1,-1.8,1.3 ],3.4 ],北西 ],8.9 ],西 ],北北西 ],3.3,12.0,19.0
22,0.0,0.0,0.0,-0.4,3.6,-2.8,0.6,1.7,北北東,3.8,東北東,北北東,3.4,0.0,12.0
23,1.5,0.5,0.5,0.2,2.3,-2.1,0.4,1.4,南,3.8,西南西,南南西,0.0,1.0,9.0
24,1.0,0.5,0.5,1.4,6.0,-0.4,1.1,3.3,西北西,9.4,西北西,西北西,0.6,0.0,7.0
25,0.0,0.0,0.0,0.2,2.3,-1.8,1.3,4.5,西,10.4,西,北北東,3.2,0.0,4.0
26,0.0,0.0,0.0,-0.1,4.3,-2.9,1.2,3.9,西,8.7,西,北北東,4.7,0.0,4.0
27,0.0,0.0,0.0,1.0,4.8,-3.1,1.1,3.0,南南東,7.9,南東,北北東,6.0,0.0,4.0
28,0.0,0.0,0.0,4.8,6.9,1.6,1.6,3.1,南南東,10.4,東南東,南,0.0,0.0,4.0
29,8.0,2.5,0.5,5.1,6.9,3.2,1.1,3.5,北西,7.4,北西,北北東,0.0,0.0,0.0
30,15.0,3.5,1.0,4.6,7.3,3.2,0.8,2.8,南南西,6.3,西南西,北北東,0.0,0.0,0.0
31,12.5,2.0,1.0,1.4,3.6,0.4,1.3,3.7,西南西,11.3,西,南西,1.0,0.0,0.0
