,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,1.5,0.5,0.5,0.4,4.2,-1.9,2.1,5.0,西,11.7,西,西南西,1.9,,
2,0.5,0.5,0.5,1.0,3.1,-0.1,1.9 ],4.3 ],西 ],7.3 ],西 ],南西 ],1.6,,
3,2.0,0.5,0.5,1.2,5.6,-2.7,1.5,3.5,西,7.9,西,南西,2.3,,
4,0.5,0.5,0.5,1.7,4.4,0.3,2.4,5.1,西南西,10.2,西,西南西,3.0,,
5,0.5,0.5,0.5,0.1,1.7,-1.2,1.9,4.9,西,10.3,西,西南西,1.0,,
6,0.0,0.0,0.0,2.4,5.5,-1.3,2.6,5.8,西,10.5,西,西南西,0.5,,
7,2.5,1.5,0.5,0.3,3.7,-4.3,0.6,2.2,東南東,4.8,南南東,西,2.1,,
8,14.0,3.5,1.5,3.2,7.2,0.2,1.1 ),3.6 ),東南東 ),7.1 ),南南東 ),東 ),0.1,,
9,5.5,3.0,0.5,4.1,8.2,0.0,3.2,6.4,西,15.0,西南西,西南西,1.7,,
10,0.0,0.0,0.0,2.7,6.3,0.0,0.9,3.4,西,6.4,西,東,0.6,,
11,3.5,2.5,1.0,3.2,10.0,-0.8,1.1,4.4,西南西,8.7,西南西,西,5.8,,
12,0.0,0.0,0.0,2.9,7.8,-0.3,0.6 ),1.7 ),東南東 ),3.0 ),西 ),東 ),4.6,,
13,0.0,0.0,0.0,2.2,6.2,-0.2,0.6,1.7,東,3.9,西,東,0.5,,
14,0.0,0.0,0.0,2.7,7.2,-0.4,0.8 ),2.8 ),北西 ),6.5 ),北西 ),東 ),1.9,,
15,3.5,1.0,0.5,1.5,3.7,-0.1,0.7,4.5,西,9.6,西,西,0.1,,
16,2.0,1.0,0.5,1.4,4.2,-0.1,1.8,4.3,西,8.0,西,西,2.9,,
17,0.0,0.0,0.0,1.2,6.4,-2.4,1.2,4.1,西,7.7,西,西,5.2,,
18,0.0,0.0,0.0,-0.8,1.0,-3.4,0.4,1.7,南西,2.7,西南西,東,0.0,,
19,0.5,0.5,0.5,1.4,6.0,-0.8,0.8,2.3,西,4.8,西,東,1.0,,
20,9.0,2.0,0.5,2.3,4.8,0.0,1.7,5.6,西,11.0,西,南西,1.5,,
21,7.0,3.0,1.0,0.3,1.8,-0.4,2.5,5.1,西,10.2,西,西,1.3,,
22,0.0,0.0,0.0,0.5,4.7,-2.2,0.7,2.7,西南西,4.9,西南西,南西,5.5,,
23,2.0,1.0,0.5,1.3,3.3,-1.6,0.4,1.9,西,3.0,西,東,0.0,,
24,0.0,0.0,0.0,4.0,8.9,1.3,2.5,6.2,西南西,10.7,西,西南西,2.6,,
25,0.0,0.0,0.0,1.6,4.4,-2.0,3.1,6.0,西南西,10.5,西,西南西,5.5,,
26,0.0,0.0,0.0,0.5,6.6,-3.7,1.5,5.3,西,9.1,西,東,6.5,,
27,0.0,0.0,0.0,0.9,6.1,-4.0,1.4,4.0,南東,10.3,南東,東,1.2,,
28,6.5,1.0,0.5,3.7,5.9,1.2,2.1,4.8,東南東,12.6,東北東,東,0.0,,
29,28.0,6.5,2.0,3.8,6.3,1.8,1.0,3.9,北東,9.8,東北東,東北東,0.0,,
30,0.5,0.5,0.5,5.3,11.7,1.8,1.8,4.4,西南西,8.4,西南西,西南西,3.5,,
31,1.0,0.5,0.5,1.5,3.9,-0.1,3.4,6.6,西,12.2,西南西,西南西,3.4,,
