,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,,,,,,,,,,,,
2,0.0,0.0,0.0,,,,,,,,,,,,
3,2.0,1.0,0.5,,,,,,,,,,,,
4,6.5,4.0,1.0,,,,,,,,,,,,
5,0.0,0.0,0.0,,,,,,,,,,,,
6,0.0,0.0,0.0,,,,,,,,,,,,
7,40.5,5.0,1.0,,,,,,,,,,,,
8,54.0,11.0,3.0,,,,,,,,,,,,
9,0.5,0.5,0.5,,,,,,,,,,,,
10,0.5,0.5,0.5,,,,,,,,,,,,
11,0.0,0.0,0.0,,,,,,,,,,,,
12,3.5,2.0,1.0,,,,,,,,,,,,
13,10.0,2.5,1.0,,,,,,,,,,,,
14,1.0,0.5,0.5,,,,,,,,,,,,
15,2.5,1.0,0.5,,,,,,,,,,,,
16,0.0,0.0,0.0,,,,,,,,,,,,
17,0.0,0.0,0.0,,,,,,,,,,,,
18,0.0,0.0,0.0,,,,,,,,,,,,
19,2.0,1.0,0.5,,,,,,,,,,,,
20,3.5,0.5,0.5,,,,,,,,,,,,
21,1.5,1.0,0.5,,,,,,,,,,,,
22,2.0,1.0,0.5,,,,,,,,,,,,
23,25.0,4.0,1.0,,,,,,,,,,,,
24,0.0,0.0,0.0,,,,,,,,,,,,
25,0.0,0.0,0.0,,,,,,,,,,,,
26,0.0,0.0,0.0,,,,,,,,,,,,
27,3.5,2.5,1.0,,,,,,,,,,,,
28,2.0,1.5,1.0,,,,,,,,,,,,
29,3.5,2.0,0.5,,,,,,,,,,,,
30,2.0,1.0,0.5,,,,,,,,,,,,
31,0.0,0.0,0.0,,,,,,,,,,,,
