,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,0.2,5.9,-5.4,0.7,2.5,東北東,4.5,東,南西,3.3,,
2,0.0,0.0,0.0,2.6,9.5,-2.2,0.9,1.9,北東,5.7,南南西,西南西,5.6,,
3,0.0,0.0,0.0,3.9,8.4,1.3,0.8,1.9,北東,3.3,北,西,1.7,,
4,1.0,0.5,0.5,3.6,9.7,-0.1,1.0,3.1,北西,6.4,北西,西南西,3.8,,
5,0.0,0.0,0.0,1.2,6.7,-2.9,1.4,5.1,西北西,9.5,北西,北西,7.5,,
6,0.0,0.0,0.0,1.7,9.8,-5.4,0.7,1.5,東北東,2.6,東南東,南南西,6.5,,
7,5.5,1.0,0.5,3.1,7.2,-1.7,1.1,3.0,北東,4.9,北東,東北東,0.0,,
8,19.5,8.5,4.0,8.2,13.2,4.6,1.3,2.7,東,6.9,東北東,南南西,0.2,,
9,0.0,0.0,0.0,5.9,11.5,1.0,1.0,3.4,西北西,7.9,西,南西,7.3,,
10,0.5,0.5,0.5,4.2,10.6,-0.4,0.8,2.5,北西,3.6,北西,南西,5.3,,
11,0.0,0.0,0.0,2.8,10.9,-2.5,0.8,1.9,南,3.8,南南西,西南西,7.8,,
12,0.0,0.0,0.0,2.4,6.6,-2.1,0.6,1.8,北北東,2.6,北,北北東,0.0,,
13,0.5,0.5,0.5,3.5,7.2,0.9,0.8,1.7,西,3.5,西,南南西,1.4,,
14,1.0,0.5,0.5,3.5,8.9,-1.6,0.8,2.0,東北東,3.3,南西,西,4.1,,
15,1.0,0.5,0.5,2.5,6.8,-1.2,0.9,2.4,北北東,6.1,北,西北西,1.3,,
16,0.0,0.0,0.0,0.2,6.1,-3.6,0.8,1.7,西南西,3.5,西南西,西,1.6,,
17,0.0,0.0,0.0,2.8,8.4,-2.2,0.5,1.4,西北西,2.1,南南西,西,1.4,,
18,0.0,0.0,0.0,4.5,8.1,-0.4,0.9,3.2,北東,7.0,北東,西南西,0.0,,
19,0.0,0.0,0.0,3.0,9.3,-3.9,0.9,1.9,西南西,4.4,南南西,西南西,5.8,,
20,0.0,0.0,0.0,4.1,7.6,-0.3,0.7,2.1,北,4.4,北,西,0.5,,
21,0.0,0.0,0.0,3.3,9.1,-2.6,1.4,6.4,北西,11.6,北西,西北西,8.4,,
22,0.0,0.0,0.0,4.0,12.0,-3.4,0.9,2.2,東,4.3,西,東北東,4.6,,
23,26.5,5.5,2.0,6.5,7.8,4.7,1.0,2.5,東北東,4.0,東,東北東,0.0,,
24,0.0,0.0,0.0,7.6,14.3,2.3,0.8,2.5,西,5.9,北西,西,5.2,,
25,0.0,0.0,0.0,5.2,11.3,-0.1,0.6,1.6,東,2.3,北西,西南西,3.3,,
26,2.0,1.0,0.5,6.6,11.7,3.6,0.8,1.7,東北東,3.0,南,西南西,2.7,,
27,0.5,0.5,0.5,4.9,7.8,2.8,1.2,5.6,北北東,10.9,北東,南西,0.0,,
28,6.0,2.5,1.0,8.1,13.0,3.5,1.4,5.8,北東,10.4,東北東,西南西,2.7,,
29,1.0,0.5,0.5,8.7,13.4,4.5,1.0,5.4,北東,9.9,北東,南西,2.2,,
30,0.0,0.0,0.0,4.3,9.2,1.6,0.8,2.3,北西,8.5,北西,西,1.3,,
31,0.0,0.0,0.0,2.7,8.6,-1.9,1.3,4.3,北西,10.9,北北西,西北西,5.4,,
