,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,1.8,7.2,-3.0,0.3,1.8,南南西,6.4,西,南,1.9,,
2,0.0,0.0,0.0,4.0,9.8,0.6,0.4,1.7,南,6.2,南,南西,2.3,,
3,1.0,0.5,0.5,4.0,8.7,1.5,0.3,1.7,南東,3.0,北,東北東,1.6,,
4,5.5,4.0,1.0,4.0,9.7,1.1,0.4,1.6,東南東,4.4,西,南南西,3.7,,
5,0.0,0.0,0.0,1.5,7.3,-2.1,0.3 ),1.8 ),東 ),5.5 ),北 ),東 ),2.8,,
6,0.0,0.0,0.0,1.9,8.7,-3.3,0.4,1.9,東南東,3.0,北,東南東,4.1,,
7,16.5,2.5,1.0,1.7,3.6,-1.4,0.1,0.6,東南東,1.8,北北西,東南東,0.0,,
8,32.0,11.5,2.5,6.9,14.6,3.3,0.7,3.7,東南東,8.7,北北西,東,2.2,,
9,0.5,0.5,0.5,5.4,11.4,1.0,0.6,2.2,東南東,5.1,西,北東,2.8,,
10,0.0,0.0,0.0,3.6,10.1,-1.1,0.4,1.9,東,4.9,北,東南東,2.6,,
11,0.0,0.0,0.0,2.4,9.2,-2.4,0.2,1.2,東南東,2.2,東,東南東,5.0,,
12,0.0,0.0,0.0,3.7,10.0,-0.9,0.2,1.3,西,3.0,西,東南東,0.3,,
13,1.5,1.0,0.5,4.1,7.1,2.1,0.2,1.5,東北東,2.8,東,東北東,0.1,,
14,0.5,0.5,0.5,3.8,8.0,0.8,0.3,1.7,東,2.6,東,東,1.5,,
15,0.0,0.0,0.0,3.2,9.1,-1.3,0.4,2.5,東北東,7.4,西,西南西,2.3,,
16,0.0,0.0,0.0,1.2,8.3,-2.6,0.2,1.3,西,3.9,西北西,東南東,3.3,,
17,0.0,0.0,0.0,3.9,10.3,-1.3,0.4,2.0,東,5.1,東,南東,3.1,,
18,0.0,0.0,0.0,4.4,10.0,0.2,0.8,2.6,東,7.5,東,東北東,3.2,,
19,0.0,0.0,0.0,3.0,10.5,-2.7,0.3,1.8,東南東,3.8,西,西南西,3.1,,
20,1.0,0.5,0.5,3.9,6.7,2.4,0.1,1.1,東南東,2.5,東南東,東,0.0,,
21,1.0,1.0,0.5,2.4,8.6,-2.4,0.6,2.1,東北東,7.9,北,東,4.1,,
22,0.0,0.0,0.0,2.6,10.1,-3.5,0.2,1.3,西,4.9,西北西,北,1.3,,
23,18.0,3.5,1.0,5.7,7.4,4.0,0.1,0.5,南東,1.8,北北西,北,0.0,,
24,0.0,0.0,0.0,6.9,13.7,3.4,0.6,2.0,東北東,5.8,北,東,3.6,,
25,0.0,0.0,0.0,4.9,10.6,0.4,0.4,1.7,東,3.6,東,東,1.3,,
26,0.0,0.0,0.0,6.7,13.8,3.4,0.3,1.4,東南東,4.7,北北西,東南東,3.6,,
27,2.0,1.0,0.5,4.6,6.9,2.8,0.2,2.1,北北東,6.8,北,北東,0.0,,
28,1.0,0.5,0.5,6.7,10.6,3.5,0.1,0.6,北北東,1.8,東南東,北,0.1,,
29,2.5,1.0,0.5,8.4,14.9,4.0,0.7,2.3,東,6.7,北,東,4.5,,
30,0.0,0.0,0.0,5.5,10.5,1.2,0.5,2.4,北北西,7.2,北,南西,3.5,,
31,0.0,0.0,0.0,2.7,8.1,-0.2,0.7,2.3,西南西,10.3,西,南西,3.4,,
