,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.7,9.4,-2.9,0.8,2.5,西,5.3,西,西,3.8,,
2,0.0,0.0,0.0,5.2,11.5,-1.1,1.2,3.6,西,6.2,西,西,5.9,,
3,0.0,0.0,0.0,6.5,11.3,2.6,0.8,2.8,西,5.8,北北西,西北西,1.7,,
4,1.5,1.0,0.5,5.5,11.8,0.3,1.2,3.5,西,6.2,西,西,3.7,,
5,0.0,0.0,0.0,3.6,9.6,-0.3,1.1,2.8,西北西,6.7,北西,西北西,5.5,,
6,0.0,0.0,0.0,4.2,12.3,-3.1,0.9,3.0,西,5.0,西,西,6.9,,
7,8.0,1.5,0.5,4.8,8.1,-0.3,0.6,1.7,北西,3.6,北西,北西,0.0,,
8,22.5,12.0,4.0,10.7,17.1,6.9,1.6,5.0,西,10.1,西南西,西,2.7,,
9,0.0,0.0,0.0,8.7,14.3,3.0,1.6,4.4,西,8.5,西,西,8.2,,
10,0.0,0.0,0.0,6.8,14.1,0.8,1.0,2.9,北西,6.5,北西,北西,8.6,,
11,0.0,0.0,0.0,4.2,12.2,-1.1,0.7,2.8,西,4.8,西,西,7.6,,
12,0.0,0.0,0.0,4.4,10.0,-0.6,0.5,1.5,東,2.6,東,北西,0.4,,
13,0.5,0.5,0.5,5.5,10.3,0.6,0.9,3.1,西,5.2,西,西,1.8,,
14,1.0,1.0,0.5,4.9,11.0,-1.3,0.7,2.6,西,4.4,西,西北西,5.7,,
15,0.5,1.0,0.5,5.1,11.0,0.2,1.1,3.4,西,7.7,西北西,西北西,4.7,,
16,0.0,0.0,0.0,2.1,8.3,-2.0,0.6,2.3,西,3.7,北西,東北東,1.5,,
17,0.0,0.0,0.0,4.8,9.9,-0.5,0.5,1.7,南東,3.1,南東,南南西,1.3,,
18,0.0,0.0,0.0,7.1,12.8,3.8,1.2,2.9,北西,6.7,北西,西北西,3.5,,
19,0.0,0.0,0.0,5.2,11.9,-2.0,1.0,3.9,西,6.6,西,南東,6.2,,
20,0.0,0.0,0.0,5.5,12.5,-0.9,1.1,4.7,西,8.1,西,西北西,6.4,,
21,0.0,0.0,0.0,5.1,11.8,-1.2,1.3,3.9,西,8.6,北北西,西北西,7.9,,
22,0.0,0.0,0.0,5.4,12.7,-2.2,0.7,2.0,西,4.4,南,北西,1.6,,
23,16.0,3.0,1.0,8.2,9.8,6.0,0.8,1.9,北北西,3.4,北西,北西,0.0,,
24,0.0,0.0,0.0,9.5,16.2,6.3,1.1,3.4,西,6.7,西,西北西,3.8,,
25,0.0,0.0,0.0,7.2,12.6,1.7,1.0,2.7,北西,5.6,北西,西北西,1.9,,
26,0.0,0.0,0.0,8.9,14.3,5.9,0.9,2.2,西北西,5.6,北西,北西,2.9,,
27,0.5,0.5,0.5,6.9,10.0,4.9,0.6,1.6,北西,3.6,北東,北西,0.0,,
28,6.0,3.5,1.0,8.9,13.9,5.0,0.9,2.2,東,4.9,東,西北西,1.0,,
29,2.5,1.0,0.5,10.6,17.0,4.6,1.4,5.1,西,9.3,西,西,4.9,,
30,0.0,0.0,0.0,6.9,13.5,2.4,1.4,5.5,西,9.0,西北西,西,6.5,,
31,0.0,0.0,0.0,4.4,11.0,-0.7,1.7,5.2,西,10.6,西,西,9.0,,
