,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-2.3,1.9,-7.8,0.9,3.2,北,6.1,北北西,南南西,0.9,,
2,0.0,0.0,0.0,0.1,3.8,-2.9,0.6,3.0,北北東,5.5,北東,南南西,1.1,,
3,2.0,1.5,0.5,0.0,3.7,-3.3,0.5,3.1,北北東,4.9,北,北,0.7,,
4,3.0,1.5,0.5,0.2,3.6,-1.5,1.0 ],3.0 ],北 ],6.3 ],北東 ],北 ],2.6,,
5,1.0,0.5,0.5,-2.7,-1.2,-6.0,1.7,3.8,北北東,9.6,北東,北東,0.4,,
6,0.0,0.0,0.0,-3.7,3.2,-11.0,0.9,3.9,北北東,6.2,北,北東,6.2,,
7,4.0,1.0,0.5,-1.5,0.8,-6.7,0.3 ],1.2 ],南南西 ],2.3 ],西南西 ],南南西 ],0.0,,
8,28.0,9.0,3.0,3.4,9.4,0.6,1.1 ),3.8 ),南 ),9.0 ),南南東 ),南南西 ),0.4,,
9,1.0,1.0,0.5,1.8,4.9,0.2,1.2,3.3,北東,7.0,北北東,南南西,4.9,,
10,0.5,0.5,0.5,-0.2,3.6,-5.0,0.8,3.6,北東,6.8,北北東,北北東,3.4,,
11,0.0,0.0,0.0,-1.2,6.9,-6.4,0.6,3.7,南南東,7.2,南,南南西,7.0,,
12,0.0,0.0,0.0,-0.1,5.3,-4.9,0.6,2.4,南,5.0,南南西,南南西,0.4,,
13,0.5,0.5,0.5,1.0,3.8,-1.1,1.2,3.5,南,8.1,南南東,南南西,0.8,,
14,0.5,0.5,0.5,0.3,4.1,-4.1,0.6,2.3,北北西,4.9,北北西,南,2.4,,
15,1.5,1.0,0.5,-0.8,2.1,-3.4,0.9 ],3.4 ],北北東 ],7.3 ],北 ],北 ],0.3,,
16,0.0,0.0,0.0,-3.1,2.2,-7.8,0.5,2.5,北北東,5.8,北,南南西,3.6,,
17,0.0,0.0,0.0,-1.3,4.6,-6.5,1.3,3.5,北北東,6.6,北北東,北東,5.5,,
18,0.0,0.0,0.0,-1.0,1.9,-2.6,1.5,3.6,北,8.1,北,北東,0.6,,
19,0.0,0.0,0.0,0.3,4.8,-4.7,1.1,3.0,北北東,6.4,東,北東,5.1,,
20,0.0,0.0,0.0,0.6,3.6,-1.7,0.7,3.1,北北東,6.0,南,南,0.7,,
21,1.5,0.5,0.5,-2.6,0.6,-8.8,1.0,2.9,北北東,8.0,北東,北東,2.5,,
22,0.0,0.0,0.0,-1.2,7.8,-10.0,0.7,3.5,南南西,7.8,西南西,南西,3.7,,
23,17.5,4.0,1.0,2.3,5.1,0.3,0.4,2.0,北北東,3.5,北北東,南南西,0.0,,
24,0.0,0.0,0.0,2.7,7.2,-0.4,1.3,3.3,北北東,6.9,西,北北東,2.7,,
25,0.0,0.0,0.0,-0.4,2.8,-2.4,1.5,2.9,北北東,5.1,北北東,北北東,0.8,,
26,0.0,0.0,0.0,0.8,6.3,-2.1,0.8,3.1,北北東,6.7,北東,北,2.5,,
27,2.0,1.0,0.5,1.5,6.1,-1.8,1.0,4.2,南南東,10.4,南,南南東,0.0,,
28,4.0,3.0,1.0,7.2,10.9,3.2,1.8,4.6,南,11.8,南,南西,2.1,,
29,5.0,1.0,0.5,5.0,8.6,1.4,0.8,3.6,北北東,9.6,南南東,南,0.6,,
30,0.5,0.5,0.5,1.2,4.6,-1.3,0.8,4.2,北東,7.4,東北東,南,0.6,,
31,0.5,0.5,0.5,-1.6,0.5,-2.9,1.5,4.4,北北東,9.5,北東,北北東,1.1,,
