,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,0.4,6.9,-5.1,0.9,3.1,南西,5.2,南南西,南南西,2.7,,
2,0.0,0.0,0.0,2.9,9.9,-1.7,1.6,6.1,西南西,10.2,南西,南西,6.0,,
3,0.0,0.0,0.0,4.2,8.7,1.9,0.9,2.9,南西,4.3,南南西,北北東,1.7,,
4,1.0,1.0,0.5,4.2,11.0,0.4,2.3,6.0,南西,9.4,西,南西,3.4,,
5,0.0,0.0,0.0,2.1,6.5,-2.7,2.6,6.5,北西,13.6,北西,北西,7.7,,
6,0.0,0.0,0.0,1.6,10.6,-5.4,0.9,4.3,南西,6.4,南南西,南西,5.3,,
7,6.5,1.0,0.5,3.0,6.5,-1.9,0.7,2.2,北東,4.4,東北東,北東,0.0,,
8,23.5,11.5,5.5,8.9,14.3,4.9,2.5,8.3,南西,18.9,南西,南西,0.6,,
9,0.0,0.0,0.0,6.2,12.4,1.1,2.0,5.8,西,9.6,西,南南西,7.1,,
10,0.0,0.0,0.0,4.6,11.8,-0.7,1.1,4.0,北西,6.7,北西,南西,6.0,,
11,0.0,0.0,0.0,2.5,10.8,-2.6,1.0,4.6,西,6.2,南西,南西,7.7,,
12,0.0,0.0,0.0,2.0,6.4,-2.6,0.5,1.5,南,1.9,北東,北東,0.0,,
13,1.0,1.0,0.5,3.6,8.2,0.4,1.1,4.6,南西,6.7,南西,南西,1.5,,
14,1.0,1.0,0.5,3.5,8.8,-0.6,1.2,4.9,南西,7.5,南西,南西,3.3,,
15,0.5,0.5,0.5,3.2,7.9,-1.3,1.1,5.4,西,10.0,西,南南西,2.9,,
16,0.0,0.0,0.0,0.1,5.9,-3.4,1.0,4.0,南西,5.7,南南西,南西,1.3,,
17,0.0,0.0,0.0,2.7,8.6,-2.5,0.9,3.1,南西,4.6,南南西,南南西,1.3,,
18,0.0,0.0,0.0,4.5,9.3,-0.6,1.1,3.2,西,5.3,西北西,南西,0.0,,
19,0.0,0.0,0.0,2.8,9.6,-3.6,1.1,5.3,南西,8.6,南南西,西南西,5.1,,
20,0.0,0.0,0.0,3.8,8.7,-0.9,0.9,3.4,西南西,5.4,西南西,南西,0.9,,
21,0.0,0.0,0.0,3.0,8.7,-2.8,2.0,6.8,西,11.4,北北西,南南西,7.0,,
22,0.0,0.0,0.0,3.6,11.3,-4.1,1.2,5.5,西南西,8.7,南西,西南西,2.6,,
23,23.5,4.0,1.5,6.9,8.4,4.8,0.7,1.7,北東,4.0,東北東,東,0.0,,
24,0.0,0.0,0.0,8.0,14.5,2.7,1.7,6.1,西北西,9.4,西北西,西,5.5,,
25,0.0,0.0,0.0,5.3,11.5,-0.2,0.8,2.7,西南西,4.0,西南西,南西,2.7,,
26,1.0,1.0,0.5,7.0,12.2,3.8,0.8,2.8,南西,4.6,南西,南西,2.8,,
27,1.0,1.0,0.5,5.0,8.1,2.7,1.0,3.9,北東,9.7,東北東,南西,0.0,,
28,5.5,3.0,1.5,7.8,13.5,3.8,2.2,4.8,西南西,8.1,西南西,南南西,1.7,,
29,1.0,0.5,0.5,8.9,13.5,4.5,2.1,5.2,南西,8.1,南西,南南西,1.7,,
30,0.0,0.0,0.0,4.6,10.7,1.3,1.2,4.6,南西,7.6,西南西,南西,2.7,,
31,0.0,0.0,0.0,2.9,8.1,-1.4,2.1,6.1,西北西,10.3,西,北西,3.4,,
