,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.7,10.7,-0.4,1.7,5.2,西南西,9.5,西北西,西北西,5.9,,
2,0.0,0.0,0.0,6.6,12.4,0.7,1.3,4.2,西南西,7.5,西,西南西,6.3,,
3,0.0,0.0,0.0,8.2,13.6,4.0,1.6,4.8,西南西,8.9,西南西,西,5.0,,
4,0.0,0.0,0.0,7.2,13.8,1.7,2.1,5.8,西北西,11.4,西,西,7.6,,
5,0.0,0.0,0.0,6.0,11.0,2.4,1.3,3.9,北,7.1,北,南南東,5.3,,
6,0.0,0.0,0.0,5.3,9.7,-0.7,0.8,2.0,東,3.6,東北東,北東,3.7,,
7,1.0,0.5,0.5,7.0,8.4,5.8,1.3,3.0,北東,5.0,東北東,北北東,0.0,,
8,12.5,8.5,3.0,11.0,15.3,6.4,3.8,9.8,西南西,18.8,西南西,西南西,3.5,,
9,0.0,0.0,0.0,8.6,13.8,3.6,2.2,4.9,北西,9.1,西北西,西南西,4.6,,
10,0.0,0.0,0.0,7.1,12.6,2.3,1.2,3.7,北西,7.4,北北東,北西,6.3,,
11,0.0,0.0,0.0,6.1,11.7,1.6,1.3,4.5,南西,7.5,南南西,北東,7.8,,
12,0.0,0.0,0.0,7.1,10.0,4.1,1.2,3.7,西,6.2,西南西,西,0.0,,
13,0.0,0.0,0.0,6.8,10.8,3.6,3.0,6.3,西,11.7,西,西南西,5.6,,
14,0.0,0.0,0.0,4.5,8.2,0.0,1.0,3.0,南西,5.1,南南西,北東,1.3,,
15,0.0,0.0,0.0,6.2,11.3,2.5,1.9,3.7,西南西,6.7,北北東,西南西,4.9,,
16,0.0,0.0,0.0,4.4,10.1,-0.2,0.9,2.8,南西,4.5,南西,南西,4.5,,
17,0.0,0.0,0.0,6.5,11.1,3.1,0.9,2.3,南南東,4.3,東,北東,2.6,,
18,0.0,0.0,0.0,7.1,12.8,2.7,1.3,4.2,北,9.2,北,北,9.4,,
19,0.0,0.0,0.0,5.7,11.0,-0.3,1.4,4.6,南西,9.2,南西,西南西,5.1,,
20,0.0,0.0,0.0,8.0,12.5,4.5,2.0,4.9,西,9.1,西南西,西北西,3.2,,
21,0.0,0.0,0.0,6.9,12.1,2.9,1.7,4.0,西南西,7.1,西北西,東北東,6.6,,
22,5.0,2.0,0.5,4.8,8.4,0.8,1.1,2.8,東,5.3,北東,東北東,0.4,,
23,22.0,5.5,1.5,9.1,11.8,5.7,0.9,2.6,南西,4.4,南西,南西,0.0,,
24,0.0,0.0,0.0,10.4,14.2,8.1,1.3,3.9,北北東,8.2,北北東,北北東,0.0,,
25,0.0,0.0,0.0,7.1,8.9,3.9,1.5,3.4,北北東,6.2,北北東,北東,1.4,,
26,1.0,1.0,0.5,8.3,12.8,5.3,1.0,2.6,西,4.2,東南東,北東,4.0,,
27,12.0,2.5,1.0,7.7,9.2,5.7,2.4,5.2,東北東,13.4,北東,北東,0.0,,
28,3.0,2.0,1.0,9.1,10.3,7.7,1.5,3.6,北東,6.9,北東,西南西,0.0,,
29,0.0,0.0,0.0,9.4,13.9,4.9,1.7,4.3,北北西,7.6,北,西南西,5.1,,
30,0.0,0.0,0.0,6.5,11.1,2.0,1.7,4.1,北西,7.6,北西,西,5.1,,
31,0.0,0.0,0.0,4.6,8.5,2.0,2.1,5.2,北北西,10.5,北北西,西南西,4.2,,
