,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.0,10.9,-1.3,2.4,4.6,西,7.9,西,北西,8.4,,
2,0.0,0.0,0.0,6.1,12.7,0.5,2.1,3.8,西南西,5.9,西,北西,5.8,,
3,0.0,0.0,0.0,7.9,14.1,3.8,2.2,6.2,西南西,9.3,西南西,北北西,4.3,,
4,0.0,0.0,0.0,6.8,12.9,0.7,2.7,5.5,北西,9.8,北西,北西,4.8,,
5,0.0,0.0,0.0,5.9,11.0,1.8,1.6,4.0,東南東,5.6,南東,北西,4.8,,
6,0.0,0.0,0.0,5.8,10.4,0.3,1.4,3.0,北北西,5.3,北北西,北北西,4.1,,
7,2.0,1.0,0.5,7.7,9.5,6.2,1.2,2.7,北北西,4.1,北北西,北北西,0.0,,
8,10.5,7.5,2.5,11.4,15.8,6.6,5.0,11.9,西南西,21.3,南西,西,3.5,,
9,0.0,0.0,0.0,8.5,15.4,2.8,2.6,5.7,西南西,9.3,北北西,北北西,4.6,,
10,0.0,0.0,0.0,6.7,12.8,1.8,1.9,5.0,南南西,9.4,南南西,北北西,7.4,,
11,0.0,0.0,0.0,6.6,12.4,2.0,2.0,5.2,南南西,7.2,南,北北西,7.5,,
12,0.0,0.0,0.0,7.8,11.3,4.8,1.8,4.4,西北西,8.2,北北西,西北西,0.0,,
13,0.0,0.0,0.0,6.3,11.8,1.3,3.0,6.1,西北西,11.5,西,北西,6.0,,
14,0.5,0.5,0.5,4.8,9.1,0.3,1.5,3.0,南南西,6.4,南,北北西,0.8,,
15,0.0,0.0,0.0,6.1,11.2,1.5,2.7,5.9,西北西,8.9,西,西北西,8.0,,
16,0.0,0.0,0.0,4.3,10.3,-0.1,1.8,3.5,南,5.1,南,北西,3.6,,
17,0.0,0.0,0.0,6.6,11.4,3.1,1.7,4.1,南東,5.7,東南東,北西,3.6,,
18,0.0,0.0,0.0,7.8,13.6,2.1,2.0,4.7,北東,9.3,北東,北北西,9.1,,
19,0.0,0.0,0.0,5.8,11.4,0.0,2.5,6.1,西南西,10.1,西南西,北西,5.3,,
20,0.0,0.0,0.0,7.7,13.7,3.4,2.5,5.6,西,8.9,北西,北西,3.5,,
21,0.0,0.0,0.0,6.6,12.6,2.7,1.9,5.4,南,7.2,南,北北西,6.6,,
22,6.0,2.0,0.5,5.7,9.1,1.7,1.5,3.4,東南東,4.9,北北西,北西,0.7,,
23,22.0,6.5,1.5,9.5,12.0,6.6,1.3,3.9,北北西,6.5,北北西,北北西,0.0,,
24,0.0,0.0,0.0,11.0,14.9,8.4,1.4,3.5,北,7.8,北北西,北,0.0,,
25,0.0,0.0,0.0,7.7,9.6,4.0,1.6,3.6,東,6.2,東南東,北北東,1.0,,
26,1.5,1.5,0.5,8.5,13.3,5.5,1.3,4.5,南東,6.4,南南東,北北西,3.9,,
27,14.0,3.0,1.0,8.2,9.7,6.1,4.3,7.9,北東,15.8,北東,北東,0.0,,
28,2.5,3.5,1.5,9.7,10.7,8.4,2.0,6.3,東北東,11.7,北東,北北西,0.0,,
29,0.0,0.0,0.0,9.4,14.9,4.6,2.1,5.6,北西,9.7,西北西,北西,6.3,,
30,0.0,0.0,0.0,6.6,13.1,1.5,2.0,5.6,北西,9.2,北西,北西,5.7,,
31,0.0,0.0,0.0,4.5,9.5,0.1,2.6,6.8,西北西,10.8,北,北北西,5.0,,
