,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.5,0.5,0.5,0.9,5.9,-0.7,1.5,4.7,南西,9.2,西,西,3.4,0.0,0.0
2,0.0,0.0,0.0,1.9,5.1,-1.3,2.6,6.8,西北西,13.7,西,西北西,8.7,0.0,0.0
3,0.0,0.0,0.0,0.8,4.0,-2.9,0.7,1.9,北北西,4.4,西,西南西,2.1,1.0,1.0
4,0.0,0.0,0.0,1.1,4.0,-2.2,1.9,4.0,北北西,8.0,北,北北西,3.2,0.0,0.0
5,0.0,0.0,0.0,0.0,3.6,-4.7,2.5,5.5,北西,13.3,北西,北西,6.2,1.0,1.0
6,0.0,0.0,0.0,2.9,6.1,-0.9,2.5,7.4,西北西,15.4,西,北西,0.3,0.0,0.0
7,1.5,1.5,0.5,0.2,4.3,-3.9,0.7,2.6,北,6.6,北,西北西,4.3,0.0,0.0
8,17.5,2.5,1.0,1.1,2.6,-0.8,2.0 ],4.7 ],北北西 ],9.1 ],北 ],北北西 ],0.0,12.0,11.0
9,10.0,2.0,0.5,3.8,6.8,1.6,2.0,4.3,北北西,8.8,北北西,北北西,3.9,0.0,4.0
10,0.0,0.0,0.0,3.5,6.9,1.0,1.4,3.6,北,7.3,北,北北西,3.1,0.0,0.0
11,0.0,0.0,0.0,4.0,8.7,0.3,1.2,3.5,北北西,6.6,北西,南,3.9,0.0,0.0
12,0.0,0.0,0.0,0.6,5.0,-2.1,0.5,2.4,北北西,4.1,南南東,北北東,0.8,0.0,0.0
13,0.0,0.0,0.0,1.2,5.4,-2.1,0.9,2.9,北北西,5.8,北西,北北西,1.5,0.0,0.0
14,0.0,0.0,0.0,1.9,5.6,-1.0,0.7,2.6,北北西,6.5,北,南南東,1.4,0.0,0.0
15,0.0,0.0,0.0,1.3,4.3,-0.6,1.6,4.2,北北西,7.4,北北西,北北西,0.1,1.0,1.0
16,0.0,0.0,0.0,1.2,5.7,-1.8,1.2,3.4,北西,6.5,北北西,北西,2.7,0.0,0.0
17,0.0,0.0,0.0,1.1,6.6,-2.9,1.1,4.0,北西,7.8,北西,北西,5.8,1.0,1.0
18,0.0,0.0,0.0,-0.4,2.4,-3.5,2.4,4.1,北北西,9.3,北,北北西,0.3,0.0,0.0
19,0.0,0.0,0.0,1.3,6.3,-2.8,1.2,3.9,北北西,8.6,北北西,北北西,6.4,0.0,0.0
20,0.0,0.0,0.0,2.6,9.3,-0.7,1.3,6.9,西,12.6,西,東北東,7.2,0.0,0.0
21,3.0,1.0,0.5,0.9,2.7,-0.3,2.0,6.2,北西,11.2,北北西,北北西,2.3,1.0,1.0
22,0.0,0.0,0.0,0.6,6.9,-2.9,1.0,3.0,北北西,5.8,北,南,4.8,0.0,0.0
23,0.5,0.5,0.5,0.3,3.5,-3.2,0.4,2.1,北北西,3.4,北西,東,0.0,0.0,0.0
24,0.0,0.0,0.0,3.4,10.1,0.0,1.9,5.9,西,14.5,北北西,西北西,6.9,0.0,0.0
25,0.0,0.0,0.0,1.4,4.0,-0.5,3.2,6.0,北西,12.0,北北西,北西,7.1,0.0,0.0
26,0.0,0.0,0.0,1.1,6.1,-3.5,1.6,4.5,北西,8.4,北北西,北西,7.5,0.0,0.0
27,0.0,0.0,0.0,1.6,6.2,-3.7,0.9,3.4,北,7.1,北,北,7.1,0.0,0.0
28,1.5,0.5,0.5,3.0,6.3,0.0,1.3,4.7,東,9.0,南東,東南東,0.0,0.0,0.0
29,22.5,3.5,1.0,4.7,6.7,3.0,1.6,6.2,北西,9.7,北西,北北西,0.0,0.0,0.0
30,0.5,0.5,0.5,5.7,7.9,3.8,2.0,4.3,北西,9.2,北北西,北北西,3.0,0.0,0.0
31,1.0,1.0,0.5,3.7,6.7,0.7,1.3,4.4,北北西,7.9,北北西,北西,5.0,0.0,0.0
