,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-1.2,0.9,-3.0,2.9,6.5,南南西,15.7,北北東,南南西,2.8,,
2,0.0,0.0,0.0,-0.2,3.4,-4.8,2.1,6.1,西,12.3,西,東南東,7.9,,
3,0.0,0.0,0.0,-0.2,3.6,-6.3,2.4,6.1,西,11.3,西,西南西,4.3,,
4,0.0,0.0,0.0,-1.6,2.2,-6.3,1.5,5.0,西,8.9,西南西,北東,5.7,,
5,0.0,0.0,0.0,-3.5,1.7,-10.1,1.5,4.4,北北西,8.4,北北西,北北西,4.4,,
6,0.0,0.0,0.0,0.0,4.1,-2.9,2.2,4.6,北北西,10.7,西,北,3.0,,
7,0.0,0.0,0.0,-3.6,1.7,-11.1,0.8,3.1,東北東,4.3,東北東,南南西,4.9,,
8,28.0,3.0,1.0,0.6,2.5,-1.3,1.4 ],4.0 ],南南西 ],6.9 ],南南西 ],北 ],0.0,,
9,1.0,0.5,0.5,2.4,4.2,0.7,1.9,4.9,北,8.8,北北西,北,1.7,,
10,0.0,0.0,0.0,0.9,4.3,-2.6,1.3,2.9,北,4.9,北,北,4.9,,
11,5.5,3.5,1.0,0.6,4.4,-2.2,1.7 ),5.4 ),南西 ),8.1 ),南南西 ),南南西 ),2.9,,
12,0.0,0.0,0.0,-1.3,0.6,-3.0,0.7 ],1.5 ],東北東 ],2.4 ],東北東 ],北東 ],0.0,,
13,0.0,0.0,0.0,-1.9,3.8,-7.3,0.7,1.8,北北東,2.9,北北東,北,2.3,,
14,0.0,0.0,0.0,-3.7,1.8,-7.7,0.6,1.8,北東,2.8,北北西,北西,0.8,,
15,0.5,0.5,0.5,-2.1,3.8,-8.9,1.2,3.6,北,6.3,北,北,1.4,,
16,0.5,0.5,0.5,-0.4,1.9,-3.4,1.4,3.5,南西,7.9,南南西,南南西,1.4,,
17,0.0,0.0,0.0,-0.5,4.6,-7.3,1.9,5.1,南南西,8.8,西南西,南西,7.6,,
18,0.0,0.0,0.0,-3.9,3.0,-11.2,1.9,4.0,北,7.0,北,北北西,5.8,,
19,0.0,0.0,0.0,-2.1,4.2,-8.5,1.1,3.8,南南西,6.6,南南西,南南西,6.4,,
20,2.5,1.0,0.5,1.1,5.7,-3.3,2.5,6.0,南南西,10.4,北西,南南西,4.5,,
21,1.0,1.0,0.5,-0.8,2.7,-4.8,1.7,4.8,北西,9.6,北西,北北西,4.5,,
22,0.0,0.0,0.0,-2.0,4.0,-9.0,2.2,6.1,南南西,9.0,南南西,南南西,2.5,,
23,0.0,0.0,0.0,0.6,5.5,-3.8,1.4,6.2,南南西,9.0,南南西,南南西,2.6,,
24,0.0,0.0,0.0,-0.9,6.8,-5.5,2.3,8.1,北,14.0,北,北西,6.4,,
25,0.0,0.0,0.0,-1.9,1.9,-6.8,2.2,5.8,西北西,15.7,南西,西南西,8.6,,
26,0.0,0.0,0.0,-4.0,3.2,-11.2,1.1,3.8,西,7.5,西,北北東,7.9,,
27,0.0,0.0,0.0,-2.8,4.9,-10.2,0.6,2.7,北北東,3.9,北東,北北東,7.3,,
28,4.5,2.5,1.0,0.1,6.0,-5.3,0.8,3.2,南南西,5.3,南西,南南西,0.4,,
29,8.0,1.5,0.5,2.5,4.9,0.6,2.3 ],6.0 ],北 ],11.3 ],北北西 ],北 ],0.0,,
30,3.0,2.0,0.5,3.8,6.1,2.0,2.2,5.7,北北西,10.7,北西,北,0.7,,
31,0.0,0.0,0.0,2.8,6.9,-0.5,1.5,5.2,西,10.4,西,南南東,2.5,,
