,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,1.0,1.0,0.5,-3.5,-2.1,-5.2,4.3,9.8,西,20.1,西北西,西,0.5,,
2,0.0,0.0,0.0,-1.9,-0.5,-3.9,4.1,6.4,西,14.3,南南西,西南西,1.8,,
3,1.0,1.0,1.0,-0.7,0.7,-2.4,2.8,5.7,西北西,12.6,南西,南西,0.6,,
4,0.0,0.0,0.0,-2.5,-0.1,-6.2,2.9,6.9,西,15.0,西,西,6.4,,
5,0.0,0.0,0.0,-2.9,-1.4,-6.4,2.2,4.7,西南西,12.4,西北西,西南西,0.3,,
6,0.0,0.0,0.0,-0.6,1.7,-5.0,4.1,7.1,西北西,18.8,西,西,5.9,,
7,0.0,0.0,0.0,-5.3,1.3,-14.6,0.5,2.1,北,3.7,東,北東,2.8,,
8,41.0,4.5,1.0,-0.4,0.9,-2.5,0.7 ],2.5 ],北北東 ],4.3 ],北 ],東北東 ],0.0,,
9,3.0,2.0,0.5,0.8,2.9,-0.8,1.4,4.6,南南西,8.9,南南西,南南西,0.9,,
10,0.0,0.0,0.0,-0.3,2.0,-3.0,0.6,2.5,北,3.4,北,北北東,2.3,,
11,7.5,4.0,1.0,0.0,3.3,-2.3,0.5 ),1.9 ),南南西 ),4.4 ),南 ),南南西 ),2.6,,
12,0.0,0.0,0.0,-0.4,1.5,-3.4,1.1 ],2.7 ],南南西 ],5.6 ],南 ],南南西 ],0.4,,
13,0.0,0.0,0.0,-1.8,1.9,-6.7,1.1,4.1,南南西,8.0,南,南南西,2.4,,
14,0.0,0.0,0.0,-2.9,2.0,-7.6,0.7,3.2,南西,7.0,南西,北,0.9,,
15,1.5,0.5,0.5,-2.0,1.6,-8.7,0.9,4.0,南西,8.5,西南西,北北東,0.7,,
16,0.5,0.5,0.5,-1.4,0.5,-3.0,2.5,5.3,南西,11.6,西北西,南西,2.5,,
17,0.0,0.0,0.0,-1.5,1.4,-6.9,2.7,5.5,西,13.2,西,南西,0.6,,
18,0.0,0.0,0.0,-6.6,-0.1,-14.0,1.1,3.4,北北東,5.6,北北東,北北東,4.4,,
19,0.5,0.5,0.5,-5.7,2.9,-15.1,0.6,2.8,南南西,5.6,南西,南南西,5.6,,
20,3.0,1.5,1.0,-0.1,2.7,-2.7,2.4 ),6.7 ),西南西 ),16.4 ),西北西 ),南西 ),1.2,,
21,1.0,0.5,0.5,-2.1,-0.3,-4.0,2.9,6.6,西,17.5,西,西,5.4,,
22,0.0,0.0,0.0,-2.3,1.6,-8.3,1.2,3.3,南南西,6.2,南,南南西,0.3,,
23,0.5,0.5,0.5,0.5,4.5,-8.4,1.0,3.0,南南西,5.4,南,南南西,0.5,,
24,0.0,0.0,0.0,-1.5,3.8,-4.9,3.0,7.6,西,15.5,西北西,西,3.0,,
25,0.0,0.0,0.0,-3.1,-1.4,-4.5,2.8,6.7,西,15.2,西,西,5.3,,
26,0.0,0.0,0.0,-3.1,0.6,-8.3,1.6,3.6,西,8.5,西南西,西南西,7.0,,
27,0.0,0.0,0.0,-1.4,2.9,-6.8,1.3,3.2,北,6.9,南南西,北東,6.2,,
28,4.0,1.5,0.5,0.0,2.3,-3.1,1.9,4.5,北,8.1,北,北,0.0,,
29,20.5,2.5,1.0,1.1,2.8,0.1,1.1 ),3.1 ),北 ),6.5 ),北北東 ),東 ),0.0,,
30,3.0,2.5,1.0,1.7,3.8,-0.1,1.6 ),4.1 ),南南西 ),8.5 ),南南西 ),南南西 ),0.1,,
31,0.0,0.0,0.0,0.8,2.3,-0.2,3.5,5.4,南西,12.7,南南西,南西,1.1,,
