,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1024.3,1027.1,0.5,1.5,1.0,5.6,7.7,2.2,75.0,61.0,3.5,8.9,西,13.4,西,0.0,,,曇,曇
2,1022.4,1025.2,0.0,0.0,0.0,7.7,12.0,3.6,73.0,54.0,3.2,7.4,西南西,10.6,西南西,5.1,,,晴時々曇,曇
3,1018.9,1021.7,,,,8.7,10.8,5.1,70.0,58.0,4.7,8.4,西南西,13.0,西,0.9,,,曇時々晴,晴時々曇
4,1017.3,1020.1,2.5,2.5,1.0,7.2,12.1,3.2,74.0,46.0,4.2,10.8,西,16.1,西北西,3.9,,,晴時々曇,曇時々雨、あられを伴う
5,1025.8,1028.6,0.0,0.0,0.0,6.2,10.1,2.9,76.0,53.0,1.7,5.8,西,8.7,北北東,0.8,,,曇時々雨一時晴,晴時々曇
6,1025.7,1028.5,,,,6.5,10.3,2.6,77.0,51.0,1.9,4.2,北東,6.4,東,1.1,,,曇,曇後雨
7,1013.9,1016.6,9.0,2.5,1.0,10.4,17.8,6.3,88.0,65.0,2.3,5.5,南南西,14.9,南,0.0,,,雨後時々曇,曇時々晴後雨
8,1005.0,1007.7,16.0,10.0,2.5,11.6,18.1,8.0,78.0,62.0,10.3,17.3,西,28.2,西南西,1.5,,,雨時々曇、大風を伴う,雨
9,1014.5,1017.3,4.5,1.5,1.0,8.2,9.8,6.4,80.0,53.0,4.1,10.3,西,14.9,西,1.1,,,曇一時雨後一時晴,曇時々雨一時晴
10,1017.4,1020.2,1.0,1.5,0.5,6.9,12.1,2.9,77.0,39.0,1.8,4.6,西,7.2,北西,6.2,,,晴後一時曇,晴後薄曇
11,1013.6,1016.4,,,,6.1,13.2,1.2,81.0,56.0,2.0,8.2,西,11.3,西南西,7.2,,,晴一時薄曇,曇一時晴
12,1009.7,1012.4,2.0,1.0,0.5,6.1,8.3,4.0,86.0,64.0,2.4,5.9,西南西,9.8,西南西,0.2,,,雨時々曇,曇後時々晴
13,1014.5,1017.3,0.0,0.0,0.0,7.0,9.5,4.9,59.0,50.0,6.9,12.6,西,18.9,西,4.1,,,曇時々晴,曇一時晴後時々雨
14,1018.5,1021.3,0.0,0.0,0.0,6.6,10.2,5.3,74.0,58.0,2.7,5.1,西南西,8.8,南西,1.2,,,曇時々雨,曇時々雨一時晴
15,1020.4,1023.2,12.5,4.0,2.0,4.6,7.3,3.3,88.0,59.0,3.1,9.7,西,17.0,西,0.1,,,雨,雨時々曇
16,1020.5,1023.3,0.5,0.5,0.5,5.3,10.7,2.8,84.0,53.0,1.5,5.1,西,7.4,西,4.7,,,曇,曇
17,1016.0,1018.8,5.5,2.5,1.0,6.6,11.8,2.6,80.0,50.0,1.6,5.9,東,10.1,東,4.8,,,薄曇,雨時々曇、あられを伴う
18,1014.1,1016.8,0.0,1.5,0.0,7.2,11.0,2.5,67.0,46.0,3.7,10.0,北東,14.9,北東,3.9,,,曇後一時晴,曇時々晴
19,1013.9,1016.6,0.5,0.5,0.5,5.9,8.6,2.2,79.0,55.0,2.9,8.1,西南西,12.3,西南西,1.4,,,曇時々雨,曇時々雨
20,1015.6,1018.4,0.0,0.0,0.0,7.8,10.4,5.6,62.0,48.0,5.5,10.8,西,15.3,西,1.1,,,曇,曇一時雨
21,1023.9,1026.7,0.0,0.0,0.0,7.0,10.3,1.9,64.0,41.0,4.2,9.3,西,16.5,西北西,2.9,,,曇一時雨後晴,晴後薄曇
22,1023.1,1025.9,2.0,1.5,0.5,5.8,10.4,0.5,82.0,57.0,1.2,2.5,東南東,3.5,東南東,0.8,,,曇一時晴後一時雨,雨一時曇
23,1017.5,1020.2,16.5,4.0,1.0,10.0,11.8,7.6,97.0,94.0,2.0,4.6,東,6.5,東,0.0,,,雨時々曇,雨時々曇後霧
24,1024.4,1027.2,0.0,0.0,0.0,9.5,13.3,7.2,84.0,60.0,3.1,7.9,北東,12.7,東北東,0.4,,,曇時々雨、霧を伴う,曇時々雨
25,1026.3,1029.1,0.0,0.0,0.0,7.8,9.4,6.7,63.0,55.0,5.3,7.7,東北東,13.6,東,1.0,,,曇,曇
26,1022.9,1025.7,0.0,0.0,0.0,8.8,11.9,4.7,67.0,54.0,3.7,8.7,東北東,15.1,東北東,5.0,,,曇,曇
27,1013.3,1016.0,13.5,4.0,1.5,8.8,10.4,7.5,76.0,59.0,9.1,14.0,東,24.6,東北東,0.0,,,雨一時曇,雨
28,1007.0,1009.7,15.0,3.0,1.0,8.9,11.5,7.3,94.0,83.0,2.3,9.0,東,15.4,東北東,0.0,,,曇時々雨,雨一時曇
29,1008.4,1011.2,6.0,1.5,1.0,9.2,11.9,5.7,78.0,62.0,4.7,9.4,西北西,15.2,西北西,2.3,,,曇時々雨一時晴、あられを伴う,雨時々曇一時晴、あられを伴う
30,1007.7,1010.4,14.0,3.0,2.0,6.3,9.7,3.9,82.0,56.0,3.9,8.5,北西,15.0,北西,2.0,,,雨時々曇一時晴、ひょうを伴う,雨時々曇一時みぞれ、あられを伴う
31,1014.0,1016.8,0.5,0.5,0.5,5.8,8.9,3.6,53.0,37.0,5.4,8.9,西北西,13.9,西北西,3.0,,,曇時々晴一時みぞれ、あられを伴う,曇時々雨一時晴
